Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,ENTITY,org.mitre.mpf.mvc.util.tailer.MpfLogLevel,toLevel,22,9,2,2,Metodo Longo
 V ,WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.detection.DetectionResponseProcessor,generateTrack,7,2,6,3,Muitos Parametros
" A, R, D, V, X ",CONTROLLER,org.mitre.mpf.nms.ChannelReceiver,viewAccepted,68,17,16,1,Muitos Desvios
 V ,TEST,org.mitre.mpf.wfm.camelOps.TestRemoteMediaProcessor,setHttpProxies,18,5,4,0,Muitos Desvios
 V ,WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.detection.DetectionResponseProcessor,processVideoResponses,22,10,12,4,Metodo Longo
 V ,WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.detection.trackmerging.TrackMergingProcessor,combine,30,7,11,2,Metodo Longo
 V ,SERVICE,org.mitre.mpf.markup.MarkupRequestConsumer,markupVideo,19,3,9,1,Alto Acoplamento Efferent
" A, V, X ",UNDEFINED,org.mitre.mpf.interop.JsonStage,factory,7,2,3,4,Muitos Parametros
 V ,UNDEFINED,org.mitre.mpf.mvc.util.tailer.MpfLogTailer,readLines,60,14,11,1,Alto Acoplamento Efferent
 V ,UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.TaskDefinition,equals,17,7,6,1,Muitos Desvios
 V ,SERVICE,org.mitre.mpf.wfm.service.component.AddComponentServiceImpl,registerDeployedComponent,41,6,12,2,Muitos Desvios
 V ,[STAGESPLITTER],org.mitre.mpf.wfm.camel.operations.markup.MarkupStageSplitter,performSplit,29,7,18,2,Metodo Longo
" D, V ",[CLUSTERCHANGENOTIFIER],org.mitre.mpf.wfm.nodeManager.NodeManagerStatus,init,40,9,8,1,Metodo Longo
" A, V, X ",UNDEFINED,org.mitre.mpf.wfm.util.PropertiesUtil,createArtifactFile,5,1,7,4,Muitos Parametros
 X ,ENTITY,org.mitre.mpf.wfm.data.entities.persistent.StreamingJobRequest,setTimeCompleted,3,1,2,1,Muitos Parametros
" A, R, D, V, X ",WFMSPLITTER,org.mitre.mpf.wfm.camel.operations.detection.artifactextraction.ArtifactExtractionSplitterImpl,wfmSplit,56,16,19,1,Metodo Longo
" A, V ",WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.detection.artifactextraction.ArtifactExtractionProcessorImpl,processVideoRequest,32,7,12,2,Alto Acoplamento Efferent
 V ,[FILTER],org.mitre.mpf.mvc.TimeoutFilter,doFilter,64,9,17,3,Muitos Desvios
 V ,[JOBREQUESTBO],org.mitre.mpf.wfm.businessrules.impl.JobRequestBoImpl,runInternal,8,1,9,3,Muitos Parametros
" A, R, D, V, X ",SERVICE,org.mitre.mpf.wfm.service.ServerMediaServiceImpl,getFiles,45,11,14,4,Muitos Desvios
" A, R, V, X ",WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.detection.trackmerging.TrackMergingProcessor,createTrackMergingPlan,47,11,11,5,Muitos Desvios
" A, R, D, V, X ",TEST,org.mitre.mpf.wfm.camelOps.TestMediaInspectionProcessor,testVideoInspection,20,1,13,0,Alto Acoplamento Efferent
" A, R, D, V, X ",CONTROLLER,org.mitre.mpf.mvc.controller.StreamingJobController,getStreamingJobStatusInternal,26,6,14,1,Alto Acoplamento Efferent
 V ,[WFMSPLITTERINTERFACE],org.mitre.mpf.wfm.camel.WfmSplitter,split,33,6,11,1,Alto Acoplamento Efferent
" A, R, V, X ",[STAGESPLITTER],org.mitre.mpf.wfm.camel.operations.detection.DetectionSplitter,performSplit,59,13,20,2,Alto Acoplamento Efferent
 V ,UNDEFINED,org.mitre.mpf.mvc.controller.AtmosphereController,broadcast,3,1,4,3,Muitos Parametros
 V ,[JOBREQUESTBO],org.mitre.mpf.wfm.businessrules.impl.JobRequestBoImpl,createRequest,26,11,12,9,Metodo Longo
 V ,CONTROLLER,org.mitre.mpf.mvc.controller.AdminLogsController,getNodesAndLogs,28,7,11,0,Alto Acoplamento Efferent
 V ,CONTROLLER,org.mitre.mpf.mvc.controller.LoginController,getLogin,38,8,11,7,Alto Acoplamento Efferent
 V ,[MEDIASEGMENTER],org.mitre.mpf.wfm.segmenting.VideoMediaSegmenter,createProtobufMessage,6,1,7,3,Muitos Parametros
 V ,TEST,org.mitre.mpf.wfm.segmenting.TestMediaSegmenter,createTestDetectionContext,3,1,4,3,Muitos Parametros
" A, R, V ",[STAGESPLITTER],org.mitre.mpf.wfm.camel.operations.detection.DetectionSplitter,createSegmentingPlan,47,12,9,1,Metodo Longo
" A, D, V, X ",ENTITY,org.mitre.mpf.interop.JsonTrackOutputObject,compareTo,12,10,4,1,Muitos Desvios
" A, R, D, V, X ",TEST,org.mitre.mpf.wfm.camelOps.TestMediaInspectionSplitter,testMediaInspectionSplitter,25,1,15,0,Alto Acoplamento Efferent
" A, V ",WFMSPLITTER,org.mitre.mpf.wfm.camel.operations.detection.artifactextraction.ArtifactExtractionSplitterImpl,createMessages,19,4,12,1,Alto Acoplamento Efferent
" A, V, X ",WFMPROCESSOR,org.mitre.mpf.wfm.camel.operations.mediainspection.MediaInspectionProcessor,inspectImage,42,10,5,2,Muitos Desvios
