Commmit-id,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class Before,Class After
aca6a6786e91d4cd0176043005fcff2d503706af,Rename Parameter,RENAME_PARAMETER,searchKeywords : boolean,searchOnPhrase : boolean,[org.openmrs.api.db.ConceptDAO],[org.openmrs.api.db.ConceptDAO]
088d50692d97e1d74d6ca5f3bfc2a9fba97027f4,Rename Parameter,RENAME_PARAMETER,searchOnPhrase : boolean,searchKeywords : boolean,[org.openmrs.api.db.ConceptDAO],[org.openmrs.api.db.ConceptDAO]
2e62157a81328117c9d82ad3c31802d03d0a36fe,Extract Variable,EXTRACT_VARIABLE,0,PASSWORD : String,[org.openmrs.api.UserServiceTest],[org.openmrs.api.UserServiceTest]
d4b0719995675f0c9c3329616f88cc94acfc4fe1,Rename Method,RENAME_METHOD,public ggetUserByUsernameOrEmail_shouldNotGetUserIfEmailIsEmpty() : void,public getUserByUsernameOrEmail_shouldNotGetUserIfEmailIsEmpty() : void,[org.openmrs.api.UserServiceTest],[org.openmrs.api.UserServiceTest]
b9c5c0440c45bd87477f9ee5293c7313f2398a96,Rename Method,RENAME_METHOD,public createOrderSearchCriteria() : OrderSearchCriteria,public build() : OrderSearchCriteria,[org.openmrs.parameter.OrderSearchCriteriaBuilder],[org.openmrs.parameter.OrderSearchCriteriaBuilder]
29929ba04561e34ea6b1e1dde65c1aef0399386d,Rename Method,RENAME_METHOD,public createOrderSearchCriteria() : OrderSearchCriteria,public build() : OrderSearchCriteria,[org.openmrs.parameter.OrderSearchCriteriaBuilder],[org.openmrs.parameter.OrderSearchCriteriaBuilder]
3ddf77394c25e5e86e67fef4957e91b9b19e66a3,Move Method,MOVE_OPERATION,"public notifyPrivilegeListeners(user User, privilege String, hasPrivilege boolean) : void","private notifyPrivilegeListeners(user User, privilege String, hasPrivilege boolean) : void",[org.openmrs.api.impl.UserServiceImpl],[org.openmrs.api.context.UserContext]
b44b9a7633dc991395b12ed3f75fc46f7abe2e5d,Rename Variable,RENAME_VARIABLE,pa1 : PatientIdentifier,pi1 : PatientIdentifier,[org.openmrs.PatientTest],[org.openmrs.PatientTest]
b80a2d568019606bb7742e00e916b361274ca46b,Rename Parameter,RENAME_PARAMETER,query : String,paramQuery : String,[org.openmrs.api.db.hibernate.HibernatePatientDAO],[org.openmrs.api.db.hibernate.HibernatePatientDAO]
b80a2d568019606bb7742e00e916b361274ca46b,Rename Parameter,RENAME_PARAMETER,includeVoided : boolean,matchExactly : boolean,[org.openmrs.api.db.hibernate.HibernatePatientDAO],[org.openmrs.api.db.hibernate.HibernatePatientDAO]
b80a2d568019606bb7742e00e916b361274ca46b,Rename Method,RENAME_METHOD,public shouldGetPatientsByIdentifierAndIdentifierType() : void,public shouldGetPatientsByIdegntifierAndIdentifierType() : void,[org.openmrs.api.PatientServiceTest],[org.openmrs.api.PatientServiceTest]
58995ef110f708044acd34f523a78a7cd4ecc95d,Rename Parameter,RENAME_PARAMETER,query : String,paramQuery : String,[org.openmrs.api.db.hibernate.HibernatePatientDAO],[org.openmrs.api.db.hibernate.HibernatePatientDAO]
58995ef110f708044acd34f523a78a7cd4ecc95d,Rename Parameter,RENAME_PARAMETER,includeVoided : boolean,matchExactly : boolean,[org.openmrs.api.db.hibernate.HibernatePatientDAO],[org.openmrs.api.db.hibernate.HibernatePatientDAO]
58995ef110f708044acd34f523a78a7cd4ecc95d,Rename Method,RENAME_METHOD,public shouldGetPatientsByIdentifierAndIdentifierType() : void,public shouldGetPatientsByIdegntifierAndIdentifierType() : void,[org.openmrs.api.PatientServiceTest],[org.openmrs.api.PatientServiceTest]
d0109e54f503d86323dac1a89eb4395d91ec0218,Rename Attribute,RENAME_ATTRIBUTE,conceptServiceMock : ConceptService,conceptService : ConceptService,[org.openmrs.api.impl.PatientServiceImplTest],[org.openmrs.api.impl.PatientServiceImplTest]
d0109e54f503d86323dac1a89eb4395d91ec0218,Rename Attribute,RENAME_ATTRIBUTE,locationServiceMock : LocationService,locationService : LocationService,[org.openmrs.api.impl.PatientServiceImplTest],[org.openmrs.api.impl.PatientServiceImplTest]
c96259040419241ba7ed77ef949a09ee13e8477c,Rename Attribute,RENAME_ATTRIBUTE,conceptServiceMock : ConceptService,conceptService : ConceptService,[org.openmrs.api.impl.PatientServiceImplTest],[org.openmrs.api.impl.PatientServiceImplTest]
c96259040419241ba7ed77ef949a09ee13e8477c,Rename Attribute,RENAME_ATTRIBUTE,locationServiceMock : LocationService,locationService : LocationService,[org.openmrs.api.impl.PatientServiceImplTest],[org.openmrs.api.impl.PatientServiceImplTest]
1d14c5964d0a37aeb70da5519518a51b32086bb3,Extract Variable,EXTRACT_VARIABLE,0,filename : String,[org.openmrs.api.ObsServiceTest],[org.openmrs.api.ObsServiceTest]
1d14c5964d0a37aeb70da5519518a51b32086bb3,Rename Method,RENAME_METHOD,public shouldRetrieveCorrectMimetype() : void,public saveObs_shouldRetrieveCorrectMimetype() : void,[org.openmrs.obs.BinaryDataHandlerTest],[org.openmrs.obs.BinaryDataHandlerTest]
1d14c5964d0a37aeb70da5519518a51b32086bb3,Rename Variable,RENAME_VARIABLE,complexObs : Obs,complexObs1 : Obs,[org.openmrs.obs.BinaryDataHandlerTest],[org.openmrs.obs.BinaryDataHandlerTest]
1d14c5964d0a37aeb70da5519518a51b32086bb3,Rename Method,RENAME_METHOD,public shouldRetrieveCorrectMimetype() : void,public saveObs_shouldRetrieveCorrectMimetype() : void,[org.openmrs.obs.BinaryStreamHandlerTest],[org.openmrs.obs.BinaryStreamHandlerTest]
1d14c5964d0a37aeb70da5519518a51b32086bb3,Rename Variable,RENAME_VARIABLE,complexObs : Obs,complexObs1 : Obs,[org.openmrs.obs.BinaryStreamHandlerTest],[org.openmrs.obs.BinaryStreamHandlerTest]
1d14c5964d0a37aeb70da5519518a51b32086bb3,Rename Method,RENAME_METHOD,public shouldRetrieveCorrectMimetype() : void,public saveObs_shouldRetrieveCorrectMimetype() : void,[org.openmrs.obs.ImageHandlerTest],[org.openmrs.obs.ImageHandlerTest]
1d14c5964d0a37aeb70da5519518a51b32086bb3,Rename Variable,RENAME_VARIABLE,complexObs : Obs,complexObs1 : Obs,[org.openmrs.obs.ImageHandlerTest],[org.openmrs.obs.ImageHandlerTest]
1d14c5964d0a37aeb70da5519518a51b32086bb3,Rename Method,RENAME_METHOD,public shouldRetrieveCorrectMimetype() : void,public saveObs_shouldRetrieveCorrectMimetype() : void,[org.openmrs.obs.MediaHandlerTest],[org.openmrs.obs.MediaHandlerTest]
1d14c5964d0a37aeb70da5519518a51b32086bb3,Rename Variable,RENAME_VARIABLE,complexObs : Obs,complexObs1 : Obs,[org.openmrs.obs.MediaHandlerTest],[org.openmrs.obs.MediaHandlerTest]
1d14c5964d0a37aeb70da5519518a51b32086bb3,Rename Method,RENAME_METHOD,public shouldRetrieveCorrectMimetype() : void,public saveObs_shouldRetrieveCorrectMimetype() : void,[org.openmrs.obs.TextHandlerTest],[org.openmrs.obs.TextHandlerTest]
