Commit,NumberOfClasses,NumberOfMethods,SystemLOC
e059dac046f9d75d55e24d585acce10010602d5f,552,6109,99323
75fa95ea31ce64fbe68ad55b7aacd6bb23af84be,1312,13608,267991
d65825b685453515f55e30504e9cd92ebaa3f759,1182,12438,238197
9da9d597bb7ee36ac3df6e5de73723855c825655,941,10767,205229
075ae108ce0e767fdf13d6fd1862b3e33a55872b,941,10767,205229
5964330d4326da889448883d55413285c0fc267d,909,10608,192040
fcdef64b636c1473159d8dab7c2149dcef090535,908,10599,191782
171f0cfeaf649a0bc26479b8968001d82d9db934,1178,12078,236890
b29820bd5d4f400125a9c4a957a32306bb27550b,1267,12784,249591
33030683a45006fe9623d08c7b697827f1e1cfca,1204,12381,242332
1a20b84d1e661bcce377c4b9a4c1fa6aef55a10d,1326,13441,264860
a64d6f172c56656a579b58b34f6d3f0cb9792e68,946,11166,197020
bc5062321665fa86097bfed1cc55784e87fce278,1364,14014,274443
d2f63c1fd0ff660ba70f17f8698449c18e5255c3,1365,14021,274600
7d229c866aab64bd272eb3f6744ffc9b81ddf4d7,1278,13179,263981
720f548ae89f01a17c5865ffa023399170a867f7,1292,13160,256687
4b546375bd2ceac5e35cc52d5ac823d1f4befec9,1292,13160,256639
dd8f405fe87b7242a4a97f1faa99f99a9b565359,1305,13534,266195
179976f40b01a7456cfbb7b9c442508ffc7e92b0,1305,13534,266195
18a7bec9cd84a8b68a3c86749c135a8ea5cd9569,1195,12277,240481
14686bafc063e78e15711a567cb41ab90bb003a4,1295,13216,260136
fc1196f608273a8e92f596b62e9b8dfc96a38aac,1278,12904,252062
c204dba1cdfcb39902fdb4cf2428f8a18b5b212f,1312,13588,267021
a8923132b8be9eec2438b100e60d11700d7863c7,938,10703,204813
739c46a0347445b90689e6bf492bad1a798ee82b,938,10705,204829
eddd54042bbe869599452f3d00d39d88d9b252b1,1170,12014,236030
ffa219f7f2bf55d96a6cb46db1da066ac873db1f,1286,12992,254017
0d029be4c129e9f71e8c60b85eb510781b30c9d7,1269,12827,250560
753b05e89e85a826d1d342ac0955bd59deae1830,1270,12829,250614
1f96b4a38eb349041ca87a878b226cf6378d98b9,902,10372,191017
8e93427a71d5f17a56025d1af76ad6ec328586a1,902,10373,191022
772e3ce1fc7acce205086f68458666f76d2cb822,1206,12407,242888
20c8a0ae58f74be763167d20de9c945fe2bb2662,1296,13247,260836
f087380d20795e6e062368b66edf17c47c284dd9,1207,12441,243350
09e6105fc10e7e0c108c33a0330bf1f760f6f815,1286,12990,253947
8eae656da553e4d75e6a4b7bc8dcc58641138ee2,1308,13317,262621
ba086e4a229005d53f5de1e761f81e2a096054d8,1311,13326,261952
52b19b83c52de30847c43dce09f8d5c51c94d2ec,1287,12999,254264
1917187230989167e8bea29776b8675bebe69887,1287,12999,254216
287a77d6408f108d2cc5d1b700e4887e038aecaa,1275,13135,262763
8122b9bcb81a9cfe52cb3e75b1c91c54caba6f54,1268,12807,250137
213a38dac9859c92b1a0fa1eab7cce94faae7e58,1269,12815,250258
ad9ce0b89446c07c3a5ba1092d167d2620625ab1,1216,12597,246545
f8d17ccc6d9a6ac809fbb70725bde1c03c9f20c0,1321,13384,264029
303e8010759bd9a13163e51deb68c2b169328542,1285,12990,254004
6beb0ecd79019aa38567c847c0d29b384bf4dd13,1210,12553,245590
c2e23f69af7e88fff2d71e562b1fa21a089685d8,910,10631,192223
32078b52337af9521071c9f8b56c5cb48e001969,946,11182,197120
b2f09659f7dcafda6cd32bde0be58ec875321be2,1365,14074,275512
2be22b14bee53c04ed06bfdffa82c9a2ded61c57,942,10512,192206
462f78e44843eda2a9f53ee9768d7ca52a159256,943,10519,192358
2687b9b92692f5cdbdb0c68d9d603f6f0ef514eb,944,10527,192471
84cdbb28fe2f8cc7e5a76f4abc80a853438de306,945,10537,192660
c01de3763eadb8eb88e3be85fe312de82ab64a0b,946,11177,197040
2800a1ca15090cc66bcd22f159a85537aecda8e1,946,11164,197011
8a52e4caf5674db9e9be66c2eed89e612677c34b,946,11163,197022
883dbca33d01c705843a5d4b43f6f109e23c1aff,946,11163,197032
d0822eb753009531d181ada9166ff9962f522a83,945,11193,197143
4b7461d5f4f55610e8704c8b1a87a04b32a9a5e6,945,11213,197553
63a076ed890f0a78b8a70e03dace5f1ff1bd9b44,946,11230,197726
81b0aa16a2c897d49d79cd55c122340da40c0386,946,11232,197727
5f7588610e3abb8aee9b5ca0aec4be40ce96d7b6,909,10605,191975
e8745aa482e83749526d640162d2172355439ee0,909,10607,191970
9af5f483c5eabd7f1d4627a4cde5d503f5f3c47b,1278,12904,252051
26063649c2dcb70f29afaf5809182797c645e11a,1357,13964,273311
b5e1ccdda366e6f7cd72c1d33e0c7f0109076ff6,1353,13877,271644
55bf777e286a1f8cd0e1a3a74b0cd4a8237a9a0a,949,11275,198671
57bef02a04c8adbfcfae3cdfa9f2c45b2333f38c,946,11168,197021
