Commmit-id,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class Before,Class After
d201f1bd3f4bac79261c9534096d170af123e94c,Change Variable Type,CHANGE_VARIABLE_TYPE,sf : SolverFactory<VehicleRoutingSolution>,solverConfig : SolverConfig,[org.optaweb.vehiclerouting.plugin.planner.RouteOptimizerConfig],[org.optaweb.vehiclerouting.plugin.planner.RouteOptimizerConfig]
d201f1bd3f4bac79261c9534096d170af123e94c,Rename Variable,RENAME_VARIABLE,sf : SolverFactory<VehicleRoutingSolution>,solverConfig : SolverConfig,[org.optaweb.vehiclerouting.plugin.planner.RouteOptimizerConfig],[org.optaweb.vehiclerouting.plugin.planner.RouteOptimizerConfig]
d201f1bd3f4bac79261c9534096d170af123e94c,Rename Attribute,RENAME_ATTRIBUTE,sf : SolverFactory<VehicleRoutingSolution>,solverConfig : SolverConfig,[org.optaweb.vehiclerouting.plugin.planner.SolverIntegrationTest],[org.optaweb.vehiclerouting.plugin.planner.SolverIntegrationTest]
d201f1bd3f4bac79261c9534096d170af123e94c,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,sf : SolverFactory<VehicleRoutingSolution>,solverConfig : SolverConfig,[org.optaweb.vehiclerouting.plugin.planner.SolverIntegrationTest],[org.optaweb.vehiclerouting.plugin.planner.SolverIntegrationTest]
edc880d3e5f7ab22046b6ec279684d34be907858,Rename Variable,RENAME_VARIABLE,nextVisit : PlanningVisit,visit : PlanningVisit,[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVehicle],[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVehicle]
edc880d3e5f7ab22046b6ec279684d34be907858,Extract And Move Method,EXTRACT_AND_MOVE_OPERATION,public doChange(scoreDirector ScoreDirector<VehicleRoutingSolution>) : void,public getFutureVisits() : Iterable<PlanningVisit>,[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVehicle],[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVehicle]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Move Class,MOVE_CLASS,org.optaweb.vehiclerouting.plugin.planner.PlanningVehicleFactory,org.optaweb.vehiclerouting.plugin.planner.domain.PlanningVehicleFactory,[org.optaweb.vehiclerouting.plugin.planner.PlanningVehicleFactory],[org.optaweb.vehiclerouting.plugin.planner.domain.PlanningVehicleFactory]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Move Class,MOVE_CLASS,org.optaweb.vehiclerouting.plugin.planner.SolutionFactory,org.optaweb.vehiclerouting.plugin.planner.domain.SolutionFactory,[org.optaweb.vehiclerouting.plugin.planner.SolutionFactory],[org.optaweb.vehiclerouting.plugin.planner.domain.SolutionFactory]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Move Class,MOVE_CLASS,org.optaweb.vehiclerouting.plugin.planner.VehicleRoutingSolution,org.optaweb.vehiclerouting.plugin.planner.domain.VehicleRoutingSolution,[org.optaweb.vehiclerouting.plugin.planner.VehicleRoutingSolution],[org.optaweb.vehiclerouting.plugin.planner.domain.VehicleRoutingSolution]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Move Class,MOVE_CLASS,org.optaweb.vehiclerouting.plugin.planner.SolutionFactoryTest,org.optaweb.vehiclerouting.plugin.planner.domain.SolutionFactoryTest,[org.optaweb.vehiclerouting.plugin.planner.SolutionFactoryTest],[org.optaweb.vehiclerouting.plugin.planner.domain.SolutionFactoryTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Move Class,MOVE_CLASS,org.optaweb.vehiclerouting.plugin.planner.VehicleRoutingSolutionTest,org.optaweb.vehiclerouting.plugin.planner.domain.VehicleRoutingSolutionTest,[org.optaweb.vehiclerouting.plugin.planner.VehicleRoutingSolutionTest],[org.optaweb.vehiclerouting.plugin.planner.domain.VehicleRoutingSolutionTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Move And Rename Class,MOVE_RENAME_CLASS,org.optaweb.vehiclerouting.plugin.planner.VehicleFactoryTest,org.optaweb.vehiclerouting.plugin.planner.domain.PlanningVehicleFactoryTest,[org.optaweb.vehiclerouting.plugin.planner.VehicleFactoryTest],[org.optaweb.vehiclerouting.plugin.planner.domain.PlanningVehicleFactoryTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Variable,RENAME_VARIABLE,visitedCustomer : PlanningVisit,nextVisit : PlanningVisit,[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVehicle],[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVehicle]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Variable,RENAME_VARIABLE,workingCustomer : PlanningVisit,workingVisit : PlanningVisit,[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisit],[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisit]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Variable,RENAME_VARIABLE,nextCustomer : PlanningVisit,nextVisit : PlanningVisit,[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisit],[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisit]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Change Return Type,CHANGE_RETURN_TYPE,DepotAngleCustomerDifficultyWeightFactory.DepotAngleCustomerDifficultyWeight,DepotAngleCustomerDifficultyWeight,[org.optaweb.vehiclerouting.plugin.planner.weight.DepotAngleCustomerDifficultyWeightFactory],[org.optaweb.vehiclerouting.plugin.planner.weight.DepotAngleCustomerDifficultyWeightFactory]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Method,RENAME_METHOD,package no_customer_should_be_visited_twice_by_the_same_vehicle() : void,package no_visit_should_be_visited_twice_by_the_same_vehicle() : void,[org.optaweb.vehiclerouting.domain.RouteTest],[org.optaweb.vehiclerouting.domain.RouteTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Method,RENAME_METHOD,package fail_fast_if_vehicles_next_customer_doesnt_exist() : void,package fail_fast_if_vehicles_next_visit_doesnt_exist() : void,[org.optaweb.vehiclerouting.plugin.planner.SolutionPublisherTest],[org.optaweb.vehiclerouting.plugin.planner.SolutionPublisherTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Method,RENAME_METHOD,package removing_customers_should_not_fail() : void,package removing_visits_should_not_fail() : void,[org.optaweb.vehiclerouting.plugin.planner.SolverIntegrationTest],[org.optaweb.vehiclerouting.plugin.planner.SolverIntegrationTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Variable,RENAME_VARIABLE,customerIds : List<Integer>,visitIds : List<Integer>,[org.optaweb.vehiclerouting.plugin.planner.SolverIntegrationTest],[org.optaweb.vehiclerouting.plugin.planner.SolverIntegrationTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Method,RENAME_METHOD,package add_customer_should_add_location_and_create_customer() : void,package add_visit_should_add_location_and_create_visit() : void,[org.optaweb.vehiclerouting.plugin.planner.change.AddVisitTest],[org.optaweb.vehiclerouting.plugin.planner.change.AddVisitTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Variable,RENAME_VARIABLE,addCustomer : AddVisit,addVisit : AddVisit,[org.optaweb.vehiclerouting.plugin.planner.change.AddVisitTest],[org.optaweb.vehiclerouting.plugin.planner.change.AddVisitTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Method,RENAME_METHOD,package remove_last_customer() : void,package remove_last_visit() : void,[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisitTest],[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisitTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Method,RENAME_METHOD,package remove_middle_customer() : void,package remove_middle_visit() : void,[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisitTest],[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisitTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Method,RENAME_METHOD,package fail_fast_if_working_solution_customer_list_does_not_contain_working_customer() : void,package fail_fast_if_working_solution_visit_list_does_not_contain_working_visit() : void,[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisitTest],[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisitTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Variable,RENAME_VARIABLE,otherCustomer : PlanningVisit,otherVisit : PlanningVisit,[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisitTest],[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisitTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Variable,RENAME_VARIABLE,removeCustomer : RemoveVisit,removeVisit : RemoveVisit,[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisitTest],[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisitTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Rename Variable,RENAME_VARIABLE,removeCustomer : RemoveVisit,removeVisit : RemoveVisit,[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisitTest],[org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisitTest]
9445af72adee1f7e8fd117e026ee1e01a50c6ecb,Change Return Type,CHANGE_RETURN_TYPE,PlanningVehicle,void,[org.optaweb.vehiclerouting.plugin.planner.weight.DepotAngleCustomerDifficultyWeightFactoryTest],[org.optaweb.vehiclerouting.plugin.planner.weight.DepotAngleCustomerDifficultyWeightFactoryTest]
