Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
org.optaweb.vehiclerouting.domain.RoutingPlanTest,cannot_modify_routes_externally,null,6,1,3,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.planner.OptimizerProperties,getTimeout,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.PortableLocationTest,equals_hashCode_toString,null,19,1,6,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.planner.DistanceMap,get,null,6,2,4,1,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.WebSocketController,subscribeToRouteTopic,null,4,1,4,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.persistence.LocationRepositoryImplTest,remove_created_location_by_id,null,7,1,5,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.location.LocationServiceTest,createLocation,null,8,1,3,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.demo.dataset.DataSet,getVisits,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.domain.RoutingProblem,name,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.PortableLocationTest,unmarshal_from_json,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.planner.OptimizerProperties,setTimeout,null,3,1,2,1,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.persistence.LocationEntity,getId,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
null,null,null,19,1,6,0,null,488ddeaf97d35391b366e35fe37f41931df3d605,EXTRACT_OPERATION,package clear_should_stop_solver_and_publish_initial_solution() : void,private verifyAndCaptureEvent() : RouteChangedEvent,"Simplify capturing of arguments
"
org.optaweb.vehiclerouting.service.distance.DistanceMatrixImpl,getRow,null,3,1,3,1,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.domain.CountryCodeValidatorTest,should_fail_on_invalid_country_codes,null,8,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.route.RouteChangedEvent,routes,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.domain.RouteTest,constructor_args_not_null,null,4,1,4,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.WebSocketEventLogger,onApplicationEvent,null,3,1,3,1,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.service.location.LocationService,removeAll(),null,5,1,3,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.websocket.PortableRoute,getTrack,null,3,1,1,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.persistence.DistanceKey,hashCode,null,3,1,2,0,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
org.optaweb.vehiclerouting.plugin.planner.SolverIntegrationTest,location,null,6,1,3,1,null,37b23c4c07cdcef49715ffd8fe827a9746c38f2f,,,,
