Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
org.phenotips.ontology.internal.solr.SolrQueryUtilsTest,testApplySpellcheckSuggestionsWithNull,null,11,1,4,0,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
org.phenotips.data.internal.controller.TextNotesController,getProperties,null,3,1,2,0,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
org.phenotips.data.SimpleValuePatientData,keyIterator,null,3,1,2,0,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
org.phenotips.data.internal.controller.GeneListController,getBooleanFields,null,3,1,2,0,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
org.phenotips.data.internal.R54593PhenoTips949DataMigration,getVersion,null,3,1,1,0,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
org.phenotips.data.permissions.script.SecurePatientAccess,getAccessLevel,null,3,1,2,0,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
org.phenotips.measurements.internal.PFLTest,testIsDoubleSided,null,3,1,2,0,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
org.phenotips.export.internal.DataToCellConverter,isNormalHeader,null,20,4,8,1,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
org.phenotips.storage.migrators.internal.HibernateDeletedAttachmentsReader,discardEntity,null,19,3,5,1,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
org.phenotips.data.test.po.PatientRecordEditPage,openDateOfMeasurements,null,3,1,1,0,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
org.phenotips.ontology.internal.GeneNomenclatureTest,getSizeFetchesFromRemoteServer,null,11,1,8,0,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
org.phenotips.data.test.po.PatientRecordEditPage,setArrhythmiaYes,null,3,1,0,0,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
org.phenotips.data.permissions.script.SecurePatientAccess,setOwner,null,6,2,3,1,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
org.phenotips.data.push.internal.DefaultPushServerConfigurationResponse,remoteUpdatesEnabled,null,3,1,1,0,null,7c210afb0c146565564d879025c4b268f334ce38,,,,
