Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
" A, R, D, V, X ",TEST,org.phenotips.configuration.internal.configured.ConfiguredRecordSectionTest,getAllElementsWithNoOverride,59,1,14,0,Alto Acoplamento Efferent
 V ,TEST,org.phenotips.data.permissions.internal.DefaultPatientAccessHelperTest,setCollaborators,27,1,12,0,Metodo Longo
 V ,SERVICE,org.phenotips.integration.lims247.Lims247RightServiceImpl,hasAccessLevel,13,8,7,4,Muitos Desvios
 V ,UNDEFINED,org.phenotips.obo2solr.Main,main,20,5,11,1,Alto Acoplamento Efferent
" A, D, V, X ",TEST,org.phenotips.ontology.internal.GeneNomenclatureTest,searchFetchesFromRemoteServer,23,1,12,0,Alto Acoplamento Efferent
 V ,SERVICE,org.phenotips.ncbieutils.internal.AbstractSpecializedNCBIEUtilsAccessService,getCorrectedQuery,21,5,5,1,Muitos Desvios
" A, R, D, V, X ",UNDEFINED,org.phenotips.hpoa.ontology.DAG,load,62,15,13,1,Muitos Desvios
 V ,SERVICE,org.phenotips.ontology.internal.solr.AbstractSolrOntologyService,generateLuceneQuery,28,7,7,1,Muitos Desvios
 V ,[FILTER],com.xpn.xwiki.web.XWikiContextInitializationFilter,initializeXWikiContext,26,5,18,2,Muitos Desvios
" D, V ",CONTROLLER,org.phenotips.data.internal.controller.AbstractComplexController,writeJSON,22,9,7,3,Muitos Desvios
 V ,[CORENODE],org.phenotips.hpoa.utils.graph.AbstractNode,equals,21,7,3,1,Muitos Desvios
 V ,UNDEFINED,org.phenotips.export.internal.Styler,styleSectionBorder,20,5,5,3,Muitos Parametros
 V ,TEST,org.phenotips.data.internal.PhenoTipsFeatureTest,missingQualifiersAreDiscarded,24,1,11,0,Metodo Longo
 V ,TEST,org.phenotips.data.internal.controller.ContactInformationControllerTest,loadWithUserOwnerAndMissingFields,27,1,10,0,Metodo Longo
 V ,CONTROLLER,org.phenotips.data.internal.controller.ClinicalStatusController,load,21,5,10,1,Muitos Desvios
" A, R, V, X ",[PUSHPATIENTDATA],org.phenotips.data.push.internal.DefaultPushPatientData,getPatientURL,29,4,12,5,Muitos Parametros
 V ,[LIMSSERVER],org.phenotips.integration.lims247.internal.DefaultLimsServer,checkToken,36,6,16,3,Metodo Longo
 V ,SERVICE,org.phenotips.solr.HPOScriptService,index,33,8,14,2,Muitos Desvios
" A, V, X ",SERVICE,org.phenotips.data.push.internal.DefaultPushPatientService,getPatientURL,3,1,3,4,Muitos Parametros
 V ,UNDEFINED,org.phenotips.export.internal.SpreadsheetExporter,export,19,4,10,3,Alto Acoplamento Efferent
 V ,SERVICE,org.phenotips.data.push.internal.DefaultPushPatientService,getRemoteConfiguration,11,7,6,1,Muitos Desvios
 V ,CONTROLLER,org.phenotips.data.internal.controller.SpecificityController,writeJSON,17,7,7,3,Muitos Parametros
 V ,DEFAULTPERSISTENTLOGINMANAGER,com.xpn.xwiki.user.impl.xwiki.MyPersistentLoginManager,encryptText,23,5,7,1,Muitos Desvios
" A, V, X ",SERVICE,org.phenotips.data.push.script.PushPatientScriptService,getPatientURL,3,1,3,4,Muitos Parametros
 V ,VIEW,org.phenotips.data.permissions.internal.RightsUpdateEventListener,updateOwnerRights,19,5,7,3,Muitos Parametros
 V ,DEFAULTPERSISTENTLOGINMANAGER,com.xpn.xwiki.user.impl.xwiki.MyPersistentLoginManager,removeCookie,14,3,5,3,Muitos Parametros
" A, R, D, V, X ",TEST,org.phenotips.data.events.internal.PatientCreatingEventSourceTest,firesPatientCreatingAndChangingEventsWhenNewPatientDocumentsAreBeingCreated,27,1,17,0,Alto Acoplamento Efferent
" A, V, X ",[PUSHPATIENTDATA],org.phenotips.data.push.internal.DefaultPushPatientData,getPatientURL,29,4,12,5,Alto Acoplamento Efferent
 V ,ENTITY,org.phenotips.data.internal.AbstractPhenoTipsOntologyProperty,getName,16,5,7,0,Muitos Desvios
" A, R, D, V, X ",SERVICE,org.phenotips.ontology.internal.GeneNomenclature,search,32,9,22,2,Alto Acoplamento Efferent
" A, R, D, V, X ",TEST,org.phenotips.configuration.internal.global.GlobalRecordConfigurationTest,getEnabledSections,49,1,13,0,Alto Acoplamento Efferent
 V ,DAG,org.phenotips.hpoa.ontology.AbstractOntology,cleanArcs,33,9,8,0,Metodo Longo
" A, V, X ",[RECEIVEPATIENTDATA],org.phenotips.data.receive.internal.DefaultReceivePatientData,receivePatient,66,11,12,0,Alto Acoplamento Efferent
 V ,PERSISTENCE,org.phenotips.data.internal.PhenoTipsPatientRepository,getPatientByExternalId,18,4,9,1,Alto Acoplamento Efferent
" D, V ",TEST,org.phenotips.data.internal.OmimInformationContentPatientScorerTest,getScoreWithNonInformativeFeaturesReturns0,36,1,6,0,Metodo Longo
 V ,[FILTER],com.xpn.xwiki.web.XWikiContextInitializationFilter,doFilter,13,3,3,3,Muitos Parametros
 V ,UNDEFINED,org.phenotips.export.internal.DataToCellConverter,familyHistoryHeader,46,10,9,1,Metodo Longo
 V ,VIEW,org.phenotips.data.events.internal.PatientChangedEventSource,onEvent,10,3,8,3,Muitos Parametros
" A, R, D, V, X ",UNDEFINED,org.phenotips.export.internal.DataToCellConverter,phenotypeBody,100,26,17,1,Alto Acoplamento Efferent
" A, R, D, V, X ",UNDEFINED,org.phenotips.tools.PropertyDisplayer,generateField,3,1,3,4,Muitos Parametros
 V ,UNDEFINED,org.phenotips.export.internal.SpreadsheetExporter,export,19,4,10,3,Muitos Parametros
" A, R, D, V ",TEST,org.phenotips.tools.FormFieldTest,testDisplayEditWithNoSelected,47,1,8,0,Metodo Longo
 V ,VIEW,org.phenotips.integration.lims247.internal.RemoteSynchronizationEventListener,onEvent,8,2,2,3,Muitos Parametros
 V ,UNDEFINED,org.phenotips.export.internal.DataToCellConverter,prenatalPerinatalHistoryBody,58,14,11,1,Alto Acoplamento Efferent
 V ,ABSTRACTHIBERNATEDATAMIGRATION,org.phenotips.data.internal.R54595PhenoTips1151DataMigration,doInHibernate,43,8,20,1,Muitos Desvios
 V ,[PATIENTACCESSHELPER],org.phenotips.data.permissions.internal.DefaultPatientAccessHelper,removeCollaborator,17,3,10,2,Alto Acoplamento Efferent
 V ,[PATIENT],org.phenotips.data.internal.PhenoTipsPatient,updateDisordersFromJSON,24,5,13,4,Muitos Desvios
" A, R, D, V, X ",TEST,org.phenotips.configuration.internal.configured.ConfiguredRecordSectionTest,getAllElementsWithMissingConfiguration,59,1,13,0,Alto Acoplamento Efferent
 V ,UNDEFINED,org.phenotips.export.internal.DataToCellConverter,phenotypeHeader,41,6,8,0,Metodo Longo
 V ,UNDEFINED,org.phenotips.export.internal.DataToCellConverter,documentInfoHeader,29,5,9,1,Muitos Desvios
" A, V, X ",XWIKIDEFAULTURLFACTORY,com.xpn.xwiki.web.XWikiServletURLFactory,findDeletedAttachmentForDocRevision,17,6,8,4,Muitos Parametros
" A, D, V, X ",TEST,org.phenotips.data.permissions.internal.DefaultPatientAccessHelperTest,setCollaborators,27,1,12,0,Alto Acoplamento Efferent
 V ,ABSTRACTHIBERNATEDATAMIGRATION,org.phenotips.data.internal.R54593PhenoTips949DataMigration,doInHibernate,32,6,15,1,Muitos Desvios
" A, R, D, V, X ",SERVICE,org.phenotips.data.push.script.PushPatientScriptService,sendPatient,3,1,3,5,Muitos Parametros
" A, R, D, V, X ",SERVICE,org.phenotips.jodatime.script.JodaTimeScriptService,getMutableDateTime,3,1,2,7,Muitos Parametros
 V ,XWIKIDEFAULTURLFACTORY,com.xpn.xwiki.web.XWikiServletURLFactory,createURL,34,8,7,7,Metodo Longo
 V ,DAG,org.phenotips.hpoa.ontology.AbstractOntology,findAncestors,24,6,3,1,Muitos Desvios
 V ,TEST,org.phenotips.data.permissions.internal.DefaultPatientAccessTest,getAccessLevelWithGuestUserAndPrivateVisibility,13,1,9,0,Alto Acoplamento Efferent
" D, V ",CONTROLLER,org.phenotips.data.internal.controller.APGARController,writeJSON,22,9,6,3,Muitos Desvios
 V ,[CONFIGURATIONSOURCE| INITIALIZABLE],org.phenotips.storage.migrators.internal.LegacyXWikiConfigurationSource,getProperty,27,6,12,2,Muitos Desvios
 V ,CONTROLLER,org.phenotips.data.internal.controller.DatesController,load,21,5,12,1,Muitos Desvios
 V ,BGRAPH,org.phenotips.hpoa.annotation.AbstractHPOAnnotation,propagateHPOAnnotations,28,7,7,1,Muitos Desvios
 V ,UNDEFINED,org.phenotips.export.internal.DataToCellConverter,medicalHistoryHeader,27,5,9,1,Muitos Desvios
 V ,VIEW,org.phenotips.data.permissions.internal.OwnerUpdateEventListener,onEvent,16,3,7,3,Muitos Parametros
 V ,TEST,org.phenotips.configuration.internal.global.GlobalRecordConfigurationTest,getDateOfBirthFormat,16,1,10,0,Alto Acoplamento Efferent
 V ,VIEW,org.phenotips.measurements.internal.MeasurementAgeUpdater,onEvent,33,9,9,3,Muitos Desvios
 V ,PERSISTENCE,org.phenotips.data.securestorage.internal.DefaultSecureStorageManager,storePatientPushInfo,22,4,5,5,Metodo Longo
 V ,ABSTRACTHIBERNATEDATAMIGRATION,org.phenotips.data.internal.R54592PhenoTips868DataMigration,doInHibernate,32,7,15,1,Muitos Desvios
 V ,SERVICE,org.phenotips.integration.lims247.Lims247RightServiceImpl,checkAccess,20,7,12,3,Muitos Desvios
 V ,VIEW,org.phenotips.data.events.internal.PatientCreatingEventSource,onEvent,17,5,10,3,Muitos Desvios
 V ,UNDEFINED,org.phenotips.export.internal.DataToCellConverter,patientInfoBody,49,9,10,1,Muitos Desvios
