Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side
com.cognifide.aet.runner.SuiteExecutorService,scheduleSuite,Alto Acoplamento Efferent,19,4,13,2,"[A, V]",edd6c5da63e32c20785cb144619b6b12635ae4b3,EXTRACT_AND_MOVE_OPERATION,"package scheduleSuite(objectToRun Run, jmsReplyTo Destination) : void","public setParameters(objectToRunWrapper Run, jmsReplyTo Destination, suiteDataService SuiteDataService, runnerConfiguration RunnerConfiguration, suiteExecutionFactory SuiteExecutionFactory) : void"
com.cognifide.aet.job.common.comparators.source.diff.DiffMatchPatch,toString,Metodo Longo,43,10,8,0,[V],,,,
com.cognifide.aet.cleaner.CleanerJob,execute,Alto Acoplamento Efferent,31,4,13,1,"[A, V]",,,,
com.cognifide.aet.cleaner.CleanerScheduler,registerCleaningJob,Alto Acoplamento Efferent,10,1,12,0,[V],,,,
com.cognifide.aet.cleaner.processors.filters.SuiteRemoveConditionTest,evaluate_whenDuplicatedVersion_expectRemoveOnlyOldVersions,Muitos Parametros,6,1,7,5,"[A, R, D, V, X]",,,,
com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,createParams,Muitos Parametros,16,5,4,4,"[A, D, V, X]",89981715af19b347f2946456033c597d72f0fade,RENAME_METHOD,"private getParams(line String, column String, message String) : Map<String,String>","private createParams(line String, column String, messagePattern String, plainMassage String) : Map<String,String>"
com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,createParams,Muitos Parametros,16,5,4,4,"[A, D, V, X]",e53e057625f8c74d39d5bc108d07b3a8740d0dc0,RENAME_METHOD,"private getParams(line String, column String, message String) : Map<String,String>","private createParams(line String, column String, messagePattern String, plainMassage String) : Map<String,String>"
com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,createParams,Muitos Parametros,16,5,4,4,"[A, D, V, X]",372d5b5bfdc3d1baf6ec87c8f9a8c266e0cf6411,RENAME_METHOD,"private getParams(line String, column String, messagePattern String, plainMassage String) : Map<String,String>","private createParams(line String, column String, messagePattern String, plainMassage String) : Map<String,String>"
com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,prepareComparatorResult,Muitos Desvios,14,5,8,2,[D],,,,
com.cognifide.aet.job.api.ParametersValidator,checkRange,Muitos Parametros,5,3,3,4,"[A, V, X]",,,,
com.cognifide.aet.executor.xmlparser.xml.models.ModelConverterUtils,extendUrlsList,Alto Acoplamento Efferent,29,6,13,1,"[A, V]",3df4f835dae564c0a8cd660aa9359be6bfacb2b3,EXTRACT_OPERATION,package extendUrlsList(urls List<Url>) : List<ExtendedUrl>,private extractUrlName(url Url) : String
com.cognifide.aet.executor.xmlparser.xml.models.ModelConverterUtils,extendUrlsList,Alto Acoplamento Efferent,29,6,13,1,"[A, V]",c245de5bd674f8bd8139b759703f2fe655e02129,EXTRACT_OPERATION,package extendUrlsList(urls List<Url>) : List<ExtendedUrl>,private extractUrlName(url Url) : String
com.cognifide.aet.executor.xmlparser.xml.models.ModelConverterUtils,extendUrlsList,Alto Acoplamento Efferent,29,6,13,1,"[A, V]",c0092fbbae8a7c998fca18a31656a6f5f1ab8b84,EXTRACT_OPERATION,package extendUrlsList(urls List<Url>) : List<ExtendedUrl>,private extractUrlName(url Url) : String
com.cognifide.aet.executor.xmlparser.xml.models.ModelConverterUtils,extendUrlsList,Alto Acoplamento Efferent,29,6,13,1,"[A, V]",b131e4a730abb76c1265a68792e2c9a6ca42ee29,EXTRACT_OPERATION,package extendUrlsList(urls List<Url>) : List<ExtendedUrl>,private extractUrlName(url Url) : String
com.cognifide.aet.executor.xmlparser.xml.models.ModelConverterUtils,extendUrlsList,Alto Acoplamento Efferent,29,6,13,1,"[A, V]",a39106b1376ee785a7ac6fa5f5da726b6b779c5d,EXTRACT_OPERATION,package extendUrlsList(urls List<Url>) : List<ExtendedUrl>,private extractUrlName(url Url) : String
com.cognifide.aet.job.common.comparators.source.diff.DiffMatchPatch,patch_apply,Muitos Desvios,75,17,10,2,"[A, R, D, V, X]",,,,
com.cognifide.aet.job.common.comparators.source.diff.DiffMatchPatch,diff_compute,Muitos Desvios,44,12,8,4,"[R, D, V]",,,,
com.cognifide.aet.executor.SuiteRerunServlet,doPost,Alto Acoplamento Efferent,24,4,12,2,[V],f20cf28d08bf3de798c740cd40a7ee665910cc04,EXTRACT_AND_MOVE_OPERATION,"protected doPost(request HttpServletRequest, response HttpServletResponse) : void","package getAndPrepareObject(metadataDAO MetadataDAO, dbKey DBKey, correlationId String, suiteName String, testName String, urlName String) : Run"
com.cognifide.aet.executor.SuiteRerunServlet,doPost,Alto Acoplamento Efferent,24,4,12,2,[V],aa1d99d055b3b236200b00194ff614f3f203cef8,EXTRACT_OPERATION,"protected doPost(request HttpServletRequest, response HttpServletResponse) : void","private createResponse(resultWrapper HttpSuiteExecutionResultWrapper, response HttpServletResponse) : void"
com.cognifide.aet.executor.SuiteRerunServlet,doPost,Alto Acoplamento Efferent,24,4,12,2,[V],aa1d99d055b3b236200b00194ff614f3f203cef8,EXTRACT_OPERATION,"protected doPost(request HttpServletRequest, response HttpServletResponse) : void","private prepareSuiteToRerun(suite Suite, testName String) : void"
com.cognifide.aet.executor.SuiteRerunServlet,doPost,Alto Acoplamento Efferent,24,4,12,2,[V],aa1d99d055b3b236200b00194ff614f3f203cef8,EXTRACT_OPERATION,"protected doPost(request HttpServletRequest, response HttpServletResponse) : void","private getSuiteFromMetadata(dbKey DBKey, correlationId String, suiteName String) : Suite"
com.cognifide.aet.job.common.comparators.source.diff.DiffMatchPatch,diff_cleanupEfficiency,Metodo Longo,73,27,7,1,"[A, R, D, V, X]",,,,
com.cognifide.aet.job.common.comparators.layout.utils.ImageComparison,fastCompareMatchingArea,Muitos Parametros,20,4,4,5,"[A, R, D, V, X]",,,,
com.cognifide.aet.job.common.comparators.source.diff.DiffMatchPatch,patch_apply,Metodo Longo,75,17,10,2,"[A, R, D, V, X]",,,,
com.cognifide.aet.cleaner.processors.filters.SuiteRemoveConditionTest,evaluate_when8SuitesRemoveOlderThanButAlwaysKeepLatestVersion_expectTrue,Muitos Parametros,6,1,7,5,"[A, R, D, V, X]",,,,
com.cognifide.aet.job.common.comparators.source.diff.DiffMatchPatch,diff_cleanupMerge,Muitos Desvios,119,30,6,1,"[A, R, D, V, X]",,,,
com.cognifide.aet.job.common.datafilters.w3chtml5filter.W3cHtml5IssuesFilterTest,prepareComparatorResult,Muitos Parametros,6,1,7,4,"[A, D, V, X]",,,,
