Class,Method,Smell,Tecnicas,Commit,Refactoring,Left Side,Right Side
org.bigbluebutton.freeswitch.voice.freeswitch.actions.GetAllUsersCommand,handleResponse,Alto Acoplamento Efferent,"[A, V, X]",,,,
org.bigbluebutton.presentation.imp.Pdf2SwfPageConverter,convert,Muitos Parametros,"[A, X]",,,,
org.bigbluebutton.screenshare.client.javacv.FfmpegScreenshare,setupLinuxRecorder,Muitos Parametros,"[A, V, X]",,,,
jnlp.sample.servlet.JnlpFileHandler,getJnlpFile,Alto Acoplamento Efferent,"[A, V, X]",,,,
org.bigbluebutton.app.video.VideoApplication,streamBroadcastStart,Alto Acoplamento Efferent,"[A, R, D, V, X]",,,,
org.bytedeco.javacpp.indexer.UByteBufferIndexer,get,Muitos Parametros,"[A, V, X]",,,,
org.zoolu.sip.dialog.ExtendedInviteDialog,onTransFailureResponse,Alto Acoplamento Efferent,"[A, D, V, X]",,,,
org.imsglobal.basiclti.XMLMap,getOrAddChildNode,Muitos Parametros,"[A, V, X]",,,,
name.fraser.neil.plaintext.diff_match_patch,diff_cleanupEfficiency,Metodo Longo,"[A, V, X]",,,,
org.red5.app.sip.codecs.g729.LpcFunc,int_lpc,Muitos Parametros,"[A, V, X]",,,,
org.bytedeco.javacpp.tools.Parser,parse,Metodo Longo,"[A, R, D, V, X]",,,,
org.bytedeco.javacpp.tools.DeclarationList,add,Alto Acoplamento Efferent,[D],,,,
org.bytedeco.javacpp.indexer.UByteIndexer,create,Muitos Parametros,"[A, X]",,,,
org.bigbluebutton.screenshare.client.net.NetworkHttpStreamSender,sendCaptureStartEvent,Muitos Parametros,"[A, X]",,,,
org.bytedeco.javacpp.indexer.IntArrayIndexer,get,Muitos Parametros,"[A, V, X]",,,,
name.fraser.neil.plaintext.diff_match_patch,diff_map,Metodo Longo,"[A, R, D, V, X]",,,,
org.red5.app.sip.codecs.asao.Utility,byte2float,Muitos Parametros,"[A, R, D, V, X]",,,,
org.bigbluebutton.deskshare.client.frame.WindowlessFrame,mouseDragged,Muitos Desvios,"[A, R, D, V, X]",,,,
org.zoolu.sip.dialog.ExtendedInviteDialog,onTransFailureResponse,Muitos Desvios,"[A, V, X]",,,,
org.zoolu.sip.call.Call,onDlgInviteFailureResponse,Muitos Parametros,"[A, X]",,,,
org.bytedeco.javacpp.indexer.LongBufferIndexer,put,Muitos Parametros,"[A, V, X]",,,,
org.zoolu.sip.message.BaseSipResponses,init,Metodo Longo,[V],,,,
org.zoolu.sip.provider.SipProvider,sendMessage,Metodo Longo,[V],,,,
