Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
org.archive.modules.fetcher.BdbCookieStore,saveCookies,Metodo Longo,36,9,8,1,[V],5fd120dffdd999e5f624ea97a7fb501eaea0ed65,PULL_UP_OPERATION,public saveCookies(saveCookiesFile String) : void,public saveCookies(saveCookiesFile String) : void,"some javadocs and other comments, some minor refactoring, change delimiter to ';' for the sortable key
"
org.archive.modules.fetcher.FetchHTTP,getCredentials,Muitos Desvios,14,5,5,2,[V],731d382ae075112e86d84d52b30d07d6c77015ff,RENAME_METHOD,"protected populateCredentials(curi CrawlURI, request HttpRequestBase, targetHost HttpHost, context HttpContext) : boolean","protected populateTargetCredentials(curi CrawlURI, request HttpRequestBase, targetHost HttpHost, context HttpContext) : boolean","fetchhttp2 support for proxy auth, somewhat elaborately done, sharing principles and code with http ""target"" auth
"
org.archive.modules.extractor.ExtractorURI,extractLink,Muitos Desvios,27,5,10,2,[V],858523db9450311796ee8ec2f7e030e0347e99ce,EXTRACT_AND_MOVE_OPERATION,"protected extractLink(curi CrawlURI, wref Link) : void","protected addOutlink(curi CrawlURI, uuri UURI, context LinkContext, hop Hop) : void","HER-2039: Initial work. Eliminated Link class and dealt with resultant
errors. Not tested any further than that."
org.archive.modules.fetcher.FetchHTTP,innerProcess,Metodo Longo,125,3,0,1,"[A, R, D, V, X]",5043dcc35bd94faa0d0e85b10eda5910c2e0727b,EXTRACT_OPERATION,protected innerProcess(curi CrawlURI) : void,protected obtainHttpClient(rec Recorder) : HttpClient,"FetchHTTP2, based on httpcomponents, is working in a rudimentary way. This commit also gets rid of most egregious commons-httpclient-specific code in CrawlURI
"
org.archive.modules.fetcher.AbstractCookieStore,loadCookies,Muitos Desvios,30,6,13,2,[V],cba663a107bb219108c7a8da32da49662f5969e8,RENAME_METHOD,"public loadCookies(reader Reader, cookies Set<Cookie>) : void",public readCookies(reader Reader) : Collection<Cookie>,"fix BdbCookieStore so that cookies get replaced correctly! and test it
"
org.archive.modules.fetcher.FetchHTTPTestBase,testSomething,Metodo Longo,26,1,7,0,[V],98a4be5eb175d2e8ff32815c771a486ef1027d4d,RENAME_METHOD,public testSomething() : void,public testDefaults() : void,"fix user-agent test, add more tests
"
org.archive.modules.fetcher.FetchHTTP,getAuthScheme,Muitos Desvios,56,17,12,2,"[A, D, V, X]",daac7fb96ff9b9af501e6f35e1491ee303218a10,RENAME_METHOD,"protected getAuthScheme(response HttpResponse, curi CrawlURI) : AuthScheme","protected choosePreferredAuthScheme(response HttpResponse, curi CrawlURI) : AuthScheme","more work on http authentication (is it done now?) digest auth test passes
"
org.archive.modules.extractor.ExtractorURI,extractLink,Alto Acoplamento Efferent,27,5,10,2,[V],858523db9450311796ee8ec2f7e030e0347e99ce,EXTRACT_AND_MOVE_OPERATION,"protected extractLink(curi CrawlURI, wref Link) : void","protected addOutlink(curi CrawlURI, uuri UURI, context LinkContext, hop Hop) : void","HER-2039: Initial work. Eliminated Link class and dealt with resultant
errors. Not tested any further than that."
org.archive.modules.writer.WARCWriterProcessor,write,Metodo Longo,42,8,9,2,[V],cab64eafd1681e212fb0e3ceeb7f2ccec5c5800e,RENAME_METHOD,"protected writeRevisitUriAgnosticDigest(w WARCWriter, timestamp String, mimetype String, baseid URI, curi CrawlURI, headers ANVLRecord) : URI","protected writeRevisit(w WARCWriter, timestamp String, mimetype String, baseid URI, curi CrawlURI, headers ANVLRecord, contentLength long) : URI",Simplified revisit writing. Uses revisit profile attached to CrawlURI.
org.archive.modules.extractor.ExtractorUniversal,innerExtract,Alto Acoplamento Efferent,59,13,14,1,"[A, D, V, X]",858523db9450311796ee8ec2f7e030e0347e99ce,EXTRACT_AND_MOVE_OPERATION,protected innerExtract(curi CrawlURI) : boolean,"protected addOutlink(curi CrawlURI, uuri UURI, context LinkContext, hop Hop) : void","HER-2039: Initial work. Eliminated Link class and dealt with resultant
errors. Not tested any further than that."
