Class,Method,Smell,Tecnicas,Commit,Refactoring,Left Side,Right Side
org.libreplan.web.resources.worker.CriterionSatisfactionDTO,isPreviousStartDate,Muitos Desvios,[D],,,,
org.zkoss.ganttz.TaskList,getContextMenuFor,Metodo Longo,[D],,,,
org.libreplan.web.common.CustomMenuController,capture,Muitos Desvios,"[A, R, D, V, X]",,,,
org.libreplan.business.test.orders.daos.OrderElementDAOTest,testRemoveOrderLineGroupWithAdvanceAssignments,Alto Acoplamento Efferent,"[A, D, V]",,,,
org.libreplan.web.calendars.BaseCalendarEditionController,render,Metodo Longo,"[D, V]",,,,
org.libreplan.web.test.ws.labels.api.LabelServiceTest,execute,Muitos Desvios,[D],,,,
org.libreplan.web.materials.MaterialsController,addMaterialCategory,Alto Acoplamento Efferent,[D],,,,
org.libreplan.web.test.ws.unittypes.UnitTypeServiceTest,testAddAndUpdateMaterialCategory,Metodo Longo,"[R, D, V]",,,,
org.libreplan.web.planner.taskedition.TaskPropertiesController,onEvent,Alto Acoplamento Efferent,[D],,,,
org.libreplan.business.costcategories.entities.CostCategory,validateHourCostsOverlap,Muitos Desvios,"[A, R, D, V, X]",,,,
org.libreplan.web.resourceload.PeriodsBuilder,buildTimeLine,Muitos Parametros,"[A, R, D, V, X]",,,,
org.libreplan.web.resourceload.ResourceLoadController,updatePages,Muitos Desvios,[D],,,,
org.libreplan.web.materials.MaterialsController,addMaterialCategory,Muitos Desvios,[D],,,,
org.libreplan.web.planner.allocation.FormBinder,onEvent,Alto Acoplamento Efferent,[V],,,,
org.libreplan.web.calendars.BaseCalendarEditionController,getDaysCurrentMonthByColor,Muitos Desvios,[D],,,,
org.libreplan.business.workreports.daos.WorkReportLineDAO,findByResourceFilteredByDateNotInWorkReport,Muitos Parametros,"[A, V, X]",,,,
org.libreplan.web.advance.AdvanceTypeCRUDController,getAdvanceTypeRenderer,Metodo Longo,"[D, V]",,,,
org.libreplan.web.print.CutyPrint,createCSSFile,Muitos Parametros,"[A, R, D, V, X]",,,,
org.libreplan.ws.workreports.impl.WorkReportConverter,toEntity,Metodo Longo,[V],,,,
org.libreplan.web.orders.OrderModelTest,testOrderPreserved,Metodo Longo,"[R, D, V]",,,,
org.libreplan.web.resources.worker.WorkerCRUDController,createPredicate,Alto Acoplamento Efferent,"[D, V]",,,,
org.libreplan.business.costcategories.entities.ResourcesCostCategoryAssignment,createUnvalidated,Muitos Parametros,"[A, R, D, V, X]",,,,
org.libreplan.web.test.ws.orders.OrderElementServiceTest,invalidOrderWithInvalidAdvanceMeasurements,Alto Acoplamento Efferent,"[A, R, D, V, X]",,,,
