Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
com.zegoggles.smssync.utils.AppLog,rotate,Muitos Desvios,32,3,0,1,[V],51eb62279ef6ff39643eb4776316d40c5013fef2,EXTRACT_OPERATION,"private AppLog(name String, format char[])",private rotateAsync(logFile File) : void,"Move log file location, remove WRITE_EXTERNAL_STORAGE"
com.zegoggles.smssync.activity.MainActivity,setupStrictMode,Muitos Desvios,5,3,2,0,[V],6895b664752596e3069bc8c3af72e37a9238e23c,MOVE_OPERATION,private setupStrictMode() : void,private setupStrictMode() : void,Move into App
com.zegoggles.smssync.activity.MainActivity,checkValidImapFolder,Metodo Longo,15,2,0,2,[V],c684da45639deb90e639deba2d4f6728b2f3a557,MOVE_OPERATION,"private checkValidImapFolder(preference Preference, imapFolder String) : boolean","package checkValidImapFolder(preference Preference, imapFolder String) : boolean",Move logic into fragments
com.zegoggles.smssync.activity.MainActivity,onResume,Metodo Longo,19,1,3,0,[V],2f7fc4a5dbc5294ddd71f1cc57234537821523e0,EXTRACT_AND_MOVE_OPERATION,protected onResume() : void,public register(listener Object) : void,Encapsulate bus; ignore exceptions during unregister()
com.zegoggles.smssync.service.SmsBackupService,checkConnectivity,Muitos Desvios,13,8,5,1,"[A, R, D, V, X]",72365624817aa5c72f04699a5cf533013450afd9,RENAME_METHOD,private checkConnectivity(backupType BackupType) : void,private legacyCheckConnectivity() : void,"Implement Android 6.0 runtime permissions

Reorder and comment permissions

Runtime permission WIP

Show permission error message

Simplify

Calendar permissions

Handle service notification

request account manager permission

Remove debug

Default to light

SDK 10 fixes

Bump version
"
com.zegoggles.smssync.service.SmsBackupService,backup,Muitos Parametros,27,6,9,2,[V],72365624817aa5c72f04699a5cf533013450afd9,RENAME_METHOD,private checkConnectivity(backupType BackupType) : void,private legacyCheckConnectivity() : void,"Implement Android 6.0 runtime permissions

Reorder and comment permissions

Runtime permission WIP

Show permission error message

Simplify

Calendar permissions

Handle service notification

request account manager permission

Remove debug

Default to light

SDK 10 fixes

Bump version
"
com.zegoggles.smssync.activity.fragments.AdvancedSettings,onStart,Metodo Longo,27,1,0,0,[V],4f835e45e40d3c6445a5d0f02131b405086b8f37,RENAME_METHOD,public onStart() : void,public onResume() : void,Fix crashes
com.zegoggles.smssync.activity.fragments.AdvancedSettings,onStart,Metodo Longo,27,1,0,0,[V],4f835e45e40d3c6445a5d0f02131b405086b8f37,RENAME_METHOD,public onStart() : void,public onResume() : void,Fix crashes
com.zegoggles.smssync.activity.donation.DonationActivity,checkUserHasDonated,Muitos Parametros,38,1,0,2,[V],c1a834e45de934c62676ba425f6b68d802385f15,RENAME_METHOD,"public checkUserHasDonated(context Context, listener DonationStatusListener) : void","public checkUserDonationStatus(context Context, listener DonationStatusListener) : void",getBackgroundDataSetting() is deprecated (API 14)
com.zegoggles.smssync.contacts.ContactAccessorPost20,getGroupContactIds,Muitos Desvios,10,4,5,2,[V],48792f0a3f7b0c13a39792257fbc489fb2c980bf,PULL_UP_OPERATION,"public getGroupContactIds(resolver ContentResolver, group ContactGroup) : ContactGroupIds","public getGroupContactIds(resolver ContentResolver, group ContactGroup) : ContactGroupIds",Remove ContactAccessor abstraction
