Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
br.com.webbudget.domain.model.entity.movement.Movement,addDeletedApportionment,Muitos Desvios,5,2,2,1,[X],6e4888dcbd357f36fe542c1b9426b4ac6e5bde10,INLINE_OPERATION,private addDeletedApportionment(apportionment Apportionment) : void,public removeApportionment(code String) : void,
br.com.webbudget.domain.entities.journal.Refueling,calculateAverageComsumption,Muitos Desvios,5,3,3,2,[X],b66a5cbe23869154248d25a5881f3b6388796682,RENAME_METHOD,public calculateAverageComsumption() : void,public calculateAverageConsumption() : void,
br.com.webbudget.domain.entities.journal.Refueling,calculateAverageComsumption,Muitos Desvios,5,3,3,2,[X],b66a5cbe23869154248d25a5881f3b6388796682,RENAME_METHOD,"public calculateAverageComsumption(totalDistance long, liters BigDecimal) : void","public calculateAverageConsumption(totalDistance long, liters BigDecimal) : void",
br.com.webbudget.domain.entities.financial.Payment,isPaidInCash,Alto Acoplamento Efferent,3,1,2,0,[X],46ffe86603fa5c315fe166ccc9c1f4b599b99479,RENAME_METHOD,public isPaidInCash() : boolean,public isPaidWithCash() : boolean,
br.com.webbudget.domain.model.entity.movement.FixedMovement,removeApportionment,Muitos Parametros,10,3,3,1,[X],6e4888dcbd357f36fe542c1b9426b4ac6e5bde10,INLINE_OPERATION,private addDeletedApportionment(apportionment Apportionment) : void,public removeApportionment(code String) : void,
br.com.webbudget.domain.model.entity.movement.FixedMovement,addDeletedApportionment,Muitos Desvios,5,2,2,1,[X],6e4888dcbd357f36fe542c1b9426b4ac6e5bde10,INLINE_OPERATION,private addDeletedApportionment(apportionment Apportionment) : void,public removeApportionment(code String) : void,
br.com.webbudget.domain.entities.financial.Movement,getPaymentDate,Alto Acoplamento Efferent,3,2,2,0,[X],6db522c3014b3cf041ed6be92e163c3eec5af63d,PUSH_DOWN_OPERATION,public getPaymentDate() : LocalDate,public getPaymentDate() : LocalDate,
br.com.webbudget.domain.entities.financial.Movement,getValueToDivide,Alto Acoplamento Efferent,3,1,2,0,[X],46ffe86603fa5c315fe166ccc9c1f4b599b99479,RENAME_METHOD,public getValueToDivide() : BigDecimal,public calculateRemainingTotal() : BigDecimal,
br.com.webbudget.domain.model.entity.movement.Movement,removeApportionment,Muitos Parametros,10,3,3,1,[X],6e4888dcbd357f36fe542c1b9426b4ac6e5bde10,INLINE_OPERATION,private addDeletedApportionment(apportionment Apportionment) : void,public removeApportionment(code String) : void,
br.com.webbudget.domain.entities.registration.Card,getSecuredNumber,Muitos Desvios,14,4,3,0,[X],ed034b0e7e359d50cf0a985e75e5509843d66f9b,RENAME_METHOD,public getSecuredNumber() : String,public getSecureNumber() : String,
