RELATORIO COMPLETO SISTEMA
Numero Refatoracoes em Metodos e Nao Metodos:,207
Numero Refatoracoes relacionadas a operacoes em Metodos:,82
Numero Refatoracoes relacionadas a rename em Metodos:,20
Numero Metodos Smell Commit Inicial:,540
Numero Metodos NOT Smell Commit Inicial:,580
METODO LONGO
True Negative,534.0
False Negative = ,47.0
False Positive (V) = ,110.0
False Positive (X) = ,122.0
False Positive (R) = ,122.0
False Positive (D) = ,122.0
True Positive  (V) = ,13.0
True Positive (X) = ,1.0
True Positive (R) = ,1.0
True Positive (D) = ,1.0
Precision (V) = ,0.10569106
Precision (X) = ,0.008130081
Precision (R) = ,0.008130081
Precision (D) = ,0.008130081
Recall (V) = ,0.21666667
Recall (X) = ,0.020833334
Recall (R) = ,0.020833334
Recall (D) = ,0.020833334
F-measure (V) = ,0.1420765
F-measure (X) = ,0.0116959065
F-measure (R) = ,0.0116959065
F-measure (D) = ,0.0116959065
Acuracia (V) = ,0.7769886
Acuracia (X) = ,0.7599432
Acuracia (R) = ,0.7599432
Acuracia (D) = ,0.7599432

MUITOS DESVIOS
True Negative,535.0
False Negative = ,46.0
False Positive (V) = ,164.0
False Positive (X) = ,175.0
False Positive (R) = ,175.0
False Positive (D) = ,176.0
True Positive  (V) = ,12.0
True Positive (X) = ,1.0
True Positive (R) = ,1.0
True Positive (D) = ,0.0
Precision (V) = ,0.06818182
Precision (X) = ,0.0056818184
Precision (R) = ,0.0056818184
Precision (D) = ,0.0
Recall (V) = ,0.20689656
Recall (X) = ,0.021276595
Recall (R) = ,0.021276595
Recall (D) = ,0.0
F-measure (V) = ,0.102564104
F-measure (X) = ,0.008968609
F-measure (R) = ,0.008968609
F-measure (D) = ,0.0
Acuracia (V) = ,0.7225892
Acuracia (X) = ,0.7080581
Acuracia (R) = ,0.7080581
Acuracia (D) = ,0.7067371

ALTO ACOPLAMENTO EFFERENT
True Negative,535.0
False Negative = ,46.0
False Positive (V) = ,106.0
False Positive (X) = ,112.0
False Positive (R) = ,112.0
False Positive (D) = ,109.0
True Positive  (V) = ,6.0
True Positive (X) = ,0.0
True Positive (R) = ,0.0
True Positive (D) = ,3.0
Precision (V) = ,0.05357143
Precision (X) = ,0.0
Precision (R) = ,0.0
Precision (D) = ,0.026785715
Recall (V) = ,0.115384616
Recall (X) = ,0.0
Recall (R) = ,0.0
Recall (D) = ,0.06122449
F-measure (V) = ,0.07317074
F-measure (X) = ,0.0
F-measure (R) = ,0.0
F-measure (D) = ,0.03726708
Acuracia (V) = ,0.7806638
Acuracia (X) = ,0.7720058
Acuracia (R) = ,0.7720058
Acuracia (D) = ,0.77633476

