Commit,NumberOfClasses,NumberOfMethods,SystemLOC
9c75e5f60abe2d0272fdf965a21c54771aa247c9,117,925,12824
63e5c26d6833cd3c9ab41ed0115e3076504e54e9,118,932,12856
ca6ce6eab5fb0db8a373c982d9b12a1531b8c370,128,993,13353
2ff13819d4200670be44036a471f7a7b6894a8a3,130,996,13469
68fec9a1623437f26dbb4cf590d80ee2a15806e5,125,965,12908
349af0b913797e36ceb065852d31eeeaf8215128,128,988,13195
7da2c22f135fae718282bd8a0aa05254e39cbc3b,128,993,13348
aa659f06e7c93b405bbf3ff7773a41c7dd35bc38,127,981,13141
2023970c825b0824443ad7e01435f42741740efc,127,989,13304
5d5210d8adb12c6f04cf9b31e788a82baa314441,126,962,12959
b8b3aa7d6f6006c4bdff79fccff29d2ccc2d82db,126,960,12929
14737013324144ec402332870fd610c50740a8cf,122,963,13275
042da9a9f382a1826b09c0a0150d383438f39396,126,994,13374
72365624817aa5c72f04699a5cf533013450afd9,127,984,13138
