Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
com.zegoggles.smssync.App,onChange,null,3,1,1,1,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.service.SmsRestoreService,onDestroy,null,5,2,1,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.service.BackupQueryBuilderTest,shouldBuildMostRecentQueryForMMS,null,8,1,3,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.preferences.AuthPreferences,setServerAuthMode,null,3,1,2,1,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
null,null,null,4,1,1,0,null,2f7fc4a5dbc5294ddd71f1cc57234537821523e0,EXTRACT_AND_MOVE_OPERATION,protected onPause() : void,public unregister(listener Object) : void,Encapsulate bus; ignore exceptions during unregister()
com.zegoggles.smssync.preferences.AuthPreferences,getCredentials,null,6,2,2,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.service.BackupCursorsTest,testEmptyCursor,null,5,1,1,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.activity.auth.RedirectReceiverActivity,onCreate,null,5,1,2,1,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.service.BackupJobs,cancelAll,null,4,1,0,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.preferences.AuthPreferences,useXOAuth,null,3,1,2,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.mail.BackupStoreConfig,getTransportUri,null,3,1,1,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.auth.TokenRefresherTest,shouldInvalidateTokenManually,null,4,1,1,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
null,null,null,8,2,2,0,null,2f7fc4a5dbc5294ddd71f1cc57234537821523e0,EXTRACT_AND_MOVE_OPERATION,protected onDestroy() : void,public unregister(listener Object) : void,Encapsulate bus; ignore exceptions during unregister()
com.zegoggles.smssync.service.SmsJobService,shouldRun,null,13,3,4,1,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.service.BackupCursorsTest,shouldNotSupportRemove,null,3,1,1,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.preferences.Preferences,getVersionName(),null,11,3,6,1,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.mail.BackupStoreConfig,allowRemoteSearch,null,3,1,1,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.mail.PersonRecordTest,shouldBeUnknownForInvalidIds,null,4,1,1,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.mail.MessageGeneratorTest,testShouldGenerateSMSMessageWithCorrectEncoding,null,5,1,3,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.auth.OAuth2TokenTest,testFromJSONWithMissingFields,null,8,1,2,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.auth.OAuth2TokenTest,testTokenForLogging,null,5,1,1,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.preferences.Preferences,getCallLogType,null,3,1,1,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.service.SmsRestoreService,canWriteToSmsProvider,null,3,1,2,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.service.RestoreTask,updateAllThreadsIfAnySmsRestored,null,5,2,1,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.mail.PersonRecordTest,shouldGetAddressMissingEmail_Number,null,4,1,1,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.mail.MessageGeneratorTest,testShouldGenerateMessageForCallLogIncomingUnknown,null,8,1,3,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.service.BackupJobs,schedule,null,13,3,4,1,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.service.state.BackupState,toString,null,3,1,1,0,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
com.zegoggles.smssync.mail.BackupImapStore,isValidImapFolder,null,3,1,2,1,null,9c75e5f60abe2d0272fdf965a21c54771aa247c9,,,,
