Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,[CALENDARACCESSOR],com.zegoggles.smssync.calendar.CalendarAccessorPost40,getCalendars,26,6,9,0,Alto Acoplamento Efferent
 V ,FRAGMENT,com.zegoggles.smssync.activity.donation.DonationListFragment,onCreateDialog,14,1,0,1,Metodo Longo
" A, R, D, V, X ",UNDEFINED,com.zegoggles.smssync.utils.ThreadHelper,getThreadId,30,11,12,2,Muitos Desvios
 V ,[DRIVER| JOBVALIDATOR],com.zegoggles.smssync.service.AlarmManagerDriver,schedule,15,3,7,1,Muitos Desvios
 V ,SERVICE,com.zegoggles.smssync.service.ServiceBase,appLog,9,3,5,2,Muitos Desvios
 V ,UNDEFINED,com.zegoggles.smssync.utils.BundleBuilder,putShort,4,1,4,2,Muitos Parametros
 V ,ASYNCTASK,com.zegoggles.smssync.service.RestoreTask,importCallLog,11,5,7,1,Muitos Desvios
 V ,ACTIVITY,com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity,onAccountSelected,17,1,0,1,Metodo Longo
 V ,[CONTACTACCESSOR],com.zegoggles.smssync.contacts.ContactAccessorPost20,getGroups,10,3,6,2,Muitos Parametros
 V ,UNDEFINED,com.zegoggles.smssync.mail.PersonLookup,getPrimaryEmail,20,7,5,1,Metodo Longo
 V ,UNDEFINED,com.zegoggles.smssync.utils.BundleBuilder,putChar,4,1,4,2,Muitos Parametros
 V ,[CONTACTACCESSOR],com.zegoggles.smssync.contacts.ContactAccessorPost20,getGroupContactIds,10,4,5,2,Muitos Parametros
 V ,UNDEFINED,com.zegoggles.smssync.compat.GooglePlayServices,isAvailable,33,6,7,1,Alto Acoplamento Efferent
 V ,UNDEFINED,com.zegoggles.smssync.service.BackupJobs,createJob,3,3,4,2,Muitos Parametros
" A, V, X ",PREFERENCE,com.zegoggles.smssync.activity.StatusPreference,backupStateChanged,23,7,5,1,Muitos Desvios
" A, V, X ",ASYNCTASK,com.zegoggles.smssync.service.BackupTask,fetchAndBackupItems,38,8,13,1,Metodo Longo
 V ,ASYNCTASK,com.zegoggles.smssync.service.BackupTask,doInBackground,10,4,3,1,Muitos Desvios
 V ,[CONTACTACCESSOR],com.zegoggles.smssync.contacts.ContactAccessorPost20,getGroups,10,3,6,2,Alto Acoplamento Efferent
 V ,UNDEFINED,com.zegoggles.smssync.utils.AppLog,close,4,3,2,0,Muitos Desvios
 V ,ACTIVITY,com.zegoggles.smssync.activity.MainActivity,onPreferenceStartScreen,12,3,4,2,Muitos Desvios
" A, D, V, X ",PERSISTENCE,com.zegoggles.smssync.mail.BackupImapStore,search,3,7,5,0,Muitos Desvios
 V ,UNDEFINED,com.zegoggles.smssync.mail.MessageGenerator,includeInBackup,8,3,4,2,Muitos Parametros
 V ,UNDEFINED,com.zegoggles.smssync.mail.CallFormatter,mapCallType,16,6,1,1,Metodo Longo
 V ,BROADCASTRECEIVER,com.zegoggles.smssync.receiver.BootReceiver,onReceive,9,3,4,2,Muitos Parametros
" A, V, X ",[CALENDARACCESSOR],com.zegoggles.smssync.calendar.CalendarAccessorPre40,addEntry,21,3,10,5,Alto Acoplamento Efferent
 V ,SERVICE,com.zegoggles.smssync.service.ServiceBase,onCreate,14,3,7,0,Muitos Desvios
 V ,TEST,com.zegoggles.smssync.service.BackupTaskTest,shouldHandleAuthErrorAndTokenCouldBeRefreshed,15,1,5,0,Metodo Longo
 V ,PERSISTENCE,com.zegoggles.smssync.mail.BackupImapStore,createAndOpenFolder,15,3,6,2,Muitos Desvios
 V ,ACTIVITY,com.zegoggles.smssync.activity.donation.DonationActivity,selectedSku,7,3,4,1,Muitos Desvios
 V ,UNDEFINED,com.zegoggles.smssync.auth.TokenRefresher,refreshUsingAccountManager,27,6,8,2,Muitos Desvios
 V ,PERSISTENCE,com.zegoggles.smssync.mail.BackupImapStore,getFolder,10,3,6,2,Muitos Parametros
 V ,ASYNCTASK,com.zegoggles.smssync.service.BackupTask,handleAuthError,25,5,8,2,Metodo Longo
" A, R, V, X ",ASYNCTASK,com.zegoggles.smssync.service.RestoreTask,importMessage,31,8,11,1,Muitos Desvios
 V ,UNDEFINED,com.zegoggles.smssync.service.BulkFetcher,fetch,13,4,8,3,Muitos Desvios
 V ,SERVICE,com.zegoggles.smssync.service.SmsBackupService,backup,27,6,9,2,Muitos Desvios
 V ,[ITERATOR],com.zegoggles.smssync.service.BackupCursors,next,14,4,3,0,Metodo Longo
 V ,UNDEFINED,com.zegoggles.smssync.activity.Dialogs,onClick,3,1,0,2,Muitos Parametros
 V ,TEST,com.zegoggles.smssync.service.AlarmManagerDriverTest,testScheduleJobWithUnknownTrigger,5,1,7,0,Alto Acoplamento Efferent
 V ,ACTIVITY,com.zegoggles.smssync.activity.MainActivity,showFragment,11,3,4,2,Muitos Desvios
 V ,UNDEFINED,com.zegoggles.smssync.auth.OAuth2Client,getToken,14,2,6,1,Alto Acoplamento Efferent
 V ,UNDEFINED,com.zegoggles.smssync.auth.OAuth2Token,getTokenForLogging,3,3,1,0,Muitos Desvios
 V ,UNDEFINED,com.zegoggles.smssync.mail.Attachment,createPart,13,3,4,3,Muitos Desvios
 V ,UNDEFINED,com.zegoggles.smssync.activity.Dialogs,instantiate,3,1,5,2,Muitos Parametros
" D, V ",PERSISTENCE,com.zegoggles.smssync.mail.BackupImapStore,buildSearchQuery,6,3,7,3,Alto Acoplamento Efferent
 V ,ASYNCTASK,com.zegoggles.smssync.service.RestoreTask,doInBackground,16,5,4,1,Metodo Longo
 V ,ACTIVITY,com.zegoggles.smssync.activity.MainActivity,showDialog,18,5,4,1,Muitos Desvios
 V ,PERSISTENCE,com.zegoggles.smssync.mail.BackupImapStore,getFolder,10,3,6,2,Alto Acoplamento Efferent
 V ,ASYNCTASK,com.zegoggles.smssync.service.RestoreTask,transition,3,1,4,2,Muitos Parametros
" A, R, D, V, X ",SERVICE,com.zegoggles.smssync.service.SmsRestoreService,handleIntent,18,5,12,1,Alto Acoplamento Efferent
 V ,UNDEFINED,com.zegoggles.smssync.utils.BundleBuilder,putInt,4,1,4,2,Muitos Parametros
 V ,UNDEFINED,com.zegoggles.smssync.auth.OAuth2Token,fromJSON,15,3,7,1,Metodo Longo
 V ,UNDEFINED,com.zegoggles.smssync.utils.AppLog,getLogDialog,18,1,0,2,Metodo Longo
" A, V, X ",UNDEFINED,com.zegoggles.smssync.auth.OAuth2Client,endElement,5,3,1,3,Muitos Parametros
" D, V ",PERSISTENCE,com.zegoggles.smssync.mail.BackupImapStore,getTrustedSocketFactory,11,3,7,2,Alto Acoplamento Efferent
 V ,TEST,com.zegoggles.smssync.mail.MessageConverterTest,testConvertMessagesSeenFlagReadWithSMS,16,1,7,0,Metodo Longo
