Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
de.tudarmstadt.ukp.clarin.webanno.brat.controller.SpanAdapter,getPosAdapter,null,6,1,3,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.dkpro.core.api.metadata.type.TagsetDescription,getLayer,null,4,3,2,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.GetCollectionInformationResponse,setSearchConfig,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.dkpro.core.api.metadata.type.TagsetDescription_Type,setLayer,null,4,3,2,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.page.curation.CurationPage,renderHead,null,8,2,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.annotation.ArcAnnotationModalWindowPanel,renderHead,null,4,1,3,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.export.model.TagSet,getName,null,3,1,2,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.page.annotation.component.FinishLink,onClose,null,3,1,0,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.model.CrowdJob,getDocuments,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTask2Data,setTokenOffset,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratAnnotatorModel,setDocumentName,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.AnnotationServiceImpl,listAnnotationType,null,3,1,2,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,setDir,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.AnnotationSelection,getAnnotationOption,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.display.model.EntityType,setName,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.controller.ChainAdapter,getCoreferenceLinkAdapter,null,5,1,2,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.crowdflower.CrowdClient,unzip,null,16,3,6,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.GetDocumentResponse,addEntity,null,3,1,2,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.page.crowdsource.CrowdSourcePage,isVisible,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.model.BratCurationVisualizer,setModel,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIteratorTest,getLongValue,null,3,1,3,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.support.TableDataProvider,model,null,3,1,3,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.GetCollectionInformationResponse,getParent,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIteratorTest,setDoubleValue,null,3,1,3,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.UserDaoImpl,delete,null,10,2,3,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.AnnotationServiceImpl,existsType,null,9,2,4,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.webanno.type.CurationState_Type,createFS,null,12,3,7,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.export.model.AnnotationDocument,getState,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,listProjectUsersWithPermissions,null,10,3,6,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.controller.ChainAdapter,removeInvalidChain,null,15,4,8,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.controller.BratAjaxCasController,whoami,null,6,1,4,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTaskManager,getStatusString,null,16,7,1,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.webanno.type.CurationState_Type,getFSGenerator,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dialog.AnnotationPreferenceModalPanel,onClick,null,5,1,0,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,createProject,null,7,1,6,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.CurationViewPanel,isCorrection,null,2,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.dialog.OpenModalWindowPanel,onUpdate,null,5,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.GetDocumentResponse,setRelations,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.display.model.RelationType,getTargets,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.message.GetCollectionInformationResponse,getItems,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.display.model.Argument,setArgument,null,3,1,1,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.model.Tag,getDescription,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIteratorTest,overlappingRef,null,11,4,3,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.export.model.TagSet,getDescription,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.export.model.SourceDocument,getFormat,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.model.Authority,getAuthority,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectExportPanel,exportGuideLine,null,10,3,4,2,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIteratorTest,getStringValue,null,3,1,3,1,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIterator,ignoraA,null,3,1,0,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.model.BratCurationVisualizer,getDocumentData,null,3,2,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIterator,getB,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
de.tudarmstadt.ukp.clarin.webanno.brat.curation.DoubleIterator,getA,null,3,1,1,0,null,b882eafde3e54f2e7cf3ecec04e7c274eadb82bf,,,,
