Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.controller.BratAjaxCasUtil,getPreviousDisplayWindowSentenceBeginAddress,16,7,3,3,Muitos Parametros
" A, R, V, X ",VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.monitoring.MonitoringPage,onSelectionChanged,90,10,0,1,Muitos Desvios
" A, R, D, V, X ",VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.correction.CorrectionPage,loadDocumentAction,54,13,18,0,Alto Acoplamento Efferent
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.util.BratCuratorUtility,getCurationState,28,7,4,2,Metodo Longo
 V ,PERSISTENCE,de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,getWritableFormatId,12,5,2,1,Muitos Desvios
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.util.BratCuratorUtility,getLastSentenceAddress,5,1,6,3,Muitos Parametros
" A, R, V, X ",PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectExportPanel,exportProjectSettings,63,8,30,3,Metodo Longo
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.project.ProjectUtil,createSourceDocument,13,2,8,3,Muitos Parametros
" A, R, D, V, X ",ABSTRACTCOLUMN,de.tudarmstadt.ukp.clarin.webanno.webapp.page.monitoring.DocumentStatusColumnMetaData,populateItem,166,13,0,3,Metodo Longo
" A, R, D, V, X ",TEST,de.tudarmstadt.ukp.clarin.webanno.brat.ajax.controller.CasToBratJsonTest,testGenerateBratJsonGetCollection,43,1,16,0,Alto Acoplamento Efferent
 V ,PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratAnnotator,openSpanAnnotationDialog,43,1,0,4,Metodo Longo
" A, R, V, X ",ADAPTER,de.tudarmstadt.ukp.clarin.webanno.brat.controller.ArcAdapter,add,11,2,8,5,Muitos Parametros
" A, R, V ",PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.ArcAnnotationModalWindowPanel,onSubmit,48,8,21,2,Metodo Longo
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.User,equals,21,7,4,1,Metodo Longo
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectPage,onSubmit,30,8,18,0,Muitos Desvios
" A, R, V, X ",JCASFILEWRITER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tsv.WebannoTsvWriter,convertToTsv,56,18,16,3,Metodo Longo
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectPage,getPanel,3,1,10,1,Alto Acoplamento Efferent
 V ,ADAPTER,de.tudarmstadt.ukp.clarin.webanno.brat.controller.ChainAdapter,updateCoreferenceChainCas,105,29,9,4,Alto Acoplamento Efferent
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.CrowdJob,setTask2Id,3,1,2,1,Muitos Parametros
" A, R, D, V, X ",UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.curation.CasDiff,compareFeatureFS,69,21,10,4,Metodo Longo
 V ,PERSISTENCE,de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,updateJCas,8,6,4,4,Muitos Desvios
" D, V, X ",ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.AnnotationType,equals,21,7,4,1,Muitos Desvios
 V ,MODEL,de.tudarmstadt.ukp.clarin.webanno.webapp.support.EntityModel,analyze,24,5,9,1,Muitos Desvios
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.controller.TypeUtil,getSpanLayerName,16,5,1,1,Muitos Desvios
" A, R, D, V, X ",PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectTagSetsPanel,onSubmit,128,21,0,0,Metodo Longo
" A, V, X ",ADAPTER,de.tudarmstadt.ukp.clarin.webanno.brat.controller.ChainAdapter,updateCoreferenceChainCas,105,29,9,4,Muitos Parametros
" D, V ",ENTITY,de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTaskManager,getStatusString,44,13,9,1,Metodo Longo
 V ,PERSISTENCE,de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,removeProject,24,6,12,2,Muitos Desvios
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.util.BratCuratorUtility,getEntity,9,1,4,3,Muitos Parametros
" A, R, D, V, X ",PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratAnnotator,respond,112,23,0,1,Muitos Desvios
" A, R, V, X ",JCASFILEWRITER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tsv.WebannoTsvWriter,createNEColumn,30,10,6,2,Muitos Desvios
 V ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.brat.display.model.Offsets,deserialize,22,5,3,2,Muitos Desvios
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.curation.CurationPage,onClick,46,9,21,1,Muitos Desvios
" A, R, D, V, X ",VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.correction.CorrectionPage,onUpdate,16,4,14,1,Alto Acoplamento Efferent
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.monitoring.MonitoringPage,getPercentageOfFinishedDocumentsPerUser,24,7,9,1,Alto Acoplamento Efferent
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.project.ProjectUtil,setAnnotationPreference,44,14,20,5,Metodo Longo
" A, R, V, X ",WEBMARKUPCONTAINER,de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.CurationViewPanel,onSelectAnnotationForMerge,38,12,1,1,Muitos Desvios
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.project.ProjectUtil,createAnnotationDocument,12,2,5,3,Muitos Parametros
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.User,setEmail,3,1,2,1,Muitos Parametros
 V ,JCASRESOURCECOLLECTIONREADER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tsv.WebannoTsvReader,createSentence,26,7,4,3,Muitos Desvios
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.correction.CorrectionPage,load,38,8,17,0,Muitos Desvios
" A, R, V, X ",PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.annotation.BratAnnotationDocumentVisualizer,getDocumentData,53,8,18,0,Alto Acoplamento Efferent
 V ,PANEL,de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.CurationPanel,respond,42,11,1,1,Metodo Longo
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.SourceDocument,equals,24,8,4,1,Alto Acoplamento Efferent
 V ,PANEL,de.tudarmstadt.ukp.clarin.webanno.webapp.page.project.ProjectExportPanel,run,28,7,9,0,Alto Acoplamento Efferent
 X ,ENTITY,de.tudarmstadt.ukp.clarin.webanno.model.AnnotationType,setName,3,1,1,1,Muitos Parametros
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.project.ProjectUtil,createTagset,31,4,11,4,Metodo Longo
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.project.ProjectUtil,isCurator,26,7,12,3,Metodo Longo
 V ,ABSTRACTCOLUMN,de.tudarmstadt.ukp.clarin.webanno.webapp.page.monitoring.DocumentStatusColumnMetaData,changeAnnotationDocumentState,10,2,7,3,Muitos Parametros
" A, V, X ",PERSISTENCE,de.tudarmstadt.ukp.clarin.webanno.webapp.dao.RepositoryServiceDbData,saveUserSettings,21,5,12,4,Muitos Parametros
 V ,JCASFILEWRITER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tcf.TcfWriter,writeCoreference,41,9,14,3,Metodo Longo
" A, R, V, X ",WEBMARKUPCONTAINER,de.tudarmstadt.ukp.clarin.webanno.brat.curation.component.CurationViewPanel,populateItem,50,1,0,1,Metodo Longo
" R, V ",VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.ApplicationPageBase,commonInit,45,1,0,0,Metodo Longo
 V ,ADAPTER,de.tudarmstadt.ukp.clarin.webanno.brat.controller.ChainAdapter,renderChains,28,8,9,4,Metodo Longo
 V ,UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.brat.project.ProjectUtil,isMember,26,7,12,3,Muitos Desvios
" A, D, V, X ",ENTITY,de.tudarmstadt.ukp.clarin.webanno.crowdflower.CrowdClient,orderJob,15,2,13,4,Muitos Parametros
 V ,VIEW,de.tudarmstadt.ukp.clarin.webanno.webapp.page.annotation.AnnotationPage,onClose,33,8,0,1,Muitos Desvios
" A, R, V, X ",RESOURCECOLLECTIONREADERBASE,de.tudarmstadt.ukp.clarin.webanno.webapp.dao.BinaryCasReader,getNext,51,7,17,1,Metodo Longo
" D, V ",ENTITY,de.tudarmstadt.ukp.clarin.webanno.crowdflower.NamedEntityTaskManager,getReaderForRawJudgments,14,3,9,1,Alto Acoplamento Efferent
" A, R, V, X ",JCASRESOURCECOLLECTIONREADER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tsv.WebannoTsvReader,setAnnotations,54,11,15,11,Metodo Longo
