Commmit-id,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class Before,Class After
aa08d953a4f34175ab15857c4c3239cd4fb6132e,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,"data : Map<String,Object>","data : Map<Object,Object>",[br.com.webbudget.infrastructure.mail.MustacheProvider],[br.com.webbudget.infrastructure.mail.MustacheProvider]
aa08d953a4f34175ab15857c4c3239cd4fb6132e,Change Parameter Type,CHANGE_PARAMETER_TYPE,key : String,key : Object,[br.com.webbudget.infrastructure.mail.MustacheProvider],[br.com.webbudget.infrastructure.mail.MustacheProvider]
aa08d953a4f34175ab15857c4c3239cd4fb6132e,Extract Method,EXTRACT_OPERATION,private toAddress(address String) : InternetAddress,"private toAddress(address String, personal String) : InternetAddress",[br.com.webbudget.infrastructure.mail.SimpleMailMessage.SimpleMailMessageBuilder],[br.com.webbudget.infrastructure.mail.SimpleMailMessage.SimpleMailMessageBuilder]
07664e37438102bd35473e82f76744d8457a8104,Extract Variable,EXTRACT_VARIABLE,0,builder : WalletBalanceBuilder,[br.com.webbudget.domain.services.PeriodMovementService],[br.com.webbudget.domain.services.PeriodMovementService]
74fb4e6eae65c5691c53effa7af843ea799f61b2,Rename Attribute,RENAME_ATTRIBUTE,savingBusinessLogics : Instance<CardSavingLogic>,savingLogics : Instance<CardSavingLogic>,[br.com.webbudget.application.controller.registration.CardBean],[br.com.webbudget.application.controller.registration.CardBean]
74fb4e6eae65c5691c53effa7af843ea799f61b2,Rename Attribute,RENAME_ATTRIBUTE,updatingBusinessLogics : Instance<CardUpdatingLogic>,updatingLogics : Instance<CardUpdatingLogic>,[br.com.webbudget.application.controller.registration.CardBean],[br.com.webbudget.application.controller.registration.CardBean]
f171e5c55fe8c9b9e275fc7b699b2aaddcbc2bbe,Rename Method,RENAME_METHOD,public loadChart() : void,public loadCharts() : void,[br.com.webbudget.application.controller.registration.CardStatisticsBean],[br.com.webbudget.application.controller.registration.CardStatisticsBean]
fb4e403ab351b7307326eacc37f8b900a6c4abd3,Rename Method,RENAME_METHOD,public toPieChartModel() : PieChartModel,public toChartModel() : PieChartModel,[br.com.webbudget.domain.calculators.CostCenterTotalCalculator],[br.com.webbudget.domain.calculators.CostCenterTotalCalculator]
1213c4fa6a4a2e3a012245feb0649c8746332b40,Extract Class,EXTRACT_CLASS,br.com.webbudget.application.controller.DashboardBean,br.com.webbudget.domain.calculators.PeriodResumeCalculator,[br.com.webbudget.application.controller.DashboardBean],[br.com.webbudget.domain.calculators.PeriodResumeCalculator]
1213c4fa6a4a2e3a012245feb0649c8746332b40,Move Attribute,MOVE_ATTRIBUTE,private openPeriodResumeRepository : OpenPeriodResumeRepository,private openPeriodResumeRepository : OpenPeriodResumeRepository,[br.com.webbudget.application.controller.DashboardBean],[br.com.webbudget.domain.calculators.PeriodResumeCalculator]
31fa630c2af215ba271b87fe911dca27ae2aae14,Move Class,MOVE_CLASS,br.com.webbudget.application.components.ui.chart.pie.PieChartDataset,br.com.webbudget.application.components.ui.chart.PieChartDataset,[br.com.webbudget.application.components.ui.chart.pie.PieChartDataset],[br.com.webbudget.application.components.ui.chart.PieChartDataset]
31fa630c2af215ba271b87fe911dca27ae2aae14,Move Class,MOVE_CLASS,br.com.webbudget.application.components.ui.chart.pie.PieChartModel,br.com.webbudget.application.components.ui.chart.PieChartModel,[br.com.webbudget.application.components.ui.chart.pie.PieChartModel],[br.com.webbudget.application.components.ui.chart.PieChartModel]
31fa630c2af215ba271b87fe911dca27ae2aae14,Move Class,MOVE_CLASS,br.com.webbudget.domain.services.PeriodMovementCalculator,br.com.webbudget.domain.calculators.PeriodMovementCalculator,[br.com.webbudget.domain.services.PeriodMovementCalculator],[br.com.webbudget.domain.calculators.PeriodMovementCalculator]
12cd11d7a89b31fe7e7ab143f5ba905e6c458a3b,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,odometer : long,odometer : Long,[br.com.webbudget.domain.entities.journal.Refueling],[br.com.webbudget.domain.entities.journal.Refueling]
12cd11d7a89b31fe7e7ab143f5ba905e6c458a3b,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,distance : long,distance : Long,[br.com.webbudget.domain.entities.journal.Refueling],[br.com.webbudget.domain.entities.journal.Refueling]
12cd11d7a89b31fe7e7ab143f5ba905e6c458a3b,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,modelYear : int,modelYear : Integer,[br.com.webbudget.domain.entities.registration.Vehicle],[br.com.webbudget.domain.entities.registration.Vehicle]
12cd11d7a89b31fe7e7ab143f5ba905e6c458a3b,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,manufacturingYear : int,manufacturingYear : Integer,[br.com.webbudget.domain.entities.registration.Vehicle],[br.com.webbudget.domain.entities.registration.Vehicle]
12cd11d7a89b31fe7e7ab143f5ba905e6c458a3b,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,odometer : long,odometer : Long,[br.com.webbudget.domain.entities.registration.Vehicle],[br.com.webbudget.domain.entities.registration.Vehicle]
f3471c3d427ca698c8115b4a449268be36d40a33,Change Attribute Type,CHANGE_ATTRIBUTE_TYPE,quoteNumber : int,quoteNumber : Integer,[br.com.webbudget.domain.entities.financial.Launch],[br.com.webbudget.domain.entities.financial.Launch]
31817922d223cc81fedd45e3c863fe7f413d4d9a,Move Class,MOVE_CLASS,br.com.webbudget.application.components.ui.table.LazyFilter,br.com.webbudget.application.components.ui.filter.LazyFilter,[br.com.webbudget.application.components.ui.table.LazyFilter],[br.com.webbudget.application.components.ui.filter.LazyFilter]
31817922d223cc81fedd45e3c863fe7f413d4d9a,Extract Superclass,EXTRACT_SUPERCLASS,br.com.webbudget.application.components.ui.filter.LazyFilter,br.com.webbudget.application.components.ui.filter.BasicFilter,"[br.com.webbudget.application.components.ui.filter.LazyFilter, br.com.webbudget.application.components.ui.filter.PeriodMovementFilter]",[br.com.webbudget.application.components.ui.filter.BasicFilter]
31817922d223cc81fedd45e3c863fe7f413d4d9a,Pull Up Attribute,PULL_UP_ATTRIBUTE,public value : String,protected value : String,[br.com.webbudget.application.components.ui.table.LazyFilter],[br.com.webbudget.application.components.ui.filter.BasicFilter]
31817922d223cc81fedd45e3c863fe7f413d4d9a,Pull Up Attribute,PULL_UP_ATTRIBUTE,private value : String,protected value : String,[br.com.webbudget.application.components.ui.filter.PeriodMovementFilter],[br.com.webbudget.application.components.ui.filter.BasicFilter]
