Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
br.com.webbudget.domain.service.MovementService,saveMovementClass,null,7,2,3,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.financial.CardInvoiceBean,createInvoiceMovement,null,10,2,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.tools.PrivateMessageBean,onUserSelectionChange,null,6,2,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
null,null,null,14,1,4,1,null,d728b3eb1acfbc10863415e579e576e1064fcf87,EXTRACT_OPERATION,public adjustBalance(wallet Wallet) : void,public updateBalance(builder BalanceBuilder) : void,fix #108
br.com.webbudget.application.controller.entries.MovementClassBean,getAvailableMovementsTypes,null,3,1,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.repository.wallet.WalletBalanceRepository,listByType,null,5,1,4,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.entity.movement.FinancialPeriod,getStartFormatted,null,3,1,3,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.service.FinancialPeriodService,findActiveFinancialPeriod,null,14,3,3,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.entries.MovementClassBean,doUpdate,null,10,2,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.entity.movement.Movement,isApportionmentsValid,null,4,1,3,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.service.FinancialPeriodService,listFinancialPeriods,null,3,1,3,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.financial.MovementBean,addApportionment,null,10,2,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.service.PrivateMessageService,listPrivateMessagesSent,null,3,1,3,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.tools.UserAccountBean,initializeLogger,null,3,1,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.financial.MovementBean,initializeLogger,null,3,1,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.tools.PrivateMessageBean,changeToDelete,null,4,1,2,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.service.PrivateMessageService,listMessagesByUser,null,3,1,4,2,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.entity.users.User,getUsername,null,3,1,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.repository.GenericRepository,findById,null,10,2,3,2,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.tools.UserAccountBean,changeToDelete,null,4,1,2,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.financial.MovementBean,initializePayment,null,19,4,4,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
null,null,null,4,1,1,0,null,64b1a758427eb90933030e5f6215452ada0201cb,MOVE_OPERATION,public logout() : void,public logout() : void,"ref #27, mudancas no mecanismo de autenticacao"
br.com.webbudget.application.controller.miscellany.PeriodDetailBean,doRefresh,null,3,1,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.AbstractBean,initializeLogger,null,0,1,1,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.entity.movement.FinancialPeriod,getEndFormatted,null,3,1,3,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.DashboardBean,displayMessage,null,4,1,1,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.repository.wallet.WalletBalanceRepository,findLastWalletBalance,null,13,2,6,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.service.PrivateMessageService,listPrivateMessageReceipts,null,3,1,3,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.infraestructure.Postman,expiredPeriodWarning,null,2,1,2,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.tools.PrivateMessageBean,doCancel,null,3,1,1,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.entries.WalletBean,doUpdate,null,10,2,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.repository.card.CardRepository,listDebit,null,9,2,5,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.service.CardService,deleteCard,null,3,1,2,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.infraestructure.Postman,createHelper,null,5,1,3,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.tools.UserAccountBean,doCancel,null,3,1,1,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.financial.MovementBean,changeToDelete,null,4,1,2,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.entries.CostCenterBean,doUpdate,null,10,2,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.components.MovementsCalculator,calculateTotalByMovementClass,null,12,3,7,2,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.entries.WalletBean,initializeListing,null,6,2,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.tools.UserAccountBean,initializeForm,null,14,3,4,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.AbstractBean,closeDialog,null,4,1,2,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.entries.WalletBean,initializeAdjustment,null,5,2,3,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.service.MovementService,findMovementById,null,3,1,3,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.repository.movement.MovementRepository,listByPeriodAndState,null,9,2,5,2,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.miscellany.PeriodDetailsDTO,getCardsTotal,null,3,1,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.financial.TransferenceBean,filterTransfers,null,14,4,1,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.entries.ContactBean,initializeLogger,null,3,1,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.service.MovementService,findMovementClassById,null,3,1,3,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.entity.users.User,isCredentialsNonExpired,null,3,1,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.entity.movement.Movement,isEditable,null,3,1,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.entity.movement.FinancialPeriod,getFriendlyName,null,9,1,3,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.service.PrivateMessageService,findUserPrivateMessageById,null,3,1,3,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.miscellany.FinancialPeriodBean,initializeLogger,null,3,1,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.application.controller.financial.CardInvoiceBean,isInvoicePayable(),null,3,1,2,0,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
br.com.webbudget.domain.service.MovementService,updateCostCenter,null,7,3,3,1,null,25302694d0d0a81eaf91cddac0d544e5e89f57f7,,,,
