Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 X ,ENTITY,br.com.webbudget.domain.entities.financial.Payment,getCreditCardInvoiceDueDate,12,3,5,1,Muitos Parametros
 V ,ENTITY,br.com.webbudget.application.controller.AbstractBean,addError,4,2,4,3,Muitos Parametros
" R, D, V ",INPUTNUMBERRENDERER,br.com.webbudget.infrastructure.jsf.primefaces.CustomInputNumberRenderer,encodeInput,34,8,5,4,Muitos Desvios
 X ,ENTITY,br.com.webbudget.domain.entities.financial.Movement,addApportionment,21,12,4,1,Metodo Longo
" A, R, V, X ",CALENDARRENDERER,br.com.webbudget.infrastructure.jsf.primefaces.CustomCalendarRenderer,encodeInput,40,12,6,5,Muitos Parametros
 V ,[CONVERTER],br.com.webbudget.infrastructure.jsf.converters.LocalTimeConverter,getAsObject,3,2,6,3,Muitos Parametros
 X ,ENTITY,br.com.webbudget.domain.entities.security.Group,addRole,3,1,2,1,Muitos Parametros
 X ,ENTITY,br.com.webbudget.domain.entities.logbook.Refueling,createMovementDescription,10,1,4,0,Alto Acoplamento Efferent
 X ,ENTITY,br.com.webbudget.domain.entities.financial.Movement,addApportionment,21,12,4,1,Alto Acoplamento Efferent
" A, R, D, V, X ",MODEL,br.com.webbudget.application.components.table.LazyModel,load,5,1,5,4,Muitos Parametros
 X ,ENTITY,br.com.webbudget.domain.entities.entries.Card,getReadableName,14,2,3,0,Metodo Longo
 V ,[CONVERTER],br.com.webbudget.infrastructure.jsf.converters.LocalDateConverter,getAsObject,3,1,6,3,Muitos Parametros
 X ,ENTITY,br.com.webbudget.domain.entities.entries.Contact,createContactCode,16,2,4,0,Alto Acoplamento Efferent
 X ,ENTITY,br.com.webbudget.domain.entities.logbook.Refueling,deleteFuel,4,1,2,1,Muitos Parametros
 X ,ENTITY,br.com.webbudget.domain.entities.entries.Contact,removeTelephone,4,1,2,1,Muitos Parametros
 X ,ENTITY,br.com.webbudget.domain.entities.security.Group,getGrants,7,2,4,0,Alto Acoplamento Efferent
 X ,ENTITY,br.com.webbudget.domain.entities.financial.FixedMovement,addApportionment,21,12,4,1,Muitos Parametros
 V ,ENTITY,br.com.webbudget.application.controller.AbstractBean,addInfo,4,2,4,3,Muitos Parametros
