Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side,Full Message
won.protocol.exception.IllegalMessageForNeedStateException,getNeedState,null,3,1,1,0,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.owner.service.impl.WONUserDetailService,setUserRepository,null,3,1,2,1,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.bot.framework.events.action.impl.ProbabilisticSelectionAction,doRun,null,9,2,4,1,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.bot.framework.events.filter.impl.NotFilter,accept,null,3,1,2,1,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.bot.impl.BAAtomicCCBot,getParticipantFacetType,null,3,1,1,0,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.protocol.jms.NeedBasedCamelConfiguratorImpl,getCamelContext,null,3,1,2,0,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.matcher.service.SearchResultModelMapper,fromModel,null,3,1,3,1,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.owner.pojo.ConnectionPojo,setFacetURIs,null,3,1,2,1,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.matcher.query.rdf.TimeIntervalTest,readIndex,null,15,2,6,0,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.owner.web.websocket.WonHandshakeInterceptor,(static_block),null,0,1,0,0,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.protocol.jms.MessagingServiceImpl,inspectBody,null,3,1,1,1,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.matcher.service.ScoreTransformer,getDomainMin,null,3,1,1,0,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.node.service.impl.QueueManagementServiceImpl,setOwnerApplicationRepository,null,3,1,2,1,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.owner.web.need.NeedController,setOwnerService,null,3,1,2,1,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.owner.ws.OwnerProtocolNeedServiceClientWSBased,readConnection,null,3,1,3,1,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.matcher.query.rdf.expr.QueriesForVariables,toString,null,3,1,1,0,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.bot.framework.component.needproducer.impl.TemplateBasedNeedProducer,setTemplate,null,3,1,2,1,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.node.protocol.impl.OwnerProtocolNeedServiceImpl,setNeedInformationService,null,3,1,2,1,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.matcher.protocol.impl.MatcherProtocolMatcherServiceImplJMSBased,configureMatcherProtocolOutTopics,null,6,1,4,1,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.matcher.query.rdf.op.StarShapedSubqueryIterator,getSubjectIterator,null,3,1,2,0,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.protocol.exception.IllegalMessageForNeedStateException,getMethodName,null,3,1,1,0,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
won.bot.framework.component.needproducer.impl.DirectoryBasedNeedProducer,setDirectory,null,3,1,2,1,null,13cfee5bcce45dcab53f26bfdd9288bfc0929848,,,,
