Commmit-id,Refactring-name,Refactoring-Type,Code Element Left,Code Element Right,Class Before,Class After
9d7a244e7bac8b1c0fd366ec97077107e9aea646,Change Variable Type,CHANGE_VARIABLE_TYPE,client : MongoClient,mongoClient : var,[edu.stanford.bmir.protege.web.server.inject.MongoClientProvider],[edu.stanford.bmir.protege.web.server.inject.MongoClientProvider]
9d7a244e7bac8b1c0fd366ec97077107e9aea646,Rename Variable,RENAME_VARIABLE,client : MongoClient,mongoClient : var,[edu.stanford.bmir.protege.web.server.inject.MongoClientProvider],[edu.stanford.bmir.protege.web.server.inject.MongoClientProvider]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Extract Subclass,EXTRACT_SUBCLASS,edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager,edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Method,PUSH_DOWN_OPERATION,private isLabellingAnnotation(ax OWLAnnotationAssertionAxiom) : boolean,private isLabellingAnnotation(ax OWLAnnotationAssertionAxiom) : boolean,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Method,PUSH_DOWN_OPERATION,public getLanguagesRankedByUsage() : ImmutableList<DictionaryLanguage>,public getLanguagesRankedByUsage() : ImmutableList<DictionaryLanguage>,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Method,PUSH_DOWN_OPERATION,public getLanguageUsage() : ImmutableList<DictionaryLanguageUsage>,public getLanguageUsage() : ImmutableList<DictionaryLanguageUsage>,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Method,PUSH_DOWN_OPERATION,public handleChanges(changes List<OWLOntologyChange>) : void,public handleChanges(changes List<OWLOntologyChange>) : void,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Method,PUSH_DOWN_OPERATION,private rebuild() : void,private rebuild() : void,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Method,PUSH_DOWN_OPERATION,private addAxiom(ax OWLAnnotationAssertionAxiom) : void,private addAxiom(ax OWLAnnotationAssertionAxiom) : void,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Method,PUSH_DOWN_OPERATION,private removeAxiom(ax OWLAnnotationAssertionAxiom) : void,private removeAxiom(ax OWLAnnotationAssertionAxiom) : void,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Method,PUSH_DOWN_OPERATION,private rebuildSortedLanguages() : void,private rebuildSortedLanguages() : void,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Method,PUSH_DOWN_OPERATION,private logSortedLanguages() : void,private logSortedLanguages() : void,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Attribute,PUSH_DOWN_ATTRIBUTE,private logger : Logger,private logger : Logger,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Attribute,PUSH_DOWN_ATTRIBUTE,private projectId : ProjectId,private projectId : ProjectId,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Attribute,PUSH_DOWN_ATTRIBUTE,private annotationAssertions : AnnotationAssertionAxiomsIndex,private annotationAssertions : AnnotationAssertionAxiomsIndex,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Attribute,PUSH_DOWN_ATTRIBUTE,private activeLangs : Multiset<DictionaryLanguage>,private activeLangs : Multiset<DictionaryLanguage>,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
80cd9bd12d83fb49801a5a664da6e51c18d875dc,Push Down Attribute,PUSH_DOWN_ATTRIBUTE,private sortedLanguages : ImmutableList<DictionaryLanguage>,private sortedLanguages : ImmutableList<DictionaryLanguage>,[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManager],[edu.stanford.bmir.protege.web.server.lang.ActiveLanguagesManagerImpl]
