Class,Method,Smell,LOC,CC,EC,NOP,Tecnicas,Commit,Refactoring,Left Side,Right Side
edu.stanford.bmir.protege.web.shared.entity.EntityNameChar_TestCase,shouldReturnBoundaryForSpace,null,4,1,1,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.ontology.entity.CreateEntityDialogController,getInitialFocusable,null,3,1,2,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.portlet.propertyForm.InstanceGridWidget,createCommentColumnRenderer,null,13,1,0,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.server.OntologyChangeSubjectProvider,getChangeSubjects,null,3,1,2,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.ontology.id.OntologyIdViewImpl,isEnabled,null,3,1,2,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.Application,run,null,11,1,0,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.projectconfig.ProjectConfigurationDialogController,getWidget,null,3,1,1,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.shared.frame.PropertyValueDescriptor,hashCode,null,3,2,4,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.primitive.PrimitiveDataListEditor,onValueChange,null,6,2,1,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.primitive.NullFreshEntitiesHandler,getErrorMessage,null,3,1,1,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.server.UUIDMigrator,runMigrator,null,3,1,0,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.ontology.properties.PropertiesTreePortlet,getSelection,null,12,4,5,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.library.text.ExpandingTextBox,setAccessKey,null,3,1,2,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.shared.metrics.ProfileMetricValueTestCase,shouldReturnProfileNameForMetricName,null,4,1,1,0,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
edu.stanford.bmir.protege.web.client.ui.projectconfig.ProjectConfigurationInfo,equals,null,10,3,3,1,null,ced8c5a2e522dbd590d01c46296f3ed0528e6573,,,
