Classe                              ;ArchitecturalRole                        ;
com.zegoggles.smssync.auth.TokenRefresherTest;UNINDENTIFIED;
com.zegoggles.smssync.preferences.AuthPreferences;UNINDENTIFIED;
com.zegoggles.smssync.auth.XOAuthConsumerTest;UNINDENTIFIED;
com.zegoggles.smssync.service.BackupTask;UNINDENTIFIED;
com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity;UNINDENTIFIED;
com.zegoggles.smssync.service.BackupConfigTest;UNINDENTIFIED;
com.zegoggles.smssync.service.exception.RequiresWifiException;UNINDENTIFIED;
com.zegoggles.smssync.service.ServiceBase;UNINDENTIFIED;
com.zegoggles.smssync.service.CalendarSyncerTest;UNINDENTIFIED;
com.zegoggles.smssync.preferences.ServerPreferences;UNINDENTIFIED;
com.zegoggles.smssync.service.exception.ConnectivityException;UNINDENTIFIED;
com.zegoggles.smssync.contacts.Group;UNINDENTIFIED;
com.zegoggles.smssync.mail.MmsSupport;UNINDENTIFIED;
com.zegoggles.smssync.mail.PersonRecord;UNINDENTIFIED;
com.zegoggles.smssync.service.exception.NoConnectionException;UNINDENTIFIED;
com.zegoggles.smssync.service.WhatsAppItemsFetcherTest;UNINDENTIFIED;
com.zegoggles.smssync.service.state.BackupState;UNINDENTIFIED;
com.zegoggles.smssync.service.BackupQueryBuilderTest;UNINDENTIFIED;
com.zegoggles.smssync.calendar.CalendarAccessorPost40Test;UNINDENTIFIED;
com.zegoggles.smssync.mail.AttachmentTest;UNINDENTIFIED;
com.zegoggles.smssync.mail.MessageGeneratorTest;UNINDENTIFIED;
com.zegoggles.smssync.service.BackupTaskTest;UNINDENTIFIED;
com.zegoggles.smssync.mail.Headers;UNINDENTIFIED;
com.zegoggles.smssync.preferences.BackupManagerWrapper;UNINDENTIFIED;
com.zegoggles.smssync.mail.ConversionResultTest;UNINDENTIFIED;
com.zegoggles.smssync.mail.CallFormatter;UNINDENTIFIED;
com.zegoggles.smssync.mail.BackupImapStore;UNINDENTIFIED;
com.zegoggles.smssync.service.RestoreTask;UNINDENTIFIED;
com.zegoggles.smssync.service.exception.BackupDisabledException;UNINDENTIFIED;
com.zegoggles.smssync.service.WhatsAppItemsFetcher;UNINDENTIFIED;
com.zegoggles.smssync.preferences.PreferencesTest;UNINDENTIFIED;
com.zegoggles.smssync.activity.auth.AuthActivity;UNINDENTIFIED;
com.zegoggles.smssync.preferences.Preferences;UNINDENTIFIED;
com.zegoggles.smssync.receiver.SmsBroadcastReceiver;UNINDENTIFIED;
com.zegoggles.smssync.service.state.State;UNINDENTIFIED;
com.zegoggles.smssync.service.Alarms;UNINDENTIFIED;
com.zegoggles.smssync.service.RestoreConfig;UNINDENTIFIED;
com.zegoggles.smssync.mail.CallFormatterTest;UNINDENTIFIED;
com.zegoggles.smssync.calendar.CalendarAccessorPost40;UNINDENTIFIED;
com.zegoggles.smssync.service.state.RestoreState;UNINDENTIFIED;
com.zegoggles.smssync.service.BackupCursors;UNINDENTIFIED;
com.zegoggles.smssync.utils.ThreadHelper;UNINDENTIFIED;
com.zegoggles.smssync.service.BackupItemsFetcher;UNINDENTIFIED;
com.zegoggles.smssync.preferences.Defaults;UNINDENTIFIED;
com.zegoggles.smssync.preferences.PreferenceBackupAgent;UNINDENTIFIED;
com.zegoggles.smssync.contacts.ContactAccessorPre20;UNINDENTIFIED;
com.zegoggles.smssync.service.AlarmsTest;UNINDENTIFIED;
com.zegoggles.smssync.utils.AppLog;UNINDENTIFIED;
com.zegoggles.smssync.calendar.CalendarAccessorPre40;UNINDENTIFIED;
com.zegoggles.smssync.auth.TokenRefresher;UNINDENTIFIED;
