Classe                              ;DesignRoleTechnique                        ;Concorda?;
com.zegoggles.smssync.mail.BackupImapStoreTest;TEST;SIM;
com.zegoggles.smssync.activity.donation.DonationActivity;ACTIVITY;SIM;
com.zegoggles.smssync.receiver.SmsBroadcastReceiver;BROADCASTRECEIVER;SIM;
com.zegoggles.smssync.activity.Dialogs;UNDEFINED;SIM;
com.zegoggles.smssync.contacts.ContactAccessorTest;TEST;SIM;
com.zegoggles.smssync.service.BackupConfig;UNDEFINED;SIM;
com.zegoggles.smssync.service.SmsBackupServiceTest;TEST;SIM;
com.zegoggles.smssync.activity.events.MissingPermissionsEvent;UNDEFINED;SIM;
com.zegoggles.smssync.activity.events.AutoBackupSettingsChangedEvent;UNDEFINED;SIM;
com.zegoggles.smssync.mail.MessageConverter;UNDEFINED;SIM;
com.zegoggles.smssync.service.exception.BackupDisabledException;EXCEPTION;SIM;
com.zegoggles.smssync.mail.PersonRecord;UNDEFINED;SIM;
com.zegoggles.smssync.mail.AllTrustedSocketFactory;[TRUSTEDSOCKETFACTORY];SIM;
com.zegoggles.smssync.mail.PersonRecordTest;TEST;SIM;
com.zegoggles.smssync.mail.PersonLookupTest;TEST;SIM;
com.zegoggles.smssync.mail.BackupImapStore;PERSISTENCE;SIM;
com.zegoggles.smssync.contacts.ContactGroupIds;UNDEFINED;SIM;
com.zegoggles.smssync.compat.HeadlessSmsSendService;SERVICE;SIM;
com.zegoggles.smssync.preferences.AuthPreferencesTest;TEST;SIM;
com.zegoggles.smssync.activity.PreferenceTitles;UNDEFINED;SIM;
com.zegoggles.smssync.contacts.Group;UNDEFINED;SIM;
com.zegoggles.smssync.service.AlarmManagerDriverTest;TEST;SIM;
com.zegoggles.smssync.activity.donation.SkuTest;TEST;SIM;
com.zegoggles.smssync.utils.Sanitizer;UNDEFINED;SIM;
com.zegoggles.smssync.mail.Headers;UNDEFINED;SIM;
com.zegoggles.smssync.calendar.CalendarAccessorPost40;[CALENDARACCESSOR];SIM;
com.zegoggles.smssync.service.BackupCursorsTest;TEST;SIM;
com.zegoggles.smssync.service.CalendarSyncerTest;TEST;SIM;
com.zegoggles.smssync.service.BackupConfigTest;TEST;SIM;
com.zegoggles.smssync.mail.MessageGeneratorTest;TEST;SIM;
com.zegoggles.smssync.calendar.CalendarAccessorPre40;[CALENDARACCESSOR];SIM;
com.zegoggles.smssync.activity.fragments.AutoBackupSettings;FRAGMENT;SIM;
com.zegoggles.smssync.mail.CallFormatter;UNDEFINED;SIM;
com.zegoggles.smssync.mail.MmsSupport;UNDEFINED;SIM;
com.zegoggles.smssync.utils.ThreadHelper;UNDEFINED;SIM;
com.zegoggles.smssync.service.state.StateTest;TEST;SIM;
