"Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? "
" A, X ;UNDEFINED;com.zegoggles.smssync.mail.Attachment;createPartFromUri;3;1;5;4;Muitos Parametros;(1) Discordo Fortemente;;"
" A, R, V, X ;ASYNCTASK;com.zegoggles.smssync.service.BackupTask;fetchAndBackupItems;38;8;15;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" A, D, X ;ASYNCTASK;com.zegoggles.smssync.service.BackupTask;backupCursors;35;7;12;4;Muitos Parametros;(1) Discordo Fortemente;;"
" A, R, D, V, X ;UNDEFINED;com.zegoggles.smssync.mail.HeaderGenerator;setHeaders;24;5;7;7;Muitos Parametros;(1) Discordo Fortemente;;"
" A, R, D, V, X ;[CALENDARACCESSOR];com.zegoggles.smssync.calendar.CalendarAccessorPre40;addEntry;21;3;10;5;Muitos Parametros;(1) Discordo Fortemente;;"
" A, X ;ACTIVITY;com.zegoggles.smssync.activity.auth.AuthActivity;onReceivedError;3;1;7;4;Muitos Parametros;(1) Discordo Fortemente;;"
" A, R, D, V, X ;UNDEFINED;com.zegoggles.smssync.mail.MessageGenerator;messageFromMapCallLog;38;10;16;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" A, R, D, V, X ;ACTIVITY;com.zegoggles.smssync.activity.MainActivity;setPreferenceListeners;113;2;0;1;Metodo Longo;(1) Discordo Fortemente;;"
" A, R, V, X ;ASYNCTASK;com.zegoggles.smssync.service.RestoreTask;restore;52;13;15;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
 V ;ACTIVITY;com.zegoggles.smssync.activity.auth.AuthActivity;onCreate;50;1;0;1;Metodo Longo;(1) Discordo Fortemente;;
" A, R, D, V, X ;ACTIVITY;com.zegoggles.smssync.activity.MainActivity;onCreateDialog;133;5;0;1;Metodo Longo;(1) Discordo Fortemente;;"
" A, R, D, X ;UNDEFINED;com.zegoggles.smssync.mail.MessageGenerator;messageFromMapMms;39;7;14;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" A, R, D, V, X ;UNDEFINED;com.zegoggles.smssync.mail.MmsSupport;getDetails;25;6;16;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" A, V, X ;ASYNCTASK;com.zegoggles.smssync.service.RestoreTask;restore;52;13;15;1;Muitos Desvios;(1) Discordo Fortemente;;"
" A, R, D, V, X ;UNDEFINED;com.zegoggles.smssync.utils.AppLog;onLayout;4;1;1;5;Muitos Parametros;(1) Discordo Fortemente;;"
" A, R, D, V, X ;[CALENDARACCESSOR];com.zegoggles.smssync.calendar.CalendarAccessorPost40;addEntry;22;3;10;5;Muitos Parametros;(1) Discordo Fortemente;;"
 A ;UNDEFINED;com.zegoggles.smssync.service.CalendarSyncer;syncCalendar;17;4;13;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
" A, X ;SERVICE;com.zegoggles.smssync.service.SmsBackupService;getBackupConfig;3;1;5;4;Muitos Parametros;(1) Discordo Fortemente;;"
 A ;SERVICE;com.zegoggles.smssync.service.SmsRestoreService;handleIntent;14;3;13;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
" A, X ;COMMONSHTTPOAUTHCONSUMER;com.zegoggles.smssync.auth.XOAuthConsumer;startElement;3;1;11;4;Muitos Parametros;(1) Discordo Fortemente;;"
" A, D, X ;TEST;com.zegoggles.smssync.service.CalendarSyncerTest;message;8;1;5;4;Muitos Parametros;(1) Discordo Fortemente;;"
" A, R, D, X ;UNDEFINED;com.zegoggles.smssync.mail.MessageGenerator;messageFromMapSms;28;5;14;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
 V ;ASYNCTASK;com.zegoggles.smssync.service.RestoreTask;restore;52;13;15;1;Metodo Longo;(1) Discordo Fortemente;;
