"Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? "
 D ;SERVICE;com.zegoggles.smssync.service.SmsBackupService;handleIntent;29;9;11;1;Metodo Longo;(1) Discordo Fortemente;;
" R, D ;SERVICE;com.zegoggles.smssync.service.SmsBackupService;handleIntent;29;9;11;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D, X ;UNDEFINED;com.zegoggles.smssync.mail.MessageConverter;cursorToMessages;40;8;14;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" A, R, D, X ;ASYNCTASK;com.zegoggles.smssync.service.BackupTask;doInBackground;92;23;18;1;Muitos Desvios;(1) Discordo Fortemente;;"
" A, R, D, X ;UNDEFINED;com.zegoggles.smssync.mail.MessageGenerator;messageFromMapMms;62;13;24;1;Metodo Longo;(1) Discordo Fortemente;;"
" A, R, D, X ;UNDEFINED;com.zegoggles.smssync.mail.MessageGenerator;messageFromMapCallLog;43;11;18;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;UNDEFINED;com.zegoggles.smssync.mail.MessageConverter;messageToContentValues;39;8;13;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
 R ;ASYNCTASK;com.zegoggles.smssync.service.RestoreTask;doInBackground;49;16;16;1;Metodo Longo;(1) Discordo Fortemente;;
" A, R, D, X ;UNDEFINED;com.zegoggles.smssync.mail.MessageGenerator;MessageGenerator;9;1;7;6;Muitos Parametros;(1) Discordo Fortemente;;"
" A, R, D, X ;ACTIVITY;com.zegoggles.smssync.activity.MainActivity;onCreateDialog;133;5;0;1;Metodo Longo;(1) Discordo Fortemente;;"
" A, R, D, X ;ASYNCTASK;com.zegoggles.smssync.service.BackupTask;backup;62;24;12;6;Metodo Longo;(1) Discordo Fortemente;;"
" A, R, D, X ;UNDEFINED;com.zegoggles.smssync.service.BackupQueryBuilder;Query;3;2;4;5;Muitos Parametros;(1) Discordo Fortemente;;"
" A, R, D, X ;[CALENDARACCESSOR];com.zegoggles.smssync.calendar.CalendarAccessorPost40;addEntry;20;3;8;6;Muitos Parametros;(1) Discordo Fortemente;;"
" A, R, D, X ;UNDEFINED;com.zegoggles.smssync.service.CalendarSyncer;syncCalendar;21;5;15;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;COMMONSHTTPOAUTHCONSUMER;com.zegoggles.smssync.auth.XOAuthConsumer;generateXOAuthString;27;7;13;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;"
" R, D ;UNDEFINED;com.zegoggles.smssync.mail.MessageGenerator;messageFromMapWhatsApp;36;8;12;1;Muitos Desvios;(1) Discordo Fortemente;;"
" A, R, D, X ;ASYNCTASK;com.zegoggles.smssync.service.BackupTask;doInBackground;92;23;18;1;Metodo Longo;(1) Discordo Fortemente;;"
