DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
ADAPTER,com.klinker.android.twitter.adapters.MainDrawerArrayAdapter,6,2,19,0,0,6,37,63,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\adapters\MainDrawerArrayAdapter.java,class,false
UNDEFINED,com.klinker.android.twitter.data.sq_lite.EmojiDataSource,8,1,8,2,0,8,16,14,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\data\sq_lite\EmojiDataSource.java,class,false
PERSISTENCE,com.klinker.android.twitter.data.sq_lite.InteractionsSQLiteHelper,3,2,3,3,0,3,4,3,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\data\sq_lite\InteractionsSQLiteHelper.java,class,false
ACTIVITY,com.klinker.android.twitter.activity.WearActivity,5,3,11,18,0,5,23,17,D:\Projetos\_Android\Talon-for-Twitter\wear\src\main\java\com\klinker\android\twitter\activity\WearActivity.java,class,false
UNDEFINED,com.klinker.android.twitter.util.IoUtils,2,1,2,1,0,2,6,2,D:\Projetos\_Android\Talon-for-Twitter\wear\src\main\java\com\klinker\android\twitter\util\IoUtils.java,class,false
UNDEFINED,com.klinker.android.twitter.data.sq_lite.FavoriteTweetsDataSource,17,1,15,0,0,17,47,91,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\data\sq_lite\FavoriteTweetsDataSource.java,class,false
UNDEFINED,com.klinker.android.twitter.utils.TweetLinkUtils,5,1,7,10,0,5,31,182,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\utils\TweetLinkUtils.java,class,false
UNDEFINED,com.klinker.android.twitter.data.sq_lite.DMDataSource,15,1,11,0,0,15,31,36,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\data\sq_lite\DMDataSource.java,class,false
ADAPTER,com.klinker.android.twitter.adapters.AutoCompletePeopleAdapter,2,4,9,8,0,2,12,13,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\adapters\AutoCompletePeopleAdapter.java,class,false
ACTIVITY,com.klinker.android.twitter.activities.scheduled_tweets.NewScheduledTweet,9,2,46,71,0,9,96,74,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\activities\scheduled_tweets\NewScheduledTweet.java,class,false
ADAPTER,com.klinker.android.twitter.adapters.ProfilePagerAdapter,5,2,11,6,0,5,5,13,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\adapters\ProfilePagerAdapter.java,class,false
FRAGMENT,com.klinker.android.twitter.activities.main_fragments.other_fragments.SecondAccMentionsFragment,8,4,11,43,0,8,16,23,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\activities\main_fragments\other_fragments\SecondAccMentionsFragment.java,class,false
ACTIVITY,com.klinker.android.twitter.activities.profile_viewer.LauncherProfilePager,1,3,2,0,0,1,7,3,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\activities\profile_viewer\LauncherProfilePager.java,class,false
SERVICE,com.klinker.android.twitter.services.DirectMessageRefreshService,2,2,14,1,0,2,26,17,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\services\DirectMessageRefreshService.java,class,false
FRAGMENT,com.klinker.android.twitter.activities.search.UserSearchFragment,10,2,31,3,0,10,51,41,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\activities\search\UserSearchFragment.java,class,false
ADAPTER,com.klinker.android.twitter.adapters.SearchPagerAdapter,7,2,8,7,0,7,9,13,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\adapters\SearchPagerAdapter.java,class,false
ACTIVITY,com.klinker.android.twitter.activity.WearTransactionActivity,19,2,19,189,0,19,45,51,D:\Projetos\_Android\Talon-for-Twitter\wear\src\main\java\com\klinker\android\twitter\activity\WearTransactionActivity.java,class,false
FRAGMENT,com.klinker.android.twitter.activities.profile_viewer.fragments.sub_fragments.ProfilePicturesFragment,6,2,26,1,0,6,33,40,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\activities\profile_viewer\fragments\sub_fragments\ProfilePicturesFragment.java,class,false
ADAPTER,com.klinker.android.twitter.adapters.emoji.PeopleEmojiAdapter,4,3,10,8,0,4,17,17,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\adapters\emoji\PeopleEmojiAdapter.java,class,false
SERVICE,com.klinker.android.twitter.services.TrimDataService,7,2,19,21,0,7,41,17,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\services\TrimDataService.java,class,false
FRAGMENT,com.klinker.android.twitter.activities.profile_viewer.fragments.sub_fragments.ProfileMentionsFragment,5,2,27,0,0,5,33,33,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\activities\profile_viewer\fragments\sub_fragments\ProfileMentionsFragment.java,class,false
ADAPTER,com.klinker.android.twitter.adapters.TrendsPagerAdapter,4,2,9,4,0,4,2,12,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\adapters\TrendsPagerAdapter.java,class,false
SERVICE,com.klinker.android.twitter.services.SecondMentionsRefreshService,2,2,12,1,0,2,18,13,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\services\SecondMentionsRefreshService.java,class,false
VIEW,com.klinker.android.twitter.views.NetworkedCacheableImageView,12,2,29,0,0,12,42,87,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\views\NetworkedCacheableImageView.java,class,false
ADAPTER,com.klinker.android.twitter.adapters.PicturesGridAdapter,6,2,16,14,0,6,31,20,D:\Projetos\_Android\Talon-for-Twitter\app\src\main\java\com\klinker\android\twitter\adapters\PicturesGridAdapter.java,class,false
