DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
ACTIVITY,de.schildbach.wallet.ui.backup.BackupWalletActivity,2,3,4,1,0,2,5,2,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\backup\BackupWalletActivity.java,class,false
FRAGMENT,de.schildbach.wallet.ui.AlertDialogsFragment,9,2,32,0,0,9,87,84,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\AlertDialogsFragment.java,class,false
ADAPTER,de.schildbach.wallet.ui.ExchangeRatesAdapter,7,2,26,0,0,7,24,27,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\ExchangeRatesAdapter.java,class,false
FRAGMENT,de.schildbach.wallet.ui.monitor.BlockListFragment,5,2,28,0,0,5,35,13,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\monitor\BlockListFragment.java,class,false
ENTITY,de.schildbach.wallet.data.AddressBookEntry,4,1,6,2,0,4,2,7,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\data\AddressBookEntry.java,class,true
MODEL,de.schildbach.wallet.ui.WalletDisclaimerViewModel,7,2,11,0,0,7,6,13,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\WalletDisclaimerViewModel.java,class,false
UNDEFINED,de.schildbach.wallet.Constants,1,1,11,0,0,1,23,8,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\Constants.java,class,false
UNDEFINED,de.schildbach.wallet.util.Qr,5,1,8,10,0,5,24,15,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\util\Qr.java,class,false
LIVEDATA,de.schildbach.wallet.data.WalletBalanceLiveData,12,4,16,70,0,12,21,15,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\data\WalletBalanceLiveData.java,class,false
SIMPLEDATEFORMAT,de.schildbach.wallet.util.Iso8601Format,9,2,2,36,0,9,6,9,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\util\Iso8601Format.java,class,false
TEST,de.schildbach.wallet.util.FormatsTest,1,1,1,0,0,1,8,1,D:\Projetos\_Android\bitcoin-wallet\wallet\test\de\schildbach\wallet\util\FormatsTest.java,class,false
SERVICE,de.schildbach.wallet.offline.AcceptBluetoothService,7,2,21,0,0,7,36,21,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\offline\AcceptBluetoothService.java,class,false
LIVEDATA,de.schildbach.wallet.data.AbstractWalletLiveData,10,3,10,0,2,10,8,15,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\data\AbstractWalletLiveData.java,class,false
MODEL,de.schildbach.wallet.ui.WalletAddressesViewModel,11,2,22,0,0,11,17,21,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\WalletAddressesViewModel.java,class,false
FRAGMENT,de.schildbach.wallet.ui.FancyListFragment,2,2,6,1,2,2,4,2,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\FancyListFragment.java,class,false
MODEL,de.schildbach.wallet.ui.WalletAddressViewModel,14,2,26,150,0,14,26,24,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\WalletAddressViewModel.java,class,false
FRAGMENT,de.schildbach.wallet.ui.ExchangeRatesFragment,8,2,34,27,0,8,55,40,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\ExchangeRatesFragment.java,class,false
LIVEDATA,de.schildbach.wallet.data.ConfigOwnNameLiveData,4,2,7,0,0,4,6,6,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\data\ConfigOwnNameLiveData.java,class,false
FRAGMENT,de.schildbach.wallet.ui.ProgressDialogFragment,5,2,11,2,0,5,10,9,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\ProgressDialogFragment.java,class,false
TEST,de.schildbach.wallet.util.WalletUtilsTest,2,1,2,1,0,2,4,2,D:\Projetos\_Android\bitcoin-wallet\wallet\test\de\schildbach\wallet\util\WalletUtilsTest.java,class,false
