DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
ACTIVITY,de.schildbach.wallet.ui.backup.BackupWalletActivity,onCreate,5,1,3,1,0,1182,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\backup\BackupWalletActivity.java
ACTIVITY,de.schildbach.wallet.ui.backup.BackupWalletActivity,start,3,1,2,1,0,1041,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\backup\BackupWalletActivity.java
FRAGMENT,de.schildbach.wallet.ui.AlertDialogsFragment,createTimeskewAlertDialog,21,2,0,1,0,12503,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\AlertDialogsFragment.java
FRAGMENT,de.schildbach.wallet.ui.AlertDialogsFragment,onAttach,7,1,5,1,0,2928,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\AlertDialogsFragment.java
FRAGMENT,de.schildbach.wallet.ui.AlertDialogsFragment,run,87,27,0,0,0,5828,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\AlertDialogsFragment.java
FRAGMENT,de.schildbach.wallet.ui.AlertDialogsFragment,createSettingsFailedDialog,7,1,4,1,0,17819,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\AlertDialogsFragment.java
FRAGMENT,de.schildbach.wallet.ui.AlertDialogsFragment,onEvent,4,1,5,1,0,3558,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\AlertDialogsFragment.java
FRAGMENT,de.schildbach.wallet.ui.AlertDialogsFragment,onEvent,4,1,3,1,0,3870,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\AlertDialogsFragment.java
FRAGMENT,de.schildbach.wallet.ui.AlertDialogsFragment,onEvent,4,1,3,1,0,4171,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\AlertDialogsFragment.java
FRAGMENT,de.schildbach.wallet.ui.AlertDialogsFragment,onEvent,4,1,3,1,0,4527,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\AlertDialogsFragment.java
FRAGMENT,de.schildbach.wallet.ui.AlertDialogsFragment,onEvent,4,2,0,1,0,4827,D:\Projetos\_Android\bitcoin-wallet\wallet\src\de\schildbach\wallet\ui\AlertDialogsFragment.java
