Project 01,Project 02,SimilarityResult [0-1]
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\webprotege,"0,97"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\kafdrop,"0,02"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\webofneeds,"0,14"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\aet,"0,03"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\webanno,"0,03"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\kafka-webview,"0,01"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\ice,"0,06"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\bonita-web,"0,30"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\optaweb-vehicle-routing,"0,03"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\openmrs-core,"0,05"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\heritrix3,"0,01"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\metl,"0,03"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\mes,"0,02"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\bamboobsc,"0,03"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\web-budget,"0,13"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\phenotips,"0,05"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\zanata-platform,"0,32"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\geowe-core,"0,02"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\bigbluebutton,"0,08"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\libreplan,"0,02"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\openmpf,"0,03"
D:\Projetos\_Web\webprotege,D:\Projetos\_Web\jbpm-wb,"0,46"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\webprotege,"0,02"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\kafdrop,"1,00"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\webofneeds,"0,69"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\aet,"0,00"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\webanno,"0,31"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\kafka-webview,"0,38"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\ice,"0,39"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\bonita-web,"0,23"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\optaweb-vehicle-routing,"0,50"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\openmrs-core,"0,57"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\heritrix3,"0,00"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\metl,"0,22"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\mes,"0,92"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\bamboobsc,"0,71"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\web-budget,"0,00"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\phenotips,"0,49"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\zanata-platform,"0,38"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\geowe-core,"0,05"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\bigbluebutton,"0,09"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\libreplan,"0,41"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\openmpf,"0,91"
D:\Projetos\_Web\kafdrop,D:\Projetos\_Web\jbpm-wb,"0,31"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\webprotege,"0,14"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\kafdrop,"0,69"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\webofneeds,"0,97"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\aet,"0,07"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\webanno,"0,28"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\kafka-webview,"0,33"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\ice,"0,40"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\bonita-web,"0,21"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\optaweb-vehicle-routing,"0,40"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\openmrs-core,"0,45"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\heritrix3,"0,03"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\metl,"0,27"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\mes,"0,62"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\bamboobsc,"0,56"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\web-budget,"0,11"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\phenotips,"0,47"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\zanata-platform,"0,43"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\geowe-core,"0,07"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\bigbluebutton,"0,24"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\libreplan,"0,31"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\openmpf,"0,67"
D:\Projetos\_Web\webofneeds,D:\Projetos\_Web\jbpm-wb,"0,32"
D:\Projetos\_Web\aet,D:\Projetos\_Web\webprotege,"0,03"
D:\Projetos\_Web\aet,D:\Projetos\_Web\kafdrop,"0,00"
D:\Projetos\_Web\aet,D:\Projetos\_Web\webofneeds,"0,07"
D:\Projetos\_Web\aet,D:\Projetos\_Web\aet,"0,95"
D:\Projetos\_Web\aet,D:\Projetos\_Web\webanno,"0,09"
D:\Projetos\_Web\aet,D:\Projetos\_Web\kafka-webview,"0,03"
D:\Projetos\_Web\aet,D:\Projetos\_Web\ice,"0,14"
D:\Projetos\_Web\aet,D:\Projetos\_Web\bonita-web,"0,19"
D:\Projetos\_Web\aet,D:\Projetos\_Web\optaweb-vehicle-routing,"0,08"
D:\Projetos\_Web\aet,D:\Projetos\_Web\openmrs-core,"0,10"
D:\Projetos\_Web\aet,D:\Projetos\_Web\heritrix3,"0,07"
D:\Projetos\_Web\aet,D:\Projetos\_Web\metl,"0,15"
D:\Projetos\_Web\aet,D:\Projetos\_Web\mes,"0,01"
D:\Projetos\_Web\aet,D:\Projetos\_Web\bamboobsc,"0,01"
D:\Projetos\_Web\aet,D:\Projetos\_Web\web-budget,"0,02"
D:\Projetos\_Web\aet,D:\Projetos\_Web\phenotips,"0,14"
D:\Projetos\_Web\aet,D:\Projetos\_Web\zanata-platform,"0,13"
D:\Projetos\_Web\aet,D:\Projetos\_Web\geowe-core,"0,05"
D:\Projetos\_Web\aet,D:\Projetos\_Web\bigbluebutton,"0,24"
D:\Projetos\_Web\aet,D:\Projetos\_Web\libreplan,"0,04"
D:\Projetos\_Web\aet,D:\Projetos\_Web\openmpf,"0,07"
D:\Projetos\_Web\aet,D:\Projetos\_Web\jbpm-wb,"0,16"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\webprotege,"0,03"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\kafdrop,"0,31"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\webofneeds,"0,28"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\aet,"0,09"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\webanno,"0,98"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\kafka-webview,"0,00"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\ice,"0,22"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\bonita-web,"0,12"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\optaweb-vehicle-routing,"0,27"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\openmrs-core,"0,26"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\heritrix3,"0,06"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\metl,"0,40"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\mes,"0,35"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\bamboobsc,"0,15"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\web-budget,"0,03"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\phenotips,"0,25"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\zanata-platform,"0,35"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\geowe-core,"0,08"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\bigbluebutton,"0,32"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\libreplan,"0,17"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\openmpf,"0,30"
D:\Projetos\_Web\webanno,D:\Projetos\_Web\jbpm-wb,"0,41"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\webprotege,"0,01"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\kafdrop,"0,38"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\webofneeds,"0,33"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\aet,"0,03"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\webanno,"0,00"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\kafka-webview,"1,00"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\ice,"0,00"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\bonita-web,"0,00"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\optaweb-vehicle-routing,"0,14"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\openmrs-core,"0,01"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\heritrix3,"0,02"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\metl,"0,04"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\mes,"0,02"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\bamboobsc,"0,83"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\web-budget,"0,00"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\phenotips,"0,50"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\zanata-platform,"0,00"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\geowe-core,"0,00"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\bigbluebutton,"0,12"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\libreplan,"0,01"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\openmpf,"0,51"
D:\Projetos\_Web\kafka-webview,D:\Projetos\_Web\jbpm-wb,"0,00"
D:\Projetos\_Web\ice,D:\Projetos\_Web\webprotege,"0,06"
