DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldTestForValidFolder,10,1,0,0,0,1392,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testShouldCreateCorrectTrustFactoryForTrustedSSLUrl,5,1,2,0,0,2214,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testShouldCreateCorrectTrustFactoryForTrustedTLSUrl,5,1,2,0,0,2937,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testAccountHasStoreUri,5,1,2,0,0,1929,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldHaveToStringWithStoreUriForLogging,4,1,1,0,0,4418,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldHaveToStringWithObfuscatedStoreURIWithPort,4,1,1,0,0,3621,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldThrowExceptionIfPasswordIsMissing,3,1,1,0,0,4182,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldThrowExceptionIfUsernameIsMissing,3,1,1,0,0,3957,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,shouldTestForValidUri,10,1,0,0,0,629,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
TEST,com.zegoggles.smssync.mail.BackupImapStoreTest,testShouldCreateCorrectTrustFactoryForTrustAllSSLUrl,5,1,2,0,0,2578,D:\Projetos\_Android\sms-backup-plus\app\src\test\java\com\zegoggles\smssync\mail\BackupImapStoreTest.java
