DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
TEST,com.zegoggles.smssync.auth.TokenRefresherTest,shouldInvalidateTokenOnRefresh,7,1,3,0,0,1678,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\auth\TokenRefresherTest.java
TEST,com.zegoggles.smssync.auth.TokenRefresherTest,shouldInvalidateTokenManually,4,1,1,0,0,1187,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\auth\TokenRefresherTest.java
TEST,com.zegoggles.smssync.auth.TokenRefresherTest,shouldSetNewTokenAfterRefresh,11,1,6,0,0,3041,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\auth\TokenRefresherTest.java
TEST,com.zegoggles.smssync.auth.TokenRefresherTest,before,4,1,1,0,0,1047,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\auth\TokenRefresherTest.java
TEST,com.zegoggles.smssync.auth.TokenRefresherTest,shouldHandleSecurityExceptionWhenInvalidatingToken,4,1,2,0,0,1406,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\auth\TokenRefresherTest.java
TEST,com.zegoggles.smssync.auth.TokenRefresherTest,shouldHandleExceptionsThrownByFuture,9,1,5,0,0,2291,D:\Projetos\_Android\sms-backup-plus\tests\src\com\zegoggles\smssync\auth\TokenRefresherTest.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,encode,8,3,4,1,0,8390,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,generateXOAuth2Token,11,2,4,0,0,7289,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,getImapUsername,3,1,2,0,0,7076,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,getCredentials,3,1,2,0,0,6938,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,setOauth2Token,4,1,2,2,0,3315,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,getOauthUsername,3,1,2,0,0,6441,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
UNDEFINED,com.zegoggles.smssync.preferences.AuthPreferences,getUsername,3,1,2,0,0,2859,D:\Projetos\_Android\sms-backup-plus\src\com\zegoggles\smssync\preferences\AuthPreferences.java
