DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
UNDEFINED,edu.isi.karma.kr2rml.mapping.KR2RMLMappingAuxillaryInformation,9,1,3,24,0,9,5,17,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\kr2rml\mapping\KR2RMLMappingAuxillaryInformation.java,class,false
VIEW,edu.isi.karma.web.services.rdf.RDFGeneratorServlet,17,1,44,78,0,17,106,94,D:\Projetos\_Web\Web-Karma\karma-web-services\web-services-rdf\src\main\java\edu\isi\karma\web\services\rdf\RDFGeneratorServlet.java,class,false
CONTROLLER,edu.isi.karma.controller.command.worksheet.GenerateClusterValuesCommandFactory,3,3,10,3,0,3,7,3,D:\Projetos\_Web\Web-Karma\karma-commands\commands-worksheet\src\main\java\edu\isi\karma\controller\command\worksheet\GenerateClusterValuesCommandFactory.java,class,false
CONTROLLER,edu.isi.karma.controller.command.FetchPreferencesCommandFactory,2,2,5,1,0,2,3,2,D:\Projetos\_Web\Web-Karma\karma-commands\commands-update\src\main\java\edu\isi\karma\controller\command\FetchPreferencesCommandFactory.java,class,false
CONTROLLER,edu.isi.karma.controller.command.transformation.RepeatPythonTransformationCommandFactory,3,3,12,3,0,3,11,7,D:\Projetos\_Web\Web-Karma\karma-commands\commands-python\src\main\java\edu\isi\karma\controller\command\transformation\RepeatPythonTransformationCommandFactory.java,class,false
CONTROLLER,edu.isi.karma.controller.update.DatabaseTablesListUpdate,2,2,11,0,0,2,23,7,D:\Projetos\_Web\Web-Karma\karma-commands\commands-update-jdbc\src\main\java\edu\isi\karma\controller\update\DatabaseTablesListUpdate.java,class,false
[TRIPLESMAPGRAPHDAGIFIER],edu.isi.karma.kr2rml.planning.DFSTriplesMapGraphDAGifier,5,1,6,3,0,5,40,44,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\kr2rml\planning\DFSTriplesMapGraphDAGifier.java,class,false
UNDEFINED,edu.isi.karma.imp.json.JsonImportValues,16,1,19,0,0,16,61,171,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\imp\json\JsonImportValues.java,class,false
ENTITY,edu.isi.karma.controller.command.worksheet.GetHeadersCommand,7,4,13,26,0,7,24,20,D:\Projetos\_Web\Web-Karma\karma-commands\commands-worksheet\src\main\java\edu\isi\karma\controller\command\worksheet\GetHeadersCommand.java,class,false
UNDEFINED,edu.isi.karma.rdf.LoadRDFToTripleStore,2,1,5,1,0,2,14,15,D:\Projetos\_Web\Web-Karma\karma-offline\src\main\java\edu\isi\karma\rdf\LoadRDFToTripleStore.java,class,false
UNDEFINED,edu.isi.karma.rdf.OfflineRdfGenerator,21,1,33,72,0,21,112,135,D:\Projetos\_Web\Web-Karma\karma-offline\src\main\java\edu\isi\karma\rdf\OfflineRdfGenerator.java,class,false
MAPPER,edu.isi.karma.mapreduce.tripleparser.NodeMapper,1,2,4,0,0,1,5,7,D:\Projetos\_Web\Web-Karma\karma-mr\src\main\java\edu\isi\karma\mapreduce\tripleparser\NodeMapper.java,class,false
UNDEFINED,edu.isi.karma.reserach.alignment.WeightTuning,7,1,5,15,0,7,23,16,D:\Projetos\_Web\Web-Karma\karma-research\src\main\java\edu\isi\karma\reserach\alignment\WeightTuning.java,class,false
ENTITY,edu.isi.karma.controller.command.service.PublishModelCommand,7,4,15,19,0,7,34,33,D:\Projetos\_Web\Web-Karma\karma-commands\commands-publish\src\main\java\edu\isi\karma\controller\command\service\PublishModelCommand.java,class,false
UNDEFINED,edu.isi.karma.kr2rml.planning.MapPlan,4,1,11,0,2,4,17,10,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\kr2rml\planning\MapPlan.java,class,false
HTTPSERVLET,edu.isi.karma.webserver.SpatialReferenceSystemServiceHandler,2,2,6,1,0,2,14,5,D:\Projetos\_Web\Web-Karma\karma-commands\commands-import\import-spatial\src\main\java\edu\isi\karma\webserver\SpatialReferenceSystemServiceHandler.java,class,false
LINKEDHASHMAP,com.github.jsonldjava.core.RDFDataset,46,2,8,957,0,46,65,179,D:\Projetos\_Web\Web-Karma\karma-jsonld\src\main\java\com\github\jsonldjava\core\RDFDataset.java,class,false
UNDEFINED,edu.isi.karma.mapreduce.function.CreateJSONFromSequenceFile,3,1,15,1,0,3,34,28,D:\Projetos\_Web\Web-Karma\karma-mr\src\main\java\edu\isi\karma\mapreduce\function\CreateJSONFromSequenceFile.java,class,false
ENTITY,edu.isi.karma.controller.command.alignment.ApplyModelFromTripleStoreCommand,7,4,12,19,0,7,18,14,D:\Projetos\_Web\Web-Karma\karma-commands\commands-alignment\src\main\java\edu\isi\karma\controller\command\alignment\ApplyModelFromTripleStoreCommand.java,class,false
ENTITY,edu.isi.karma.rep.alignment.SemanticType,15,1,8,43,0,15,15,33,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\rep\alignment\SemanticType.java,class,false
CONTROLLER,edu.isi.karma.controller.command.publish.avro.ExportAvroCommandFactory,3,3,9,3,0,3,6,3,D:\Projetos\_Web\Web-Karma\karma-commands\commands-publish-alignment-openrdf\src\main\java\edu\isi\karma\controller\command\publish\avro\ExportAvroCommandFactory.java,class,false
[COLUMNAFFINITY],edu.isi.karma.kr2rml.affinity.ParentRowColumnAffinity,8,1,4,26,0,8,5,16,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\kr2rml\affinity\ParentRowColumnAffinity.java,class,false
[COMPARATOR],edu.isi.karma.modeling.steiner.topk.SteinerNodeComparator,4,1,2,4,0,4,10,33,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\modeling\steiner\topk\SteinerNodeComparator.java,class,false
GENERICUDF,edu.isi.karma.mapreduce.function.SplitAndCleanJSONArray,3,2,8,1,0,3,16,12,D:\Projetos\_Web\Web-Karma\karma-mr\src\main\java\edu\isi\karma\mapreduce\function\SplitAndCleanJSONArray.java,class,false
ENTITY,edu.isi.karma.controller.command.UndoRedoCommand,7,3,5,17,0,7,5,9,D:\Projetos\_Web\Web-Karma\karma-commands\commands-worksheet\src\main\java\edu\isi\karma\controller\command\UndoRedoCommand.java,class,false
CONTROLLER,edu.isi.karma.controller.update.WorksheetHeadersUpdate,6,2,16,5,0,6,42,28,D:\Projetos\_Web\Web-Karma\karma-commands\commands-common\src\main\java\edu\isi\karma\controller\update\WorksheetHeadersUpdate.java,class,false
DEFAULTWEIGHTEDEDGE,edu.isi.karma.rep.alignment.CompactSubClassLink,1,4,1,0,0,1,0,1,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\rep\alignment\CompactSubClassLink.java,class,false
ENTITY,edu.isi.karma.rep.Table,22,3,15,0,0,22,48,56,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\rep\Table.java,class,false
UNDEFINED,edu.isi.karma.view.VHNode,11,1,2,33,0,11,13,22,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\view\VHNode.java,class,false
