DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,edu.isi.karma.kr2rml.mapping.KR2RMLMappingAuxillaryInformation,getBlankNodesColumnCoverage,3,1,1,0,0,2363,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\kr2rml\mapping\KR2RMLMappingAuxillaryInformation.java
UNDEFINED,edu.isi.karma.kr2rml.mapping.KR2RMLMappingAuxillaryInformation,getSubjectMapIdToTemplateAnchor,3,1,1,0,0,2700,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\kr2rml\mapping\KR2RMLMappingAuxillaryInformation.java
UNDEFINED,edu.isi.karma.kr2rml.mapping.KR2RMLMappingAuxillaryInformation,getGraphNodeIdToTriplesMapIdMap,3,1,1,0,0,2812,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\kr2rml\mapping\KR2RMLMappingAuxillaryInformation.java
UNDEFINED,edu.isi.karma.kr2rml.mapping.KR2RMLMappingAuxillaryInformation,calculateColumnDepth,10,4,2,2,0,3374,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\kr2rml\mapping\KR2RMLMappingAuxillaryInformation.java
UNDEFINED,edu.isi.karma.kr2rml.mapping.KR2RMLMappingAuxillaryInformation,getColumnNameToPredObjLinks,3,1,2,0,0,2572,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\kr2rml\mapping\KR2RMLMappingAuxillaryInformation.java
UNDEFINED,edu.isi.karma.kr2rml.mapping.KR2RMLMappingAuxillaryInformation,getBlankNodesUriPrefixMap,3,1,1,0,0,2472,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\kr2rml\mapping\KR2RMLMappingAuxillaryInformation.java
UNDEFINED,edu.isi.karma.kr2rml.mapping.KR2RMLMappingAuxillaryInformation,getTriplesMapGraph,3,1,1,0,0,2270,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\kr2rml\mapping\KR2RMLMappingAuxillaryInformation.java
UNDEFINED,edu.isi.karma.kr2rml.mapping.KR2RMLMappingAuxillaryInformation,findSubjectMapTemplateAnchor,14,3,4,1,0,2941,D:\Projetos\_Web\Web-Karma\karma-common\src\main\java\edu\isi\karma\kr2rml\mapping\KR2RMLMappingAuxillaryInformation.java
VIEW,edu.isi.karma.web.services.rdf.RDFGeneratorServlet,PublishRDFToTripleStore,26,5,11,2,0,13813,D:\Projetos\_Web\Web-Karma\karma-web-services\web-services-rdf\src\main\java\edu\isi\karma\web\services\rdf\RDFGeneratorServlet.java
VIEW,edu.isi.karma.web.services.rdf.RDFGeneratorServlet,writeContext,23,4,8,2,0,16723,D:\Projetos\_Web\Web-Karma\karma-web-services\web-services-rdf\src\main\java\edu\isi\karma\web\services\rdf\RDFGeneratorServlet.java
VIEW,edu.isi.karma.web.services.rdf.RDFGeneratorServlet,getTripleStoreURL,9,6,3,1,0,15596,D:\Projetos\_Web\Web-Karma\karma-web-services\web-services-rdf\src\main\java\edu\isi\karma\web\services\rdf\RDFGeneratorServlet.java
VIEW,edu.isi.karma.web.services.rdf.RDFGeneratorServlet,GenerateContext,7,1,7,1,0,16333,D:\Projetos\_Web\Web-Karma\karma-web-services\web-services-rdf\src\main\java\edu\isi\karma\web\services\rdf\RDFGeneratorServlet.java
VIEW,edu.isi.karma.web.services.rdf.RDFGeneratorServlet,contextInitialized,3,1,1,1,0,21744,D:\Projetos\_Web\Web-Karma\karma-web-services\web-services-rdf\src\main\java\edu\isi\karma\web\services\rdf\RDFGeneratorServlet.java
VIEW,edu.isi.karma.web.services.rdf.RDFGeneratorServlet,JSON,11,2,5,1,0,3908,D:\Projetos\_Web\Web-Karma\karma-web-services\web-services-rdf\src\main\java\edu\isi\karma\web\services\rdf\RDFGeneratorServlet.java
VIEW,edu.isi.karma.web.services.rdf.RDFGeneratorServlet,clearCache,4,1,3,1,0,4366,D:\Projetos\_Web\Web-Karma\karma-web-services\web-services-rdf\src\main\java\edu\isi\karma\web\services\rdf\RDFGeneratorServlet.java
VIEW,edu.isi.karma.web.services.rdf.RDFGeneratorServlet,contextDestroyed,2,1,1,1,0,21625,D:\Projetos\_Web\Web-Karma\karma-web-services\web-services-rdf\src\main\java\edu\isi\karma\web\services\rdf\RDFGeneratorServlet.java
VIEW,edu.isi.karma.web.services.rdf.RDFGeneratorServlet,(static_block),0,2,0,0,0,16723,D:\Projetos\_Web\Web-Karma\karma-web-services\web-services-rdf\src\main\java\edu\isi\karma\web\services\rdf\RDFGeneratorServlet.java
VIEW,edu.isi.karma.web.services.rdf.RDFGeneratorServlet,RDF,11,2,7,1,0,3458,D:\Projetos\_Web\Web-Karma\karma-web-services\web-services-rdf\src\main\java\edu\isi\karma\web\services\rdf\RDFGeneratorServlet.java
