DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
ENTITY,org.libreplan.business.common.IntegrationEntity,13,2,8,34,21,13,22,25,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\IntegrationEntity.java,class,false
UNDEFINED,org.libreplan.business.BusinessGlobalNames,1,1,0,0,0,1,0,1,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\BusinessGlobalNames.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.OrderCRUDController,139,2,100,7499,0,139,311,391,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\OrderCRUDController.java,class,false
HTMLMACROCOMPONENT,org.libreplan.web.templates.materials.MaterialAssignmentTemplateComponent,1,3,2,0,0,1,0,1,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\templates\materials\MaterialAssignmentTemplateComponent.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.qualityforms.QualityFormCRUDController,35,3,17,203,0,35,59,66,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\qualityforms\QualityFormCRUDController.java,class,false
UNDEFINED,org.zkoss.ganttz.data.constraint.Constraint,27,1,10,252,1,27,22,50,D:\Projetos\_Web\libreplan\ganttzk\src\main\java\org\zkoss\ganttz\data\constraint\Constraint.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.templates.EditTemplateWindowController,12,2,12,28,0,12,25,15,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\templates\EditTemplateWindowController.java,class,false
UNDEFINED,org.libreplan.ws.common.api.WSCommonGlobalNames,1,1,0,0,0,1,0,1,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\common\api\WSCommonGlobalNames.java,class,false
UNDEFINED,org.libreplan.ws.resources.impl.ResourceConverter,25,1,22,300,0,25,78,76,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\resources\impl\ResourceConverter.java,class,false
EXCEPTION,org.libreplan.business.advance.exceptions.DuplicateValueTrueReportGlobalAdvanceException,4,2,0,0,0,4,1,4,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\advance\exceptions\DuplicateValueTrueReportGlobalAdvanceException.java,class,false
UNDEFINED,org.libreplan.web.planner.allocation.Row,183,2,76,16921,0,183,283,313,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\allocation\AdvancedAllocationController.java,class,false
HTMLMACROCOMPONENT,org.libreplan.web.templates.historicalAssignment.OrderElementHistoricalAssignmentComponent,11,2,21,55,0,11,50,23,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\templates\historicalAssignment\OrderElementHistoricalAssignmentComponent.java,class,false
ENTITY,org.libreplan.ws.expensesheets.api.ExpenseSheetDTO,4,2,2,4,0,4,1,4,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\expensesheets\api\ExpenseSheetDTO.java,class,false
[ISCENARIOMANAGER],org.libreplan.business.scenarios.OnlyMainScenarioAwareManager,1,1,4,0,0,1,1,1,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\scenarios\OnlyMainScenarioAwareManager.java,class,false
TEST,org.libreplan.business.test.planner.entities.GenericResourceAllocationTest,60,1,33,625,0,60,140,71,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\planner\entities\GenericResourceAllocationTest.java,class,false
ENTITY,org.libreplan.business.users.entities.User,77,2,16,2620,0,77,28,102,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\users\entities\User.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.orders.labels.AssignedLabelsController,16,2,15,110,2,16,30,32,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\orders\labels\AssignedLabelsController.java,class,false
ENTITY,org.libreplan.business.reports.dtos.HoursWorkedPerResourceDTO,24,1,7,198,0,24,26,32,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\reports\dtos\HoursWorkedPerResourceDTO.java,class,false
UNDEFINED,org.libreplan.web.templates.OrderElementsOnConversation,6,1,4,0,0,6,8,10,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\templates\OrderElementsOnConversation.java,class,false
[IPREDICATE],org.libreplan.web.workreports.WorkReportLinePredicate,7,1,6,9,0,7,12,19,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\workreports\WorkReportLinePredicate.java,class,false
ENTITY,org.libreplan.importers.notifications.jobs.SendEmailOnTaskAssignedToResourceJob,1,2,4,0,0,1,5,1,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\importers\notifications\jobs\SendEmailOnTaskAssignedToResourceJob.java,class,false
ENTITY,org.libreplan.business.planner.entities.SpecificDayAssignment,27,3,16,289,0,27,22,35,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\planner\entities\SpecificDayAssignment.java,class,false
UNDEFINED,org.libreplan.business.planner.entities.AggregateOfDayAssignments,4,1,4,0,0,4,7,5,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\planner\entities\AggregateOfDayAssignments.java,class,false
TEST,org.libreplan.business.test.materials.daos.MaterialCategoryDAOTest,8,1,7,0,0,8,19,13,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\materials\daos\MaterialCategoryDAOTest.java,class,false
EXCEPTION,org.libreplan.business.advance.exceptions.DuplicateAdvanceAssignmentForOrderElementException,4,2,0,0,0,4,1,4,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\advance\exceptions\DuplicateAdvanceAssignmentForOrderElementException.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.externalcompanies.ExternalCompanyCRUDController,19,3,11,75,0,19,30,28,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\externalcompanies\ExternalCompanyCRUDController.java,class,false
[ISUMEXPENSESRECALCULATOR],org.libreplan.business.orders.entities.SumExpensesRecalculator,2,1,7,8,0,2,10,9,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\orders\entities\SumExpensesRecalculator.java,class,false
TEST,org.libreplan.business.test.resources.daos.CriterionDAOTest,21,1,17,353,0,21,39,37,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\resources\daos\CriterionDAOTest.java,class,false
[IEDITTASKUTILITIES],org.libreplan.web.planner.order.EditTaskUtilities,5,1,15,10,0,5,24,16,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\planner\order\EditTaskUtilities.java,class,false
GENERICFORWARDCOMPOSER,org.libreplan.web.reports.WorkingProgressPerTaskController,19,3,13,0,0,19,29,31,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\web\reports\WorkingProgressPerTaskController.java,class,false
SERVICE,org.libreplan.ws.typeofworkhours.impl.TypeOfWorkHoursServiceREST,7,2,19,21,0,7,6,7,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\typeofworkhours\impl\TypeOfWorkHoursServiceREST.java,class,true
UNDEFINED,org.libreplan.business.test.qualityforms.daos.AbstractQualityFormTest,2,1,4,1,2,2,4,2,D:\Projetos\_Web\libreplan\libreplan-business\src\test\java\org\libreplan\business\test\qualityforms\daos\AbstractQualityFormTest.java,class,false
ENTITY,org.libreplan.business.orders.entities.TaskSource,50,2,26,921,0,50,43,64,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\orders\entities\TaskSource.java,class,false
UNDEFINED,org.libreplan.ws.common.api.AdvanceMeasurementDTO,2,1,0,1,0,2,0,2,D:\Projetos\_Web\libreplan\libreplan-webapp\src\main\java\org\libreplan\ws\common\api\AdvanceMeasurementDTO.java,class,false
UNDEFINED,org.libreplan.business.common.VersionInformation,10,1,2,25,0,10,14,19,D:\Projetos\_Web\libreplan\libreplan-business\src\main\java\org\libreplan\business\common\VersionInformation.java,class,false
