DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
ENTITY,com.twitter.pojo.Users,16,1,0,104,0,16,0,16,D:\Projetos\_Web\mytwitter\src\com\twitter\pojo\Users.java,class,false
UNDEFINED,com.twitter.util.Md5Util,1,1,2,0,0,1,9,7,D:\Projetos\_Web\mytwitter\src\com\twitter\util\Md5Util.java,class,false
UNDEFINED,com.twitter.dao.AdloginDao,3,1,2,3,0,3,4,5,D:\Projetos\_Web\mytwitter\src\com\twitter\dao\AdloginDao.java,class,false
ENTITY,com.twitter.pojo.Admins,12,1,0,54,0,12,0,12,D:\Projetos\_Web\mytwitter\src\com\twitter\pojo\Admins.java,class,false
UNDEFINED,com.twitter.dao.ConcernDao,6,1,2,15,0,6,3,12,D:\Projetos\_Web\mytwitter\src\com\twitter\dao\ConcernDao.java,class,false
UNDEFINED,com.twitter.dao.UsersDao,9,1,3,36,0,9,6,17,D:\Projetos\_Web\mytwitter\src\com\twitter\dao\UsersDao.java,class,false
ENTITY,com.twitter.pojo.Tweets,18,1,0,135,0,18,0,18,D:\Projetos\_Web\mytwitter\src\com\twitter\pojo\Tweets.java,class,false
ENTITY,com.twitter.pojo.Forwards,10,1,0,35,0,10,0,10,D:\Projetos\_Web\mytwitter\src\com\twitter\pojo\Forwards.java,class,false
ENTITY,com.twitter.pojo.Replyall,20,1,0,170,0,20,0,20,D:\Projetos\_Web\mytwitter\src\com\twitter\pojo\Replyall.java,class,false
HTTPSERVLET,com.twitter.servlet.NotificationServlet,5,2,16,8,0,5,54,36,D:\Projetos\_Web\mytwitter\src\com\twitter\servlet\NotificationServlet.java,class,false
UNDEFINED,com.twitter.dao.AdminsDao,2,1,2,1,0,2,4,4,D:\Projetos\_Web\mytwitter\src\com\twitter\dao\AdminsDao.java,class,false
UNDEFINED,com.twitter.dao.ForwardsDao,4,1,2,6,0,4,4,10,D:\Projetos\_Web\mytwitter\src\com\twitter\dao\ForwardsDao.java,class,false
UNDEFINED,com.twitter.dao.NotificationDao,4,1,2,6,0,4,3,8,D:\Projetos\_Web\mytwitter\src\com\twitter\dao\NotificationDao.java,class,false
ENTITY,com.twitter.pojo.Adlogin,8,1,0,20,0,8,0,8,D:\Projetos\_Web\mytwitter\src\com\twitter\pojo\Adlogin.java,class,false
HTTPSERVLET,com.twitter.servlet.ReplyServlet,2,2,9,1,0,2,29,13,D:\Projetos\_Web\mytwitter\src\com\twitter\servlet\ReplyServlet.java,class,false
UNDEFINED,com.twitter.dao.ReplysDao,2,1,2,1,0,2,3,4,D:\Projetos\_Web\mytwitter\src\com\twitter\dao\ReplysDao.java,class,false
ENTITY,com.twitter.pojo.Usersinfo,22,1,0,209,0,22,0,22,D:\Projetos\_Web\mytwitter\src\com\twitter\pojo\Usersinfo.java,class,false
HTTPSERVLET,com.twitter.servlet.UserServlet,20,2,20,10,0,20,110,159,D:\Projetos\_Web\mytwitter\src\com\twitter\servlet\UserServlet.java,class,false
ENTITY,com.twitter.pojo.Messageall,29,1,0,354,0,29,0,29,D:\Projetos\_Web\mytwitter\src\com\twitter\pojo\Messageall.java,class,false
UNDEFINED,com.twitter.dao.LikesDao,3,1,1,3,0,3,3,5,D:\Projetos\_Web\mytwitter\src\com\twitter\dao\LikesDao.java,class,false
HTTPSERVLET,com.twitter.servlet.MessageServlet,9,2,11,0,0,9,49,60,D:\Projetos\_Web\mytwitter\src\com\twitter\servlet\MessageServlet.java,class,false
VIEW,com.twitter.util.MySessionListener,2,1,10,1,0,2,13,10,D:\Projetos\_Web\mytwitter\src\com\twitter\util\MySessionListener.java,class,false
UNDEFINED,com.twitter.dao.UsersinfoDao,20,1,3,190,0,20,14,52,D:\Projetos\_Web\mytwitter\src\com\twitter\dao\UsersinfoDao.java,class,false
UNDEFINED,com.twitter.dao.MessageDao,8,1,3,28,0,8,3,20,D:\Projetos\_Web\mytwitter\src\com\twitter\dao\MessageDao.java,class,false
HTTPSERVLET,com.twitter.servlet.AdminServlet,9,2,17,20,0,9,49,66,D:\Projetos\_Web\mytwitter\src\com\twitter\servlet\AdminServlet.java,class,false
HTTPSERVLET,com.twitter.servlet.ConcernServlet,1,2,10,0,0,1,18,15,D:\Projetos\_Web\mytwitter\src\com\twitter\servlet\ConcernServlet.java,class,false
ENTITY,com.twitter.pojo.Signin,8,1,0,20,0,8,0,8,D:\Projetos\_Web\mytwitter\src\com\twitter\pojo\Signin.java,class,false
UNDEFINED,com.twitter.util.Times,1,1,0,0,0,1,2,1,D:\Projetos\_Web\mytwitter\src\com\twitter\util\Times.java,class,false
UNDEFINED,com.twitter.dao.TweetsDao,15,1,2,105,0,15,9,47,D:\Projetos\_Web\mytwitter\src\com\twitter\dao\TweetsDao.java,class,false
ENTITY,com.twitter.pojo.Utweets,52,1,1,1274,0,52,0,52,D:\Projetos\_Web\mytwitter\src\com\twitter\pojo\Utweets.java,class,false
ENTITY,com.twitter.pojo.Notification,34,1,2,519,0,34,0,34,D:\Projetos\_Web\mytwitter\src\com\twitter\pojo\Notification.java,class,false
HTTPSERVLET,com.twitter.servlet.LikesServlet,1,2,9,0,0,1,11,11,D:\Projetos\_Web\mytwitter\src\com\twitter\servlet\LikesServlet.java,class,false
ENTITY,com.twitter.pojo.Usersall,38,1,0,665,0,38,0,38,D:\Projetos\_Web\mytwitter\src\com\twitter\pojo\Usersall.java,class,false
UNDEFINED,com.twitter.util.Upload,1,1,5,0,0,1,16,11,D:\Projetos\_Web\mytwitter\src\com\twitter\util\Upload.java,class,false
ENTITY,com.twitter.pojo.Replys,10,1,0,35,0,10,0,10,D:\Projetos\_Web\mytwitter\src\com\twitter\pojo\Replys.java,class,false
HTTPSERVLET,com.twitter.servlet.SigninServlet,2,2,9,1,0,2,15,6,D:\Projetos\_Web\mytwitter\src\com\twitter\servlet\SigninServlet.java,class,false
UNDEFINED,com.twitter.util.DBUtil,10,1,0,43,0,10,25,45,D:\Projetos\_Web\mytwitter\src\com\twitter\util\DBUtil.java,class,false
