DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
UNDEFINED,br.com.webbudget.domain.model.service.EmailService,0,1,1,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\service\EmailService.java,class,false
[CONVERTER],br.com.webbudget.application.converter.LocalTimeConverter,2,1,4,1,0,2,3,3,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\converter\LocalTimeConverter.java,class,false
UNDEFINED,br.com.webbudget.domain.model.service.MessagingService,10,1,15,0,0,10,25,15,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\service\MessagingService.java,class,false
ENTITY,br.com.webbudget.application.controller.logbook.RefuelingBean,12,2,20,40,0,12,28,19,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\logbook\RefuelingBean.java,class,false
DEFAULTPARTITIONMANAGER,br.com.webbudget.infraestructure.picketlink.CustomPartitionManager,2,2,4,1,0,2,0,2,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\infraestructure\picketlink\CustomPartitionManager.java,class,false
PERSISTENCE,br.com.webbudget.domain.model.repository.entries.VehicleRepository,3,2,7,3,0,3,22,11,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\repository\entries\VehicleRepository.java,class,false
PERSISTENCE,br.com.webbudget.domain.model.repository.entries.MovementClassRepository,5,2,9,10,0,5,22,17,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\repository\entries\MovementClassRepository.java,class,false
ENTITY,br.com.webbudget.application.controller.entries.CardStatisticBean,2,2,14,0,0,2,21,3,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\entries\CardStatisticBean.java,class,false
ENTITY,br.com.webbudget.domain.model.entity.security.RoleTypeEntity,0,2,12,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\security\RoleTypeEntity.java,class,true
PERSISTENCE,br.com.webbudget.domain.model.repository.logbook.FuelRepository,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\repository\logbook\FuelRepository.java,class,false
CALENDARRENDERER,br.com.webbudget.infraestructure.primefaces.CustomCalendarRenderer,1,2,4,0,0,1,18,20,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\infraestructure\primefaces\CustomCalendarRenderer.java,class,false
ENTITY,br.com.webbudget.application.controller.entries.CostCenterBean,11,2,11,36,0,11,24,22,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\entries\CostCenterBean.java,class,false
MODEL,br.com.webbudget.application.component.table.MovementsListModel,3,3,10,0,0,3,11,3,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\component\table\MovementsListModel.java,class,false
[ATTRIBUTECONVERTER],br.com.webbudget.domain.model.entity.converter.JPALocalTimeConverter,2,1,3,1,0,2,3,4,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\converter\JPALocalTimeConverter.java,class,false
UNDEFINED,br.com.webbudget.application.producer.FacesContextProducer,2,1,4,1,0,2,1,2,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\producer\FacesContextProducer.java,class,false
UNDEFINED,br.com.webbudget.infraestructure.configuration.SecurityConfiguration,2,1,11,1,0,2,24,2,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\infraestructure\configuration\SecurityConfiguration.java,class,false
ENTITY,br.com.webbudget.application.controller.miscellany.FinancialPeriodBean,11,2,12,38,0,11,24,19,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\miscellany\FinancialPeriodBean.java,class,false
PERSISTENCE,br.com.webbudget.domain.model.repository.entries.TelephoneRepository,0,2,3,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\repository\entries\TelephoneRepository.java,class,false
ENTITY,br.com.webbudget.application.component.table.Page,7,1,1,0,0,7,6,7,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\component\table\Page.java,class,false
[ATTRIBUTECONVERTER],br.com.webbudget.domain.model.entity.converter.ColorConverter,2,1,3,1,0,2,2,4,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\converter\ColorConverter.java,class,false
UNDEFINED,br.com.webbudget.application.component.Translator,1,1,4,0,0,1,3,3,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\component\Translator.java,class,false
MODEL,br.com.webbudget.application.component.table.AbstractLazyModel,5,2,6,10,1,5,5,8,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\component\table\AbstractLazyModel.java,class,false
UNDEFINED,br.com.webbudget.domain.misc.MovementCalculator,10,1,1,0,0,10,11,10,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\misc\MovementCalculator.java,class,false
UNDEFINED,br.com.webbudget.application.component.Color,8,1,4,26,0,8,14,13,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\component\Color.java,class,false
UNDEFINED,br.com.webbudget.application.producer.LoggerProducer,1,1,3,0,0,1,3,1,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\producer\LoggerProducer.java,class,false
UNDEFINED,br.com.webbudget.application.channels.MessagesEndpoint,2,1,6,0,0,2,2,2,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\channels\MessagesEndpoint.java,class,false
UNDEFINED,br.com.webbudget.domain.model.entity.PersistentEntityListener,3,1,7,3,0,3,8,3,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\PersistentEntityListener.java,class,false
ENTITY,br.com.webbudget.domain.model.entity.security.GroupMembershipTypeEntity,0,2,4,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\security\GroupMembershipTypeEntity.java,class,true
ENTITY,br.com.webbudget.application.controller.DashboardBean,8,2,18,0,0,8,50,18,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\DashboardBean.java,class,false
ENTITY,br.com.webbudget.domain.model.entity.entries.Card,4,2,14,2,0,4,4,9,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\entries\Card.java,class,true
ENTITY,br.com.webbudget.application.controller.entries.ContactBean,18,2,17,101,0,18,37,28,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\entries\ContactBean.java,class,false
ENTITY,br.com.webbudget.domain.model.entity.PersistentEntity,3,1,11,1,3,3,6,3,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\PersistentEntity.java,class,false
ENTITY,br.com.webbudget.application.controller.financial.InvoiceHistoricBean,5,2,15,13,0,5,16,6,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\financial\InvoiceHistoricBean.java,class,false
ENTITY,br.com.webbudget.application.controller.tools.GroupBean,13,2,11,28,0,13,37,38,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\controller\tools\GroupBean.java,class,false
ENTITY,br.com.webbudget.domain.model.entity.logbook.Vehicle,1,2,15,0,0,1,2,1,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\logbook\Vehicle.java,class,true
ENTITY,br.com.webbudget.domain.model.entity.entries.CardInvoice,10,2,15,25,0,10,22,15,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\entries\CardInvoice.java,class,true
PERSISTENCE,br.com.webbudget.domain.model.repository.entries.WalletBalanceRepository,3,2,7,3,0,3,15,12,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\repository\entries\WalletBalanceRepository.java,class,false
UNDEFINED,br.com.webbudget.domain.model.service.ContactService,7,1,12,0,0,7,17,16,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\service\ContactService.java,class,false
UNDEFINED,br.com.webbudget.application.producer.PicketlinkResourcesProducer,2,1,7,1,0,2,1,4,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\producer\PicketlinkResourcesProducer.java,class,false
[MAILMESSAGE],br.com.webbudget.infraestructure.mail.AbstractMailMessage,9,1,4,24,0,9,2,9,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\infraestructure\mail\AbstractMailMessage.java,class,false
UNDEFINED,br.com.webbudget.domain.model.service.WalletService,12,1,15,0,0,12,41,22,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\service\WalletService.java,class,false
ENTITY,br.com.webbudget.domain.model.entity.entries.WalletBalance,7,2,13,21,0,7,6,9,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\entries\WalletBalance.java,class,true
[CONVERTER],br.com.webbudget.application.converter.RgbColorConverter,2,1,5,1,0,2,2,2,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\application\converter\RgbColorConverter.java,class,false
UNDEFINED,br.com.webbudget.domain.model.security.Authorization,2,1,4,1,0,2,16,11,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\security\Authorization.java,class,false
UNDEFINED,br.com.webbudget.domain.model.service.ConfigurationService,2,1,5,0,0,2,2,2,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\service\ConfigurationService.java,class,false
PERSISTENCE,br.com.webbudget.domain.model.repository.entries.CostCenterRepository,3,2,7,3,0,3,23,13,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\repository\entries\CostCenterRepository.java,class,false
ENTITY,br.com.webbudget.domain.model.entity.security.GroupTypeEntity,0,2,13,0,0,0,0,0,D:\Projetos\_Web\web-budget\webBudget\src\main\java\br\com\webbudget\domain\model\entity\security\GroupTypeEntity.java,class,true
