DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.api.WebAnnoConst,1,1,0,0,0,1,2,4,D:\Projetos\_Web\webanno\webanno-api\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\WebAnnoConst.java,class,false
APPLICATIONEVENT,de.tudarmstadt.ukp.clarin.webanno.api.annotation.event.RelationUpdateEvent,6,2,4,0,0,6,7,8,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\event\RelationUpdateEvent.java,class,false
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.api.dao.DebugUtils,2,1,1,1,0,2,9,11,D:\Projetos\_Web\webanno\webanno-api-dao\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\dao\DebugUtils.java,class,false
JCASRESOURCECOLLECTIONREADER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.tcf.WebAnnoSemanticGraphReader,2,2,9,0,0,2,24,7,D:\Projetos\_Web\webanno\webanno-io-tcf\src\main\java\de\tudarmstadt\ukp\clarin\webanno\tcf\WebAnnoSemanticGraphReader.java,class,false
[LAYERINITIALIZER],de.tudarmstadt.ukp.clarin.webanno.api.dao.initializers.SurfaceFormLayerInitializer,3,1,7,1,0,3,10,3,D:\Projetos\_Web\webanno\webanno-api-dao\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\dao\initializers\SurfaceFormLayerInitializer.java,class,false
JDBCUSERDETAILSMANAGER,de.tudarmstadt.ukp.clarin.webanno.security.OverridableUserDetailsManager,1,2,3,0,0,1,9,5,D:\Projetos\_Web\webanno\webanno-security\src\main\java\de\tudarmstadt\ukp\clarin\webanno\security\OverridableUserDetailsManager.java,class,false
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.dao.RepositoryProperties,2,1,2,0,0,2,4,4,D:\Projetos\_Web\webanno\webanno-api-dao\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\dao\RepositoryProperties.java,class,false
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,15,1,25,87,0,15,24,47,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java,class,false
ENTITY,de.tudarmstadt.ukp.clarin.webanno.automation.model.MiraTemplate,16,1,11,84,0,16,5,36,D:\Projetos\_Web\webanno\webanno-api-automation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\automation\model\MiraTemplate.java,class,true
TEST,de.tudarmstadt.ukp.clarin.webanno.curation.casmerge.CasMergeSuiteTest,5,2,13,0,0,5,30,7,D:\Projetos\_Web\webanno\webanno-curation\src\test\java\de\tudarmstadt\ukp\clarin\webanno\curation\casmerge\CasMergeSuiteTest.java,class,false
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.support.standalone.StandaloneShutdownDialog,3,1,9,0,0,3,25,15,D:\Projetos\_Web\webanno\webanno-support-standalone\src\main\java\de\tudarmstadt\ukp\clarin\webanno\support\standalone\StandaloneShutdownDialog.java,class,false
[ANNOTATIONEDITOREXTENSIONREGISTRY],de.tudarmstadt.ukp.clarin.webanno.api.annotation.AnnotationEditorExtensionRegistryImpl,7,1,15,13,0,7,17,14,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\AnnotationEditorExtensionRegistryImpl.java,class,false
