DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;22.09;
[PARSINGLOADABLE.PARSER];179;35;24;2;680;1.1;
BASEMEDIASOURCE;45;10;9;3;680;2.54;
TEST;45;7;7;2;680;23.09;
ACTIVITY;132;13;10;2;3488;1.41;
PERSISTENCE;92;19;13;4;708;8.87;
BASEPLAYER;45;7;6;2;857;2.15;
ENTITY;47;11;6;2;680;1.04;
DEFAULTHANDLER;60;19;15;12;1033;1.09;
[EXTRACTOR];142;34;15;3;1099;4.82;
VIEW;214;47;16;3;3620;6.61;
SIMPLEDECODER;77;17;15;4;680;1.74;
TRACKSELECTOR;45;14;13;6;1191;1.25;
CEADECODER;72;26;6;3;680;1.34;
BASERENDERER;79;23;10;4;1017;4.02;
