DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;166;25;14;3;1874;53.76;
BROADCASTRECEIVER;61;14;16;3;680;1.63;
BACKGROUNDLOADERMANAGER;51;8;7;2;680;1.25;
ACTION;45;8;16;3;680;1.04;
ACTIVITY;132;13;10;2;3488;3.33;
ADAPTER;145;24;16;3;680;1.66;
PERSISTENCE;92;19;13;4;708;1.53;
[CLOSEABLE];45;11;10;2;680;1.06;
ASYNCTASK;158;36;20;2;680;1.37;
ENTITY;47;11;6;2;680;3.48;
FRAGMENT;311;25;14;2;4557;6.84;
NODEIMPL;45;7;6;2;680;2.59;
VIEW;214;47;16;3;3620;5.8;
MODEL;45;7;9;2;680;4.06;
SERVICE;123;23;17;3;1441;2.41;
