DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
UNDEFINED,org.loboevolution.main.ExtensionManager,17,1,15,54,0,17,59,92,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java,class,false
JPANEL,org.loboevolution.primary.gui.prefs.ToolsSettingsUI,5,3,5,0,0,5,14,5,D:\Projetos\_Benchmark2018\LoboEvolution\Primary_Extension\src\main\java\org\loboevolution\primary\gui\prefs\ToolsSettingsUI.java,class,false
ACTION,org.loboevolution.primary.action.FullScreenAction,3,2,3,0,0,3,9,7,D:\Projetos\_Benchmark2018\LoboEvolution\Primary_Extension\src\main\java\org\loboevolution\primary\action\FullScreenAction.java,class,false
NODE,org.mozilla.javascript.ast.ReturnStatement,8,3,2,8,0,8,8,15,D:\Projetos\_Benchmark2018\LoboEvolution\parser\src\main\java\org\mozilla\javascript\ast\ReturnStatement.java,class,false
[CSSVALUESPROPERTIES],org.loboevolution.html.renderstate.BackgroundRenderState,16,1,10,108,0,16,70,120,D:\Projetos\_Benchmark2018\LoboEvolution\HTML_Renderer\src\main\java\org\loboevolution\html\renderstate\BackgroundRenderState.java,class,false
NODE,org.mozilla.javascript.ast.EmptyExpression,5,3,2,10,0,5,2,6,D:\Projetos\_Benchmark2018\LoboEvolution\parser\src\main\java\org\mozilla\javascript\ast\EmptyExpression.java,class,false
SVGPATHSEGIMPL,org.loboevolution.html.svgimpl.SVGPathSegCurvetoCubicRelImpl,11,2,2,31,0,11,0,11,D:\Projetos\_Benchmark2018\LoboEvolution\HTML_Renderer\src\main\java\org\loboevolution\html\svgimpl\SVGPathSegCurvetoCubicRelImpl.java,class,false
[FRAMEPANELFACTORY],org.loboevolution.gui.DefaultFramePanelFactory,2,1,2,1,0,2,0,2,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\gui\DefaultFramePanelFactory.java,class,false
UNDEFINED,org.mozilla.javascript.optimizer.ClassCompiler,10,1,9,45,0,10,16,23,D:\Projetos\_Benchmark2018\LoboEvolution\parser\src\main\java\org\mozilla\javascript\optimizer\ClassCompiler.java,class,false
SCRIPTABLEOBJECT,org.mozilla.javascript.typedarrays.NativeUint32Array,12,5,10,46,0,12,8,22,D:\Projetos\_Benchmark2018\LoboEvolution\parser\src\main\java\org\mozilla\javascript\typedarrays\NativeUint32Array.java,class,false
[SVGLENGTHLIST],org.loboevolution.html.svgimpl.SVGLengthListImpl,10,1,2,0,0,10,6,11,D:\Projetos\_Benchmark2018\LoboEvolution\HTML_Renderer\src\main\java\org\loboevolution\html\svgimpl\SVGLengthListImpl.java,class,false
ABSTRACTSCRIPTABLEDELEGATE,org.loboevolution.html.domimpl.HTMLImageElementImpl,42,8,12,829,0,42,19,62,D:\Projetos\_Benchmark2018\LoboEvolution\HTML_Renderer\src\main\java\org\loboevolution\html\domimpl\HTMLImageElementImpl.java,class,false
EXCEPTION,com.steadystate.css.dom.DOMExceptionImpl,4,2,1,6,0,4,6,6,D:\Projetos\_Benchmark2018\LoboEvolution\parser\src\main\java\com\steadystate\css\dom\DOMExceptionImpl.java,class,false
WEAKWINDOWTASK,org.loboevolution.html.js.FunctionTimerTask,2,2,7,0,0,2,10,11,D:\Projetos\_Benchmark2018\LoboEvolution\HTML_Renderer\src\main\java\org\loboevolution\html\js\FunctionTimerTask.java,class,false
