DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,org.loboevolution.main.ExtensionManager,shutdownExtensionsWindow,10,3,5,1,0,9810,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,getClientlet,26,7,9,2,0,10306,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,dispatchPreConnection,11,3,4,1,0,14627,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,addExtension,10,2,5,1,0,4504,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,execute,8,2,21,0,0,7633,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,execute,3,1,6,0,0,8891,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,dispatchBeforeNavigate,13,4,5,1,0,12902,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,getInstance,7,2,3,0,0,2949,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,toString,3,3,3,0,0,7847,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,toString,3,3,3,0,0,8971,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,createExtensions,32,5,7,0,0,3352,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,createExtensions,81,14,0,2,0,4915,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,initExtensions,26,2,0,0,0,8583,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,handleError,30,10,9,3,0,11442,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,dispatchBeforeWindowOpen,13,4,5,1,0,14057,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,accept,3,1,2,1,0,15780,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,initExtensionsWindow,10,3,5,1,0,9321,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,getClassLoader,9,2,4,1,0,8245,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
UNDEFINED,org.loboevolution.main.ExtensionManager,dispatchPostConnection,11,3,4,1,0,15103,D:\Projetos\_Benchmark2018\LoboEvolution\Platform_Core\src\main\java\org\loboevolution\main\ExtensionManager.java
