DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
ENTITY,com.epam.catgenome.manager.externaldb.bindings.dbsnp.MapLoc,29,1,1,378,0,29,0,31,D:\Projetos\_Benchmark2018\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\externaldb\bindings\dbsnp\MapLoc.java,class,false
UNDEFINED,com.epam.catgenome.manager.reference.io.FastaUtils,12,1,1,64,0,12,33,44,D:\Projetos\_Benchmark2018\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\reference\io\FastaUtils.java,class,false
CONTROLLER,com.epam.catgenome.controller.wig.WigController,4,2,23,0,0,4,11,4,D:\Projetos\_Benchmark2018\NGB\server\catgenome\src\main\java\com\epam\catgenome\controller\wig\WigController.java,class,true
TEST,com.epam.ngb.cli.app.ApplicationTest,5,2,3,10,0,5,3,5,D:\Projetos\_Benchmark2018\NGB\server\ngb-cli\src\test\java\com\epam\ngb\cli\app\ApplicationTest.java,class,false
ABSTRACTFEATURESORTER,com.epam.catgenome.util.sort.VCFSorter,3,2,5,3,0,3,5,5,D:\Projetos\_Benchmark2018\NGB\server\catgenome\src\main\java\com\epam\catgenome\util\sort\VCFSorter.java,class,false
TEST,com.epam.catgenome.manager.reference.ReferenceGenomeManagerTest,1,2,14,0,0,1,23,1,D:\Projetos\_Benchmark2018\NGB\server\catgenome\src\test\java\com\epam\catgenome\manager\reference\ReferenceGenomeManagerTest.java,class,false
TEST,com.epam.catgenome.manager.protein.ProteinSequenceReconstructionManagerUnitTest,3,1,13,1,0,3,28,3,D:\Projetos\_Benchmark2018\NGB\server\catgenome\src\test\java\com\epam\catgenome\manager\protein\ProteinSequenceReconstructionManagerUnitTest.java,class,false
TEST,com.epam.catgenome.controller.BedControllerTest,2,3,22,0,0,2,57,2,D:\Projetos\_Benchmark2018\NGB\server\catgenome\src\test\java\com\epam\catgenome\controller\BedControllerTest.java,class,false
[DOWNSAMPLINGSIFTER],com.epam.catgenome.manager.bam.sifters.StandardSAMRecordSifter,9,1,7,18,0,9,11,28,D:\Projetos\_Benchmark2018\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\bam\sifters\StandardSAMRecordSifter.java,class,false
CONTROLLER,com.epam.catgenome.entity.bam.BamTrackQuery,4,2,1,2,0,4,0,4,D:\Projetos\_Benchmark2018\NGB\server\catgenome\src\main\java\com\epam\catgenome\entity\bam\BamTrackQuery.java,class,false
TEST,com.epam.catgenome.dao.AbstractDaoTest,2,2,11,0,11,2,15,2,D:\Projetos\_Benchmark2018\NGB\server\catgenome\src\test\java\com\epam\catgenome\dao\AbstractDaoTest.java,class,false
UNDEFINED,com.epam.catgenome.manager.externaldb.ExtenalDBUtils,14,1,10,85,0,14,65,20,D:\Projetos\_Benchmark2018\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\externaldb\ExtenalDBUtils.java,class,false
TEST,com.epam.catgenome.manager.UrlShorterManagerTest,4,1,5,0,0,4,7,4,D:\Projetos\_Benchmark2018\NGB\server\catgenome\src\test\java\com\epam\catgenome\manager\UrlShorterManagerTest.java,class,false
ABSTRACTSIMPLECOMMANDHANDLER,com.epam.ngb.cli.manager.command.handler.http.GeneRemovingHandler,2,3,6,0,0,2,15,6,D:\Projetos\_Benchmark2018\NGB\server\ngb-cli\src\main\java\com\epam\ngb\cli\manager\command\handler\http\GeneRemovingHandler.java,class,false
ENTITY,com.epam.catgenome.entity.index.FeatureIndexEntry,20,1,3,112,1,20,13,20,D:\Projetos\_Benchmark2018\NGB\server\catgenome\src\main\java\com\epam\catgenome\entity\index\FeatureIndexEntry.java,class,false
