DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
ENTITY,com.netsteadfast.greenstep.po.hbm.TbSysMsgNoticeConfig,16,2,8,104,0,16,0,16,D:\Projetos\_Benchmark2018\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbSysMsgNoticeConfig.java,class,true
FORMAUTHENTICATIONFILTER,com.netsteadfast.greenstep.sys.GreenStepMobileFormAuthenticationFilter,14,2,17,89,0,14,51,42,D:\Projetos\_Benchmark2018\bamboobsc\core-base\src\com\netsteadfast\greenstep\sys\GreenStepMobileFormAuthenticationFilter.java,class,false
ENTITY,com.netsteadfast.greenstep.model.ExpressionJobObj,8,1,3,10,0,8,0,8,D:\Projetos\_Benchmark2018\bamboobsc\core-base\src\com\netsteadfast\greenstep\model\ExpressionJobObj.java,class,false
ENTITY,com.netsteadfast.greenstep.vo.DateRangeScoreVO,14,1,0,77,0,14,0,14,D:\Projetos\_Benchmark2018\bamboobsc\gsbsc-persistence\src\com\netsteadfast\greenstep\vo\DateRangeScoreVO.java,class,false
CONTROLLER,com.netsteadfast.greenstep.action.SystemTemplateManagementGridQueryAction,22,6,18,185,0,22,23,38,D:\Projetos\_Benchmark2018\bamboobsc\core-web\src\com\netsteadfast\greenstep\action\SystemTemplateManagementGridQueryAction.java,class,true
UNDEFINED,com.netsteadfast.greenstep.bsc.model.ItemTargetOrMaximumAndMinimalValue,1,1,0,0,0,1,0,5,D:\Projetos\_Benchmark2018\bamboobsc\gsbsc-standard\src\com\netsteadfast\greenstep\bsc\model\ItemTargetOrMaximumAndMinimalValue.java,class,false
PERSISTENCE,com.netsteadfast.greenstep.dao.impl.UserRoleDAOImpl,1,2,4,0,0,1,0,1,D:\Projetos\_Benchmark2018\bamboobsc\core-base\src\com\netsteadfast\greenstep\dao\impl\UserRoleDAOImpl.java,class,true
CONTROLLER,com.netsteadfast.greenstep.action.SystemContextBeanManagmentGridQueryAction,17,6,14,118,0,17,17,25,D:\Projetos\_Benchmark2018\bamboobsc\core-web\src\com\netsteadfast\greenstep\action\SystemContextBeanManagmentGridQueryAction.java,class,true
PERSISTENCE,com.netsteadfast.greenstep.dao.impl.SysJreportParamDAOImpl,1,2,4,0,0,1,0,1,D:\Projetos\_Benchmark2018\bamboobsc\core-base\src\com\netsteadfast\greenstep\dao\impl\SysJreportParamDAOImpl.java,class,true
UNDEFINED,com.netsteadfast.greenstep.bsc.model.BscMeasureDataFrequency,4,1,3,2,0,4,19,52,D:\Projetos\_Benchmark2018\bamboobsc\gsbsc-standard\src\com\netsteadfast\greenstep\bsc\model\BscMeasureDataFrequency.java,class,false
