DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
[MESSAGE],org.bigbluebutton.screenshare.client.net.ShareStartedMessage,getMessageType,3,1,1,0,0,530,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-screenshare\jws\webstart\src\main\java\org\bigbluebutton\screenshare\client\net\ShareStartedMessage.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setState,3,1,2,1,0,2738,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,updateMetadata,3,1,2,2,0,5149,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getExternalMeetingId,12,3,2,0,0,6475,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getSize,9,3,3,0,0,3458,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setStartTime,3,1,2,1,0,3015,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getPlaybackExtensions,3,1,1,0,0,4681,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getNumParticipants,3,1,1,0,0,3287,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setPlaybackLink,3,1,2,1,0,3887,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,convertOldDateFormat,13,2,5,1,0,6069,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getPlaybackFormat,3,1,1,0,0,3983,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setProcessingTime,3,1,2,1,0,4577,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getEndTime,3,1,1,0,0,3122,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setNumParticipants,3,1,2,1,0,3179,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setRawSize,3,1,2,1,0,3744,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setPlaybackSize,3,1,2,1,0,4411,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getPlaybackLink,3,1,1,0,0,3820,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setPublished,3,1,2,1,0,2868,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getRawSize,3,1,1,0,0,3688,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setPlaybackExtensions,3,1,2,1,0,4768,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getPlaybacks,3,1,1,0,0,5689,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getId,3,1,3,0,0,2393,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getPlaybackDuration,3,1,1,0,0,4158,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setEndTime,3,1,2,1,0,3359,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setPlaybackDuration,3,1,2,1,0,4233,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setPlaybacks,3,1,2,1,0,5757,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getMeetingID,3,1,2,0,0,5421,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,deleteMetadata,3,1,2,1,0,5246,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getMetadata,3,1,2,0,0,4898,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getMetadata,3,1,2,1,0,4974,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getPlaybackSize,3,1,1,0,0,4345,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,containsMetadata,3,1,3,1,0,5325,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getStartTime,3,1,1,0,0,2954,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getName,3,1,2,0,0,5570,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,isPublished,3,1,1,0,0,2807,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setName,3,1,2,1,0,5625,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setPlaybackFormat,3,1,2,1,0,4053,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,getProcessingTime,3,1,1,0,0,4507,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
UNDEFINED,org.bigbluebutton.api.domain.Recording,setId,3,1,2,1,0,2440,D:\Projetos\_Benchmark2018\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Recording.java
