DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,161,1,83,7502,0,161,55,175,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java,class,false
ABSTRACTCLIENTSESSION,org.cometd.oort.OortComet,6,3,6,8,0,6,29,31,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-oort\src\main\java\org\cometd\oort\OortComet.java,class,false
TEST,org.cometd.server.ext.BatchArrayQueueTest,3,1,2,3,0,3,14,5,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-server\src\test\java\org\cometd\server\ext\BatchArrayQueueTest.java,class,false
ADAPTER,org.cometd.client.ext.TimesyncClientExtension,5,1,3,0,0,5,6,11,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-client\src\main\java\org\cometd\client\ext\TimesyncClientExtension.java,class,false
ABSTRACTTRANSPORT,org.cometd.websocket.server.common.AbstractWebSocketTransport,39,3,17,489,2,39,105,196,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-websocket\cometd-java-websocket-common-server\src\main\java\org\cometd\websocket\server\common\AbstractWebSocketTransport.java,class,false
TEST,org.cometd.oort.SetiStartupTest,3,2,14,19,0,3,25,14,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-oort\src\test\java\org\cometd\oort\SetiStartupTest.java,class,false
TEST,org.cometd.tests.HandshakeWithExpiredSessionTest,5,2,11,30,0,5,23,9,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-tests\src\test\java\org\cometd\tests\HandshakeWithExpiredSessionTest.java,class,false
TEST,org.cometd.javascript.CometDDisconnectServerSideTest,8,2,11,12,0,8,21,13,D:\Projetos\_Benchmark2018\cometd\cometd-javascript\common-test\src\test\java\org\cometd\javascript\CometDDisconnectServerSideTest.java,class,false
ABSTRACTLIFECYCLE,org.cometd.oort.Seti,73,2,34,1930,0,73,122,235,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-oort\src\main\java\org\cometd\oort\Seti.java,class,false
TEST,org.cometd.websocket.client.BayeuxClientWebSocketTest,27,2,37,2394,0,27,81,144,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-websocket\cometd-java-websocket-jetty-server\src\test\java\org\cometd\websocket\client\BayeuxClientWebSocketTest.java,class,false
TEST,org.cometd.server.ConcurrentDisconnectSubscribePublishTest,8,3,12,33,0,8,17,10,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-server\src\test\java\org\cometd\server\ConcurrentDisconnectSubscribePublishTest.java,class,false
TEST,org.cometd.javascript.CometDPublishTest,4,2,6,10,0,4,16,5,D:\Projetos\_Benchmark2018\cometd\cometd-javascript\common-test\src\test\java\org\cometd\javascript\CometDPublishTest.java,class,false
UNDEFINED,org.cometd.javascript.JavaScriptCookieStore,8,1,3,8,0,8,31,41,D:\Projetos\_Benchmark2018\cometd\cometd-javascript\common-test\src\main\java\org\cometd\javascript\JavaScriptCookieStore.java,class,false
TEST,org.cometd.javascript.CometDHandshakePropsTest,5,2,8,10,0,5,12,5,D:\Projetos\_Benchmark2018\cometd\cometd-javascript\common-test\src\test\java\org\cometd\javascript\CometDHandshakePropsTest.java,class,false
TEST,org.cometd.javascript.CometDCharsetTest,1,2,3,0,0,1,6,1,D:\Projetos\_Benchmark2018\cometd\cometd-javascript\common-test\src\test\java\org\cometd\javascript\CometDCharsetTest.java,class,false
TEST,org.cometd.oort.OortAuthenticationTest,4,2,16,0,0,4,22,8,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-oort\src\test\java\org\cometd\oort\OortAuthenticationTest.java,class,false
TEST,org.cometd.javascript.CometDAutoBatchTest,1,3,3,0,0,1,8,1,D:\Projetos\_Benchmark2018\cometd\cometd-javascript\common-test\src\test\java\org\cometd\javascript\CometDAutoBatchTest.java,class,false
TEST,org.cometd.javascript.CometDWebSocketHeaderRemovedTest,1,3,9,10,0,1,11,7,D:\Projetos\_Benchmark2018\cometd\cometd-javascript\common-test\src\test\java\org\cometd\javascript\CometDWebSocketHeaderRemovedTest.java,class,false
TEST,org.cometd.oort.OortMulticastConfigurerTest,8,2,11,22,0,8,34,10,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-oort\src\test\java\org\cometd\oort\OortMulticastConfigurerTest.java,class,false
TEST,org.cometd.server.CometDServiceMetaNotificationsTest,9,3,10,14,0,9,10,9,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-server\src\test\java\org\cometd\server\CometDServiceMetaNotificationsTest.java,class,false
TEST,org.cometd.javascript.CometDSubscribeWithPublishDeniedTest,2,2,9,1,0,2,8,2,D:\Projetos\_Benchmark2018\cometd\cometd-javascript\common-test\src\test\java\org\cometd\javascript\CometDSubscribeWithPublishDeniedTest.java,class,false
ADAPTER,org.cometd.server.ext.BinarySessionExtension,4,1,7,0,0,4,18,15,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-server\src\main\java\org\cometd\server\ext\BinarySessionExtension.java,class,false
TEST,org.cometd.javascript.CometDEmptyResponseTest,6,3,15,15,0,6,10,6,D:\Projetos\_Benchmark2018\cometd\cometd-javascript\common-test\src\test\java\org\cometd\javascript\CometDEmptyResponseTest.java,class,false
TEST,org.cometd.common.JettyJacksonComparisonTest,13,1,8,54,0,13,20,17,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-common\src\test\java\org\cometd\common\JettyJacksonComparisonTest.java,class,false
