DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,testInjectLocalSessionOnField,6,1,3,0,0,5870,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,service,2,1,2,2,0,53763,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,init,4,1,1,0,0,39072,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,testInjectLocalSessionOnMethod,6,1,3,0,0,6312,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,destroy1,2,1,0,0,0,33321,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,foo,4,1,3,2,0,25601,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,configureFooBar,3,1,2,1,0,43115,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,testPostConstructPreDestroy,9,1,3,0,0,33460,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,destroy,5,1,1,0,0,39963,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,testInjectServerSessionOnMethod,6,1,3,0,0,9185,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,testMultipleLifecycleMethodsInSameClass,15,3,3,0,0,32622,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,service,6,1,4,3,0,50464,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,testNonServiceAnnotatedClass,6,1,3,0,0,2597,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,configureFoo,4,1,2,1,0,46283,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,set,3,1,2,1,0,9617,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,testRemoteCallOnOverridingMethod,11,1,8,0,0,26260,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
TEST,org.cometd.annotation.ServerAnnotationProcessorTest,configureFoo,4,1,2,1,0,47640,D:\Projetos\_Benchmark2018\cometd\cometd-java\cometd-java-annotations\src\test\java\org\cometd\annotation\ServerAnnotationProcessorTest.java
