DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
HTTPSERVLET,org.t246osslab.easybuggy.errors.GenericSignatureFormatErrorServlet,1,3,6,0,0,1,2,1,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\errors\GenericSignatureFormatErrorServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.AbstractServlet,9,2,5,34,80,9,21,19,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\AbstractServlet.java,class,false
[FILTER],org.t246osslab.easybuggy.core.filters.EncodingFilter,3,1,7,3,0,3,5,5,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\filters\EncodingFilter.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.exceptions.ClassCastExceptionServlet,1,3,4,0,0,1,2,1,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\exceptions\ClassCastExceptionServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.MailHeaderInjectionServlet,4,3,10,6,0,4,31,24,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\MailHeaderInjectionServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.exceptions.ConcurrentModificationExceptionServlet,1,3,4,0,0,1,6,4,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\exceptions\ConcurrentModificationExceptionServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.performance.SlowRegularExpressionServlet,1,3,6,0,0,1,13,6,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\performance\SlowRegularExpressionServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.TestServlet,1,3,4,0,0,1,1,1,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\TestServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.VerboseErrorMessageServlet,3,4,7,3,0,3,26,19,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\VerboseErrorMessageServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.UnrestrictedSizeUploadServlet,4,3,10,6,0,4,35,20,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\UnrestrictedSizeUploadServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.exceptions.BufferUnderflowExceptionServlet,1,3,5,0,0,1,2,1,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\exceptions\BufferUnderflowExceptionServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.DefaultLogoutServlet,1,3,5,0,0,1,3,1,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\DefaultLogoutServlet.java,class,false
VIEW,org.t246osslab.easybuggy.core.listeners.InitializationListener,2,1,3,3,0,2,4,4,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\listeners\InitializationListener.java,class,false
ENTITY,org.t246osslab.easybuggy.core.model.User,17,1,0,88,0,17,0,17,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\model\User.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.troubles.LossOfTrailingDigitsServlet,1,3,6,0,0,1,11,8,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\troubles\LossOfTrailingDigitsServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.exceptions.SecurityExceptionServlet,1,3,4,0,0,1,1,1,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\exceptions\SecurityExceptionServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.CodeInjectionServlet,2,3,6,1,0,2,17,9,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\CodeInjectionServlet.java,class,false
UNDEFINED,org.t246osslab.easybuggy.core.dao.EmbeddedADS,5,1,7,0,0,5,24,12,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\dao\EmbeddedADS.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.ClickJackingServlet,2,3,10,1,0,2,25,11,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\ClickJackingServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.exceptions.CannotRedoExceptionServlet,1,3,4,0,0,1,1,1,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\exceptions\CannotRedoExceptionServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.troubles.RedirectLoopServlet,1,3,4,0,0,1,1,1,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\troubles\RedirectLoopServlet.java,class,false
HTTPSERVLET,org.t246osslab.easybuggy.exceptions.BufferOverflowExceptionServlet,1,3,5,0,0,1,6,3,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\exceptions\BufferOverflowExceptionServlet.java,class,false
UNDEFINED,org.t246osslab.easybuggy.core.utils.Closer,5,1,1,0,0,5,6,20,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\utils\Closer.java,class,false
