DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
HTTPSERVLET,org.t246osslab.easybuggy.errors.GenericSignatureFormatErrorServlet,doGet,7,1,5,2,0,473,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\errors\GenericSignatureFormatErrorServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.AbstractServlet,responseToClient,56,6,10,4,0,664,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\AbstractServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.AbstractServlet,getErrMsg,3,1,2,2,0,5600,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\AbstractServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.AbstractServlet,getErrMsg,3,1,3,3,0,7082,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\AbstractServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.AbstractServlet,getInfoMsg,3,1,2,2,0,5312,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\AbstractServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.AbstractServlet,getInfoMsg,3,1,3,3,0,6571,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\AbstractServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.AbstractServlet,getMsg,3,1,2,2,0,5058,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\AbstractServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.AbstractServlet,getMsg,13,3,7,3,0,5874,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\AbstractServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.AbstractServlet,encodeForHTML,3,1,2,1,0,7585,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\AbstractServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.AbstractServlet,encodeForLDAP,3,1,2,1,0,7969,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\AbstractServlet.java
[FILTER],org.t246osslab.easybuggy.core.filters.EncodingFilter,doFilter,8,2,4,3,0,525,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\filters\EncodingFilter.java
[FILTER],org.t246osslab.easybuggy.core.filters.EncodingFilter,init,2,1,1,1,0,1366,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\filters\EncodingFilter.java
[FILTER],org.t246osslab.easybuggy.core.filters.EncodingFilter,destroy,2,1,0,0,0,1290,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\filters\EncodingFilter.java
HTTPSERVLET,org.t246osslab.easybuggy.exceptions.ClassCastExceptionServlet,doGet,4,1,2,2,0,467,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\exceptions\ClassCastExceptionServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.MailHeaderInjectionServlet,deleteUploadFiles,9,5,2,1,0,7732,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\MailHeaderInjectionServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.MailHeaderInjectionServlet,doPost,32,4,9,2,0,4114,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\MailHeaderInjectionServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.MailHeaderInjectionServlet,saveUploadedFiles,39,7,15,1,0,5730,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\MailHeaderInjectionServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.MailHeaderInjectionServlet,doGet,44,3,5,2,0,1312,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\MailHeaderInjectionServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.exceptions.ConcurrentModificationExceptionServlet,doGet,12,3,6,2,0,561,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\exceptions\ConcurrentModificationExceptionServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.performance.SlowRegularExpressionServlet,service,40,4,11,2,0,635,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\performance\SlowRegularExpressionServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.TestServlet,doGet,3,1,2,2,0,391,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\TestServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.VerboseErrorMessageServlet,doGet,4,1,2,2,0,1054,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\VerboseErrorMessageServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.VerboseErrorMessageServlet,doPost,34,6,6,2,0,1302,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\VerboseErrorMessageServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.VerboseErrorMessageServlet,isExistUser,25,5,8,1,0,2933,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\VerboseErrorMessageServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.UnrestrictedSizeUploadServlet,doGet,18,2,4,2,0,1040,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\UnrestrictedSizeUploadServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.UnrestrictedSizeUploadServlet,isImageFile,3,1,4,1,0,4404,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\UnrestrictedSizeUploadServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.UnrestrictedSizeUploadServlet,reverseColor,23,4,8,1,0,4656,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\UnrestrictedSizeUploadServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.vulnerabilities.UnrestrictedSizeUploadServlet,doPost,41,7,11,2,0,2177,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\vulnerabilities\UnrestrictedSizeUploadServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.exceptions.BufferUnderflowExceptionServlet,doGet,3,1,3,2,0,502,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\exceptions\BufferUnderflowExceptionServlet.java
HTTPSERVLET,org.t246osslab.easybuggy.core.servlets.DefaultLogoutServlet,doGet,5,1,3,2,0,446,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\servlets\DefaultLogoutServlet.java
VIEW,org.t246osslab.easybuggy.core.listeners.InitializationListener,contextInitialized,22,1,0,1,0,426,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\listeners\InitializationListener.java
VIEW,org.t246osslab.easybuggy.core.listeners.InitializationListener,write,2,2,5,1,0,910,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\listeners\InitializationListener.java
VIEW,org.t246osslab.easybuggy.core.listeners.InitializationListener,contextDestroyed,2,1,1,1,0,1375,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\listeners\InitializationListener.java
ENTITY,org.t246osslab.easybuggy.core.model.User,toString,3,1,1,0,0,506,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\model\User.java
ENTITY,org.t246osslab.easybuggy.core.model.User,getUserId,3,1,1,0,0,845,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\model\User.java
ENTITY,org.t246osslab.easybuggy.core.model.User,setPassword,3,1,2,1,0,1203,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\model\User.java
ENTITY,org.t246osslab.easybuggy.core.model.User,getName,3,1,1,0,0,995,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\model\User.java
ENTITY,org.t246osslab.easybuggy.core.model.User,getPassword,3,1,1,0,0,1133,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\model\User.java
ENTITY,org.t246osslab.easybuggy.core.model.User,getMail,3,1,1,0,0,1593,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\model\User.java
ENTITY,org.t246osslab.easybuggy.core.model.User,getSecret,3,1,1,0,0,1295,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\model\User.java
ENTITY,org.t246osslab.easybuggy.core.model.User,setLoginFailedCount,3,1,2,1,0,1814,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\model\User.java
ENTITY,org.t246osslab.easybuggy.core.model.User,getLoginFailedCount,3,1,1,0,0,1731,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\model\User.java
ENTITY,org.t246osslab.easybuggy.core.model.User,setName,3,1,2,1,0,1057,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\model\User.java
ENTITY,org.t246osslab.easybuggy.core.model.User,setMail,3,1,2,1,0,1655,D:\Projetos\_Benchmark2018\easybuggy\src\main\java\org\t246osslab\easybuggy\core\model\User.java
