DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,org.owasp.esapi.reference.accesscontrol.policyloader.ACRParameterLoaderHelper,getParameterValue,45,13,6,4,0,177,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\reference\accesscontrol\policyloader\ACRParameterLoaderHelper.java
TEST,org.owasp.esapi.waf.GoodRequestTest,suite,3,1,1,0,0,931,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\waf\GoodRequestTest.java
TEST,org.owasp.esapi.waf.GoodRequestTest,testGoodRequest,8,1,4,0,0,1022,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\waf\GoodRequestTest.java
UNDEFINED,org.owasp.esapi.reference.accesscontrol.policyloader.ACRPolicyFileLoader,getPolicyParameter,24,6,7,2,0,2800,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\reference\accesscontrol\policyloader\ACRPolicyFileLoader.java
UNDEFINED,org.owasp.esapi.reference.accesscontrol.policyloader.ACRPolicyFileLoader,load,42,6,11,0,0,483,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\reference\accesscontrol\policyloader\ACRPolicyFileLoader.java
TEST,org.owasp.esapi.reference.IntrusionDetectorTest,testAddEvent,15,2,8,0,0,3488,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\reference\IntrusionDetectorTest.java
TEST,org.owasp.esapi.reference.IntrusionDetectorTest,suite,4,1,2,0,0,1851,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\reference\IntrusionDetectorTest.java
TEST,org.owasp.esapi.reference.IntrusionDetectorTest,tearDown,2,1,0,0,0,1716,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\reference\IntrusionDetectorTest.java
TEST,org.owasp.esapi.reference.IntrusionDetectorTest,setUp,2,1,0,0,0,1584,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\reference\IntrusionDetectorTest.java
TEST,org.owasp.esapi.reference.IntrusionDetectorTest,testAddException,18,2,13,0,0,2024,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\reference\IntrusionDetectorTest.java
TEST,org.owasp.esapi.codecs.HTMLEntityCodecTest,testMixedBmpAndNonBmp,7,1,2,0,0,1219,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\codecs\HTMLEntityCodecTest.java
TEST,org.owasp.esapi.codecs.HTMLEntityCodecTest,test32BitCJK,7,1,2,0,0,444,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\codecs\HTMLEntityCodecTest.java
TEST,org.owasp.esapi.codecs.HTMLEntityCodecTest,testDecodeforChars,5,1,2,0,0,1057,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\codecs\HTMLEntityCodecTest.java
TEST,org.owasp.esapi.codecs.HTMLEntityCodecTest,testEntityDecoding,6,1,2,0,0,197,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\codecs\HTMLEntityCodecTest.java
TEST,org.owasp.esapi.codecs.HTMLEntityCodecTest,test32BitCJKMixedWithBmp,7,1,2,0,0,742,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\codecs\HTMLEntityCodecTest.java
HTTPSERVLETREQUESTWRAPPER,org.owasp.esapi.waf.internal.InterceptingHTTPServletRequest,getDictionaryParameterNames,3,1,2,0,0,4603,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\waf\internal\InterceptingHTTPServletRequest.java
HTTPSERVLETREQUESTWRAPPER,org.owasp.esapi.waf.internal.InterceptingHTTPServletRequest,getReader,5,2,3,0,0,2198,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\waf\internal\InterceptingHTTPServletRequest.java
HTTPSERVLETREQUESTWRAPPER,org.owasp.esapi.waf.internal.InterceptingHTTPServletRequest,getInputStream,8,2,1,0,0,2016,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\waf\internal\InterceptingHTTPServletRequest.java
HTTPSERVLETREQUESTWRAPPER,org.owasp.esapi.waf.internal.InterceptingHTTPServletRequest,reset,3,1,1,0,0,4991,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\waf\internal\InterceptingHTTPServletRequest.java
HTTPSERVLETREQUESTWRAPPER,org.owasp.esapi.waf.internal.InterceptingHTTPServletRequest,read,3,1,2,0,0,4917,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\waf\internal\InterceptingHTTPServletRequest.java
HTTPSERVLETREQUESTWRAPPER,org.owasp.esapi.waf.internal.InterceptingHTTPServletRequest,getDictionaryParameter,9,3,3,1,0,4367,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\waf\internal\InterceptingHTTPServletRequest.java
UNDEFINED,DisplayEncryptedProperties,loadProperties,14,2,8,2,0,637,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\examples\java\DisplayEncryptedProperties.java
UNDEFINED,DisplayEncryptedProperties,main,20,3,7,1,0,2256,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\examples\java\DisplayEncryptedProperties.java
UNDEFINED,DisplayEncryptedProperties,showProperties,12,1,3,1,0,1678,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\examples\java\DisplayEncryptedProperties.java
ABSTRACTCODEC,org.owasp.esapi.codecs.CSSCodec,decodeCharacter,43,16,8,1,0,1592,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\codecs\CSSCodec.java
ABSTRACTCODEC,org.owasp.esapi.codecs.CSSCodec,encodeCharacter,10,3,3,2,0,1065,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\codecs\CSSCodec.java
UNDEFINED,org.owasp.esapi.waf.rules.Rule,check,0,1,5,3,0,1238,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\waf\rules\Rule.java
UNDEFINED,org.owasp.esapi.waf.rules.Rule,setId,4,3,2,1,0,1604,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\waf\rules\Rule.java
UNDEFINED,org.owasp.esapi.waf.rules.Rule,log,3,1,3,2,0,1378,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\waf\rules\Rule.java
UNDEFINED,org.owasp.esapi.waf.rules.Rule,toString,3,1,1,0,0,1715,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\waf\rules\Rule.java
TEST,org.owasp.esapi.reference.TestWarning,testLogging,2,1,0,0,0,372,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\reference\TestWarning.java
ABSTRACTACCESSREFERENCEMAP,org.owasp.esapi.reference.RandomAccessReferenceMap,getUniqueReference,8,2,2,0,0,2236,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\reference\RandomAccessReferenceMap.java
UNDEFINED,org.owasp.esapi.StringUtilities,union,12,4,4,1,0,1598,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\StringUtilities.java
UNDEFINED,org.owasp.esapi.StringUtilities,replaceLinearWhiteSpace,3,1,2,1,0,1018,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\StringUtilities.java
UNDEFINED,org.owasp.esapi.StringUtilities,notNullOrEmpty,8,2,2,2,0,5173,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\StringUtilities.java
UNDEFINED,org.owasp.esapi.StringUtilities,replaceNull,3,2,1,2,0,2678,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\StringUtilities.java
UNDEFINED,org.owasp.esapi.StringUtilities,stripControls,13,4,3,1,0,1136,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\StringUtilities.java
UNDEFINED,org.owasp.esapi.StringUtilities,getLevenshteinDistance,35,9,5,2,0,3100,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\StringUtilities.java
UNDEFINED,org.owasp.esapi.StringUtilities,isEmpty,3,1,2,1,0,6088,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\StringUtilities.java
UNDEFINED,org.owasp.esapi.StringUtilities,contains,6,3,3,2,0,2154,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\main\java\org\owasp\esapi\StringUtilities.java
DEFAULTSECURITYCONFIGURATION,org.owasp.esapi.reference.UnitTestSecurityConfiguration,setEncoderImplementation,3,1,1,1,0,772,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\reference\UnitTestSecurityConfiguration.java
DEFAULTSECURITYCONFIGURATION,org.owasp.esapi.reference.UnitTestSecurityConfiguration,setRandomizerImplementation,3,1,1,1,0,1470,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\reference\UnitTestSecurityConfiguration.java
DEFAULTSECURITYCONFIGURATION,org.owasp.esapi.reference.UnitTestSecurityConfiguration,setAccessControlImplementation,3,1,1,1,0,936,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\reference\UnitTestSecurityConfiguration.java
DEFAULTSECURITYCONFIGURATION,org.owasp.esapi.reference.UnitTestSecurityConfiguration,setIntrusionDetectionImplementation,3,1,1,1,0,1283,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\reference\UnitTestSecurityConfiguration.java
DEFAULTSECURITYCONFIGURATION,org.owasp.esapi.reference.UnitTestSecurityConfiguration,setAuthenticationImplementation,3,1,1,1,0,594,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\reference\UnitTestSecurityConfiguration.java
DEFAULTSECURITYCONFIGURATION,org.owasp.esapi.reference.UnitTestSecurityConfiguration,setEncryptionImplementation,3,1,1,1,0,1113,D:\Projetos\_Benchmark2018\esapi-java-legacy\src\test\java\org\owasp\esapi\reference\UnitTestSecurityConfiguration.java
