DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
SERVICE,org.acme.example.component.MultiColComponentProvider,2,2,3,1,0,2,5,2,D:\Projetos\_Benchmark2018\mct\multiColumnTables\src\main\java\org\acme\example\component\MultiColComponentProvider.java,class,false
JPANEL,gov.nasa.arc.mct.fastplot.settings.LineSetupPanel,8,3,5,8,0,8,25,24,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\settings\LineSetupPanel.java,class,false
TEST,gov.nasa.arc.mct.buffer.internal.FeedAggregatorServiceTest,7,1,7,7,0,7,47,17,D:\Projetos\_Benchmark2018\mct\timeSequenceFeedAggregator\src\test\java\gov\nasa\arc\mct\buffer\internal\FeedAggregatorServiceTest.java,class,false
[POLICY],gov.nasa.arc.mct.core.policy.CheckBuiltinComponentPolicy,1,1,5,0,0,1,3,3,D:\Projetos\_Benchmark2018\mct\mctCoreTaxonomyProvider\src\main\java\gov\nasa\arc\mct\core\policy\CheckBuiltinComponentPolicy.java,class,false
ACTION,gov.nasa.arc.mct.menu.SelectAllAction,5,3,4,8,0,5,3,8,D:\Projetos\_Benchmark2018\mct\canvas\src\main\java\gov\nasa\arc\mct\menu\SelectAllAction.java,class,false
JPANEL,gov.nasa.arc.mct.fastplot.settings.controls.PlotSettingsAxisGroup,54,4,13,1114,0,54,92,145,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\settings\controls\PlotSettingsAxisGroup.java,class,false
GENERICSETTINGS,gov.nasa.arc.mct.fastplot.settings.PlotSettings,50,2,11,1225,0,50,104,75,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\settings\PlotSettings.java,class,false
ACTION,gov.nasa.arc.mct.gui.ContextAwareAction,5,2,1,10,34,5,5,5,D:\Projetos\_Benchmark2018\mct\mctcore\src\main\java\gov\nasa\arc\mct\gui\ContextAwareAction.java,class,false
PLOTCONFIGURATIONDELEGATOR,gov.nasa.arc.mct.fastplot.bridge.PlotterPlot,133,2,36,7898,0,133,155,261,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\bridge\PlotterPlot.java,class,false
UNDEFINED,gov.nasa.arc.mct.canvas.view.CanvasIcons,2,1,2,1,0,2,2,62,D:\Projetos\_Benchmark2018\mct\canvas\src\main\java\gov\nasa\arc\mct\canvas\view\CanvasIcons.java,class,false
TEST,gov.nasa.arc.mct.gui.actions.TestSaveAll,10,1,22,58,0,10,52,55,D:\Projetos\_Benchmark2018\mct\platform\src\test\java\gov\nasa\arc\mct\gui\actions\TestSaveAll.java,class,false
UNDEFINED,gov.nasa.arc.mct.nontimeplot.view.NonTimeShapePalette,14,1,0,29,0,14,25,24,D:\Projetos\_Benchmark2018\mct\nonTimePlots\src\main\java\gov\nasa\arc\mct\nontimeplot\view\NonTimeShapePalette.java,class,false
ENTITY,gov.nasa.arc.mct.gui.menu.MixedModeRadioButtonIcon,5,1,0,10,0,5,6,5,D:\Projetos\_Benchmark2018\mct\platform\src\main\java\gov\nasa\arc\mct\gui\menu\MixedModeRadioButtonIcon.java,class,false
JPANEL,gov.nasa.arc.mct.core.roles.DropboxCanvasView,4,3,8,6,0,4,52,20,D:\Projetos\_Benchmark2018\mct\mctCoreTaxonomyProvider\src\main\java\gov\nasa\arc\mct\core\roles\DropboxCanvasView.java,class,false
UNDEFINED,gov.nasa.arc.mct.fastplot.bridge.PlotConstants,12,1,3,32,0,12,10,14,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\bridge\PlotConstants.java,class,false
TEST,plotter.xy.JUnitLinearXYAxis,16,2,5,120,0,16,27,16,D:\Projetos\_Benchmark2018\mct\Plotter\src\test\java\plotter\xy\JUnitLinearXYAxis.java,class,false
[POLICY],gov.nasa.arc.mct.core.policy.CannotDragOrDropMySandbox,1,1,4,0,0,1,4,6,D:\Projetos\_Benchmark2018\mct\mctCoreTaxonomyProvider\src\main\java\gov\nasa\arc\mct\core\policy\CannotDragOrDropMySandbox.java,class,false
RESOURCEBUNDLE,gov.nasa.arc.mct.util.resource.PseudoBundle,7,2,1,9,0,7,16,31,D:\Projetos\_Benchmark2018\mct\util\src\main\java\gov\nasa\arc\mct\util\resource\PseudoBundle.java,class,false
TEST,gov.nasa.arc.mct.graphics.view.GraphicalSettingsTest,4,1,14,0,0,4,30,8,D:\Projetos\_Benchmark2018\mct\dynamicGraphics\src\test\java\gov\nasa\arc\mct\graphics\view\GraphicalSettingsTest.java,class,false
TEST,gov.nasa.arc.mct.fastplot.bridge.TestPlotDataSeries,10,1,27,19,0,10,76,20,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\test\java\gov\nasa\arc\mct\fastplot\bridge\TestPlotDataSeries.java,class,false
ACTION,gov.nasa.arc.mct.gui.actions.ChangeHousingViewAction,12,4,12,36,0,12,39,28,D:\Projetos\_Benchmark2018\mct\platform\src\main\java\gov\nasa\arc\mct\gui\actions\ChangeHousingViewAction.java,class,false
DEFAULTTABLECELLRENDERER,org.acme.example.view.MultiColColumnRenderer,2,2,0,1,0,2,3,2,D:\Projetos\_Benchmark2018\mct\multiColumnTables\src\main\java\org\acme\example\view\MultiColColumnRenderer.java,class,false
DEFAULTTABLECELLRENDERER,org.acme.example.view.DynamicValueCellRender,2,2,1,1,0,2,3,2,D:\Projetos\_Benchmark2018\mct\multiColumnTables\src\main\java\org\acme\example\view\DynamicValueCellRender.java,class,false
ENTITY,gov.nasa.arc.mct.services.config.impl.Service,7,1,3,3,0,7,8,12,D:\Projetos\_Benchmark2018\mct\serviceConfigurator\src\main\java\gov\nasa\arc\mct\services\config\impl\Service.java,class,false
JPANEL,gov.nasa.arc.mct.table.gui.LabeledTable,110,2,18,3611,0,110,196,339,D:\Projetos\_Benchmark2018\mct\tableViews\src\main\java\gov\nasa\arc\mct\table\gui\LabeledTable.java,class,false
TEST,gov.nasa.arc.mct.fastplot.policy.TestPlotStringPolicy,2,1,8,0,0,2,10,3,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\test\java\gov\nasa\arc\mct\fastplot\policy\TestPlotStringPolicy.java,class,false
TEST,gov.nasa.arc.mct.identitymgr.mcc.ShiftChangeReporterTest,10,1,4,3,0,10,9,13,D:\Projetos\_Benchmark2018\mct\platform\src\test\java\gov\nasa\arc\mct\identitymgr\mcc\ShiftChangeReporterTest.java,class,false
UNDEFINED,gov.nasa.arc.mct.identitymgr.impl.IdentityManagerFactory,2,1,4,1,0,2,3,4,D:\Projetos\_Benchmark2018\mct\platform\src\main\java\gov\nasa\arc\mct\identitymgr\impl\IdentityManagerFactory.java,class,false
UNDEFINED,plotter.PropertyTester,2,1,0,0,0,2,13,42,D:\Projetos\_Benchmark2018\mct\Plotter\src\test\java\plotter\PropertyTester.java,class,false
ACTION,gov.nasa.arc.mct.canvas.view.ReTileAction,6,3,4,3,1,6,11,13,D:\Projetos\_Benchmark2018\mct\canvas\src\main\java\gov\nasa\arc\mct\canvas\view\ReTileAction.java,class,false
UNDEFINED,gov.nasa.arc.mct.buffer.config.NetworkBufferConstants,1,1,0,0,0,1,4,1,D:\Projetos\_Benchmark2018\mct\timeSequenceFeedAggregator\src\main\java\gov\nasa\arc\mct\buffer\config\NetworkBufferConstants.java,class,false
JPANEL,gov.nasa.arc.mct.fastplot.bridge.controls.AbstractPanZoomControls,10,3,7,31,2,10,15,20,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\bridge\controls\AbstractPanZoomControls.java,class,false
GENERICTYPEMATCHER,gov.nasa.arc.mct.test.util.gui.Query,44,2,59,634,0,44,36,54,D:\Projetos\_Benchmark2018\mct\tests\src\main\java\gov\nasa\arc\mct\test\util\gui\Query.java,class,false
JPANEL,gov.nasa.arc.mct.table.view.TableViewManifestation,50,4,43,1409,0,50,330,335,D:\Projetos\_Benchmark2018\mct\tableViews\src\main\java\gov\nasa\arc\mct\table\view\TableViewManifestation.java,class,false
JPANEL,gov.nasa.arc.mct.gui.CustomVisualControl,6,2,0,9,0,6,3,7,D:\Projetos\_Benchmark2018\mct\mctcore\src\main\java\gov\nasa\arc\mct\gui\CustomVisualControl.java,class,false
SERVICE,gov.nasa.arc.mct.nontimeplot.NonTimePlotComponentProvider,2,2,3,1,0,2,3,2,D:\Projetos\_Benchmark2018\mct\nonTimePlots\src\main\java\gov\nasa\arc\mct\nontimeplot\NonTimePlotComponentProvider.java,class,false
ENTITY,gov.nasa.arc.mct.plot.settings.LineSettings,16,1,0,104,0,16,0,16,D:\Projetos\_Benchmark2018\mct\nonTimePlots\src\main\java\gov\nasa\arc\mct\plot\settings\LineSettings.java,class,false
ABSTRACTCOMPONENT,gov.nasa.arc.mct.gui.dialogs.MockComponent,3,2,1,3,0,3,1,3,D:\Projetos\_Benchmark2018\mct\platform\src\test\java\gov\nasa\arc\mct\gui\dialogs\MockComponent.java,class,false
TIMER,gov.nasa.arc.mct.buffer.internal.DataBufferEvictor,4,2,3,3,0,4,8,8,D:\Projetos\_Benchmark2018\mct\timeSequenceFeedAggregator\src\main\java\gov\nasa\arc\mct\buffer\internal\DataBufferEvictor.java,class,false
TEST,gov.nasa.arc.mct.canvas.persistence.RootCanvasClassTest,1,1,3,0,0,1,13,2,D:\Projetos\_Benchmark2018\mct\canvas\src\test\java\gov\nasa\arc\mct\canvas\persistence\RootCanvasClassTest.java,class,false
ACTION,gov.nasa.arc.mct.gui.actions.ConveniencesOpenUserEnvAction,4,3,4,6,0,4,4,6,D:\Projetos\_Benchmark2018\mct\platform\src\main\java\gov\nasa\arc\mct\gui\actions\ConveniencesOpenUserEnvAction.java,class,false
TEST,gov.nasa.arc.mct.table.view.ContentAlignmentTest,1,1,1,0,0,1,2,1,D:\Projetos\_Benchmark2018\mct\tableViews\src\test\java\gov\nasa\arc\mct\table\view\ContentAlignmentTest.java,class,false
UNDEFINED,plotter.examples.InvertedAxes,2,1,11,1,0,2,34,8,D:\Projetos\_Benchmark2018\mct\Plotter\src\examples\java\plotter\examples\InvertedAxes.java,class,false
ACTION,gov.nasa.arc.mct.gui.actions.IconOpenAction,4,3,3,4,0,4,3,4,D:\Projetos\_Benchmark2018\mct\platform\src\main\java\gov\nasa\arc\mct\gui\actions\IconOpenAction.java,class,false
JCOMPONENT,plotter.xy.XYPlot,9,3,3,14,0,9,13,14,D:\Projetos\_Benchmark2018\mct\Plotter\src\main\java\plotter\xy\XYPlot.java,class,false
TEST,gov.nasa.arc.mct.test.util.gui.VisibilityCriterion,3,2,1,0,0,3,1,4,D:\Projetos\_Benchmark2018\mct\tests\src\main\java\gov\nasa\arc\mct\test\util\gui\VisibilityCriterion.java,class,false
ENTITY,gov.nasa.arc.mct.identitymgr.MockIdentityManager,3,1,1,3,0,3,4,3,D:\Projetos\_Benchmark2018\mct\tests\src\main\java\gov\nasa\arc\mct\identitymgr\MockIdentityManager.java,class,false
ENTITY,gov.nasa.arc.mct.dbpersistence.dao.ComponentSpec,30,1,21,387,0,30,2,35,D:\Projetos\_Benchmark2018\mct\databasePersistence\src\main\java\gov\nasa\arc\mct\dbpersistence\dao\ComponentSpec.java,class,true
VIEW,gov.nasa.jsc.mct.executable.buttons.CreateExecutableButtonComponentWizardUI,3,2,4,22,0,3,26,8,D:\Projetos\_Benchmark2018\mct\executableButtons\src\main\java\gov\nasa\jsc\mct\executable\buttons\CreateExecutableButtonComponentWizardUI.java,class,false
UNDEFINED,gov.nasa.arc.mct.importExport.provider.ImportExportModel,4,1,1,0,0,4,2,4,D:\Projetos\_Benchmark2018\mct\ImportExportProvider\src\main\java\gov\nasa\arc\mct\importExport\provider\ImportExportModel.java,class,false
UNDEFINED,gov.nasa.arc.mct.identitymgr.mcc.ShiftChangeReporter,14,1,6,33,0,14,28,57,D:\Projetos\_Benchmark2018\mct\platform\src\main\java\gov\nasa\arc\mct\identitymgr\mcc\ShiftChangeReporter.java,class,false
JCOMPONENT,plotter.xy.LinearXYAxis,14,4,8,75,0,14,51,61,D:\Projetos\_Benchmark2018\mct\Plotter\src\main\java\plotter\xy\LinearXYAxis.java,class,false
ENTITY,gov.nasa.arc.mct.roles.events.AddChildEvent,6,1,1,0,0,6,0,6,D:\Projetos\_Benchmark2018\mct\mctcore\src\main\java\gov\nasa\arc\mct\roles\events\AddChildEvent.java,class,false
JPANEL,gov.nasa.arc.mct.plot.settings.PlotSettingsPanel,11,3,2,35,0,11,9,28,D:\Projetos\_Benchmark2018\mct\nonTimePlots\src\main\java\gov\nasa\arc\mct\plot\settings\PlotSettingsPanel.java,class,false
SERVICE,gov.nasa.arc.mct.limits.data.TimeServiceImpl,3,2,2,3,0,3,0,3,D:\Projetos\_Benchmark2018\mct\limits\src\main\java\gov\nasa\arc\mct\limits\data\TimeServiceImpl.java,class,false
TEST,gov.nasa.arc.mct.importExport.provider.ImportActionTest,8,1,14,16,0,8,24,9,D:\Projetos\_Benchmark2018\mct\ImportExportProvider\src\test\java\gov\nasa\arc\mct\importExport\provider\ImportActionTest.java,class,false
TEST,gov.nasa.arc.mct.defaults.view.TestDefaultNodeView,8,1,14,0,0,8,46,11,D:\Projetos\_Benchmark2018\mct\platform\src\test\java\gov\nasa\arc\mct\defaults\view\TestDefaultNodeView.java,class,false
[POLICY],org.acme.example.policy.FilterViewPolicy,2,1,5,1,0,2,10,10,D:\Projetos\_Benchmark2018\mct\exampleplugin\src\main\java\org\acme\example\policy\FilterViewPolicy.java,class,false
