DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
SERVICE,org.acme.example.component.MultiColComponentProvider,getViews,3,1,7,1,0,3101,D:\Projetos\_Benchmark2018\mct\multiColumnTables\src\main\java\org\acme\example\component\MultiColComponentProvider.java
SERVICE,org.acme.example.component.MultiColComponentProvider,getPolicyInfos,3,1,1,0,0,3287,D:\Projetos\_Benchmark2018\mct\multiColumnTables\src\main\java\org\acme\example\component\MultiColComponentProvider.java
JPANEL,gov.nasa.arc.mct.fastplot.settings.LineSetupPanel,reset,17,4,5,2,0,6405,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\settings\LineSetupPanel.java
JPANEL,gov.nasa.arc.mct.fastplot.settings.LineSetupPanel,isValidated,3,1,1,0,0,7893,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\settings\LineSetupPanel.java
JPANEL,gov.nasa.arc.mct.fastplot.settings.LineSetupPanel,getSelectedDrawingFlags,5,1,3,0,0,5618,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\settings\LineSetupPanel.java
JPANEL,gov.nasa.arc.mct.fastplot.settings.LineSetupPanel,isDirty,5,3,2,0,0,7524,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\settings\LineSetupPanel.java
JPANEL,gov.nasa.arc.mct.fastplot.settings.LineSetupPanel,updateConnectionLineControls,6,1,3,0,0,5385,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\settings\LineSetupPanel.java
JPANEL,gov.nasa.arc.mct.fastplot.settings.LineSetupPanel,populate,4,1,1,1,0,6206,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\settings\LineSetupPanel.java
JPANEL,gov.nasa.arc.mct.fastplot.settings.LineSetupPanel,actionPerformed,3,3,2,1,0,4940,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\settings\LineSetupPanel.java
JPANEL,gov.nasa.arc.mct.fastplot.settings.LineSetupPanel,getSelectedConnectionType,11,3,2,0,0,5910,D:\Projetos\_Benchmark2018\mct\fastPlotViews\src\main\java\gov\nasa\arc\mct\fastplot\settings\LineSetupPanel.java
