DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
SERVICE,com.qcadoo.mes.productionPerShift.report.print.PPSReportXlsStyleHelper,setHeaderStyle1,3,1,2,2,0,3573,D:\Projetos\_Benchmark2018\mes\mes-plugins\mes-plugins-production-per-shift\src\main\java\com\qcadoo\mes\productionPerShift\report\print\PPSReportXlsStyleHelper.java
SERVICE,com.qcadoo.mes.productionPerShift.report.print.PPSReportXlsStyleHelper,setGreyDataStyleEnd,3,1,2,2,0,2225,D:\Projetos\_Benchmark2018\mes\mes-plugins\mes-plugins-production-per-shift\src\main\java\com\qcadoo\mes\productionPerShift\report\print\PPSReportXlsStyleHelper.java
SERVICE,com.qcadoo.mes.productionPerShift.report.print.PPSReportXlsStyleHelper,setWhiteDataStyleSmall,3,1,2,2,0,1538,D:\Projetos\_Benchmark2018\mes\mes-plugins\mes-plugins-production-per-shift\src\main\java\com\qcadoo\mes\productionPerShift\report\print\PPSReportXlsStyleHelper.java
SERVICE,com.qcadoo.mes.productionPerShift.report.print.PPSReportXlsStyleHelper,setWhiteDataStyleRed,3,1,2,2,0,3121,D:\Projetos\_Benchmark2018\mes\mes-plugins\mes-plugins-production-per-shift\src\main\java\com\qcadoo\mes\productionPerShift\report\print\PPSReportXlsStyleHelper.java
SERVICE,com.qcadoo.mes.productionPerShift.report.print.PPSReportXlsStyleHelper,setWhiteDataStyleEnd,3,1,2,2,0,1998,D:\Projetos\_Benchmark2018\mes\mes-plugins\mes-plugins-production-per-shift\src\main\java\com\qcadoo\mes\productionPerShift\report\print\PPSReportXlsStyleHelper.java
SERVICE,com.qcadoo.mes.productionPerShift.report.print.PPSReportXlsStyleHelper,rowStyle2,8,1,2,1,0,9023,D:\Projetos\_Benchmark2018\mes\mes-plugins\mes-plugins-production-per-shift\src\main\java\com\qcadoo\mes\productionPerShift\report\print\PPSReportXlsStyleHelper.java
SERVICE,com.qcadoo.mes.productionPerShift.report.print.PPSReportXlsStyleHelper,setGreyDataStyleSmall,3,1,2,2,0,1769,D:\Projetos\_Benchmark2018\mes\mes-plugins\mes-plugins-production-per-shift\src\main\java\com\qcadoo\mes\productionPerShift\report\print\PPSReportXlsStyleHelper.java
SERVICE,com.qcadoo.mes.productionPerShift.report.print.PPSReportXlsStyleHelper,setHeaderStyle2,3,1,2,2,0,3790,D:\Projetos\_Benchmark2018\mes\mes-plugins\mes-plugins-production-per-shift\src\main\java\com\qcadoo\mes\productionPerShift\report\print\PPSReportXlsStyleHelper.java
SERVICE,com.qcadoo.mes.productionPerShift.report.print.PPSReportXlsStyleHelper,setChangeoverDataStyle,3,1,2,2,0,2890,D:\Projetos\_Benchmark2018\mes\mes-plugins\mes-plugins-production-per-shift\src\main\java\com\qcadoo\mes\productionPerShift\report\print\PPSReportXlsStyleHelper.java
SERVICE,com.qcadoo.mes.productionPerShift.report.print.PPSReportXlsStyleHelper,getHeaderStyle0,27,4,4,5,0,4230,D:\Projetos\_Benchmark2018\mes\mes-plugins\mes-plugins-production-per-shift\src\main\java\com\qcadoo\mes\productionPerShift\report\print\PPSReportXlsStyleHelper.java
