DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
UNDEFINED,org.traccar.web.client.state.GridStateHandler,4,1,4,6,0,4,4,4,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\state\GridStateHandler.java,class,false
ENTITY,org.traccar.web.shared.model.ApplicationSettings,29,1,16,326,0,29,1,31,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java,class,true
UNDEFINED,org.traccar.web.client.view.ImportDialog,5,1,18,0,0,5,18,8,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\ImportDialog.java,class,false
[SELECTIONCHANGEDEVENT.SELECTIONCHANGEDHANDLER],org.traccar.web.client.view.UsersDialog,13,1,25,34,0,13,42,15,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\UsersDialog.java,class,false
EXCEPTION,org.traccar.web.shared.model.ValidationException,0,3,1,0,0,0,0,0,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ValidationException.java,class,false
UNDEFINED,org.traccar.web.server.reports.ReportRenderer,38,1,7,639,0,38,21,54,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\server\reports\ReportRenderer.java,class,false
SERVICE,org.traccar.web.server.model.DataServiceImpl,42,2,52,679,0,42,304,301,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\server\model\DataServiceImpl.java,class,false
UNDEFINED,org.traccar.web.client.ApplicationContext,15,1,6,49,0,15,6,31,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\ApplicationContext.java,class,false
UNDEFINED,org.gwtopenmaps.openlayers.client.format.EncodedPolylineImpl,3,1,1,3,0,3,0,3,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\gwtopenmaps\openlayers\client\format\EncodedPolylineImpl.java,class,false
DIALOG,org.traccar.web.client.controller.SettingsController,10,1,45,378,0,10,67,60,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\controller\SettingsController.java,class,false
ENTITY,org.traccar.web.shared.model.GeoFence,30,1,21,289,0,30,20,55,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\GeoFence.java,class,true
UNDEFINED,org.traccar.web.shared.model.LonLat,1,1,0,0,0,1,0,1,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\LonLat.java,class,false
ENTITY,org.traccar.web.shared.model.Position,43,1,20,777,0,43,0,45,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\Position.java,class,true
UNDEFINED,org.traccar.web.client.view.MapView,49,1,45,1079,0,49,94,70,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\MapView.java,class,false
DIALOG,org.traccar.web.client.controller.LoginController,5,1,9,5,0,5,23,27,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\controller\LoginController.java,class,false
[LEAFVALUEEDITOR],org.traccar.web.client.editor.ListViewEditor,4,1,7,0,0,4,13,12,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\editor\ListViewEditor.java,class,false
UNDEFINED,org.traccar.web.client.view.PositionInfoPopup,29,1,28,366,0,29,104,80,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\PositionInfoPopup.java,class,false
CONTROLLER,org.traccar.web.client.view.ReportsDialog,20,1,73,146,0,20,68,40,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\ReportsDialog.java,class,false
UNDEFINED,org.traccar.web.client.view.SensorIconDialog,7,1,15,0,0,7,19,11,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\SensorIconDialog.java,class,false
EXCEPTION,org.traccar.web.shared.model.TraccarException,0,2,0,0,3,0,0,0,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\TraccarException.java,class,false
ENTITY,org.traccar.web.shared.model.User,76,1,31,2668,0,76,37,155,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\User.java,class,true
ENTITY,org.traccar.web.shared.model.EventRule,23,1,17,145,0,23,3,30,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\EventRule.java,class,true
HTTPSERVLET,org.traccar.web.server.model.RESTApiServlet,4,2,8,6,0,4,29,43,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\server\model\RESTApiServlet.java,class,false
EXCEPTION,org.traccar.web.shared.model.AccessDeniedException,0,3,1,0,0,0,0,0,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\AccessDeniedException.java,class,false
CONTROLLER,org.traccar.web.client.controller.VisibilityController,30,1,16,145,0,30,49,64,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\controller\VisibilityController.java,class,false
[EDITOR],org.traccar.web.client.view.DeviceDialog,9,1,41,1,0,9,45,21,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\DeviceDialog.java,class,false
ENTITY,org.traccar.web.shared.model.NotificationTemplate,16,1,14,88,0,16,11,22,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\NotificationTemplate.java,class,true
TEST,org.traccar.web.shared.model.GeoFenceTest,1,1,2,0,0,1,8,1,D:\Projetos\_Benchmark2018\traccar-web\src\test\java\org\traccar\web\shared\model\GeoFenceTest.java,class,false
[SELECTIONCHANGEDEVENT.SELECTIONCHANGEDHANDLER],org.traccar.web.client.view.ArchivePanel,15,1,44,72,0,15,86,44,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\ArchivePanel.java,class,false
REPORTGENERATOR,org.traccar.web.server.reports.ReportOS,3,2,5,3,0,3,54,19,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\server\reports\ReportOS.java,class,false
ENTITY,org.traccar.web.shared.model.Command,7,1,3,15,0,7,0,7,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\Command.java,class,false
HTTPSERVLET,org.traccar.web.server.model.ReportServlet,1,2,12,0,0,1,9,4,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\server\model\ReportServlet.java,class,false
GENERATOR,org.traccar.web.i18n.rebind.LocaleInfoGenerator,6,2,22,7,0,6,43,48,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\i18n\rebind\LocaleInfoGenerator.java,class,false
COMBOBOX,org.traccar.web.client.widget.PeriodComboBox,5,2,12,19,0,5,18,9,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\widget\PeriodComboBox.java,class,false
TEST,org.traccar.web.server.model.UserSerializerTest,1,1,4,0,0,1,9,1,D:\Projetos\_Benchmark2018\traccar-web\src\test\java\org\traccar\web\server\model\UserSerializerTest.java,class,false
UNDEFINED,org.traccar.web.client.ArchiveStyle,8,1,2,10,0,8,0,8,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\ArchiveStyle.java,class,false
