DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,org.traccar.web.client.state.GridStateHandler,applyState,4,1,0,0,0,1157,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\state\GridStateHandler.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,isDisallowDeviceManagementByUsers,3,1,1,0,0,2056,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,isAllowCommandsOnlyForAdmins,3,1,1,0,0,4355,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,setMatchServiceURL,3,1,2,1,0,4154,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,setUserSettings,3,1,2,1,0,4940,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,getDefaultHashImplementation,3,1,1,0,0,2357,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,setBingMapsKey,3,1,2,1,0,3337,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,equals,7,2,3,1,0,5149,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,getMatchServiceType,3,1,1,0,0,3801,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,setUpdateInterval,3,1,2,1,0,1941,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,getUserSettings,3,1,1,0,0,4856,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,setAllowCommandsOnlyForAdmins,3,1,2,1,0,4461,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,setLanguage,3,1,2,1,0,2951,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,setDefaultHashImplementation,3,1,2,1,0,2467,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,getNotificationExpirationPeriod,3,1,1,0,0,3441,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,hashCode,3,1,1,0,0,5054,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,setSalt,3,1,2,1,0,3150,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,getUpdateInterval,3,1,1,0,0,1860,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,getLanguage,3,1,1,0,0,2881,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,setRegistrationEnabled,3,1,2,1,0,1630,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,setEventRecordingEnabled,3,1,2,1,0,2687,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,getRegistrationEnabled,3,1,1,0,0,1767,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,isEventRecordingEnabled,3,1,1,0,0,2591,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,getBingMapsKey,3,1,1,0,0,3261,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,getSalt,3,1,1,0,0,3088,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,setMatchServiceType,3,1,2,1,0,3897,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,getMatchServiceURL,3,1,1,0,0,4070,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,setDisallowDeviceManagementByUsers,3,1,2,1,0,2172,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
ENTITY,org.traccar.web.shared.model.ApplicationSettings,setNotificationExpirationPeriod,3,1,2,1,0,3548,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\shared\model\ApplicationSettings.java
UNDEFINED,org.traccar.web.client.view.ImportDialog,show,3,1,1,0,0,2358,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\ImportDialog.java
UNDEFINED,org.traccar.web.client.view.ImportDialog,onImportClicked,20,2,0,1,0,2476,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\ImportDialog.java
UNDEFINED,org.traccar.web.client.view.ImportDialog,onCancelClicked,3,1,2,1,0,3409,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\ImportDialog.java
UNDEFINED,org.traccar.web.client.view.ImportDialog,hide,3,1,1,0,0,2417,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\ImportDialog.java
UNDEFINED,org.traccar.web.client.view.ImportDialog,onSubmitComplete,5,1,2,1,0,2997,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\ImportDialog.java
[SELECTIONCHANGEDEVENT.SELECTIONCHANGEDHANDLER],org.traccar.web.client.view.UsersDialog,hide,3,1,1,0,0,6438,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\UsersDialog.java
[SELECTIONCHANGEDEVENT.SELECTIONCHANGEDHANDLER],org.traccar.web.client.view.UsersDialog,onRemoveClicked,3,1,3,1,0,6853,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\UsersDialog.java
[SELECTIONCHANGEDEVENT.SELECTIONCHANGEDHANDLER],org.traccar.web.client.view.UsersDialog,onSelectionChanged,4,1,2,1,0,6497,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\UsersDialog.java
[SELECTIONCHANGEDEVENT.SELECTIONCHANGEDHANDLER],org.traccar.web.client.view.UsersDialog,onCancelClicked,3,1,2,1,0,7344,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\UsersDialog.java
[SELECTIONCHANGEDEVENT.SELECTIONCHANGEDHANDLER],org.traccar.web.client.view.UsersDialog,onSaveClicked,3,1,2,1,0,7217,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\UsersDialog.java
[SELECTIONCHANGEDEVENT.SELECTIONCHANGEDHANDLER],org.traccar.web.client.view.UsersDialog,onAddClicked,3,1,2,1,0,6734,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\UsersDialog.java
[SELECTIONCHANGEDEVENT.SELECTIONCHANGEDHANDLER],org.traccar.web.client.view.UsersDialog,onChangePasswordClicked,3,1,3,1,0,7023,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\UsersDialog.java
[SELECTIONCHANGEDEVENT.SELECTIONCHANGEDHANDLER],org.traccar.web.client.view.UsersDialog,show,3,1,1,0,0,6379,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\client\view\UsersDialog.java
UNDEFINED,org.traccar.web.server.reports.ReportRenderer,tableBodyEnd,3,1,0,0,0,6021,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\server\reports\ReportRenderer.java
UNDEFINED,org.traccar.web.server.reports.ReportRenderer,paragraphEnd,3,1,0,0,0,4142,D:\Projetos\_Benchmark2018\traccar-web\src\main\java\org\traccar\web\server\reports\ReportRenderer.java
