DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,14,1,8,77,0,14,23,47,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java,class,false
TEST,org.zkoss.zss.test.selenium.ZSSTestCase,26,4,11,325,71,26,29,26,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test.selenium\src\main\java\org\zkoss\zss\test\selenium\ZSSTestCase.java,class,false
TEST,org.zkoss.zss.test.selenium.testcases.function.Issue370Test,2,5,3,1,0,2,2,3,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test.selenium\src\test\java\org\zkoss\zss\test\selenium\testcases\function\Issue370Test.java,class,false
TEST,org.zkoss.test.zss.cases.SS_011_Test,1,2,3,0,0,1,4,1,D:\Projetos\_Benchmark2018\zkspreadsheet\zssapp.test\src\test\java\org\zkoss\test\zss\cases\SS_011_Test.java,class,false
TEST,org.zkoss.zss.test.selenium.testcases.function.Issue600Test,2,5,6,1,0,2,19,2,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test.selenium\src\test\java\org\zkoss\zss\test\selenium\testcases\function\Issue600Test.java,class,false
UNDEFINED,org.zkoss.zss.api.Ranges,14,1,10,91,0,14,19,16,D:\Projetos\_Benchmark2018\zkspreadsheet\zss\src\org\zkoss\zss\api\Ranges.java,class,false
ABSTRACTHANDLER,org.zkoss.zss.ui.impl.ua.HorizontalAlignHandler,2,3,9,0,0,2,23,7,D:\Projetos\_Benchmark2018\zkspreadsheet\zss\src\org\zkoss\zss\ui\impl\ua\HorizontalAlignHandler.java,class,false
ENTITY,org.zkoss.zss.model.impl.AbstractBookAdv,22,1,10,231,1,22,0,22,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\model\impl\AbstractBookAdv.java,class,false
ACTION,org.zkoss.zss.ui.impl.undo.PasteSpecialCellAction,14,3,9,7,0,14,21,23,D:\Projetos\_Benchmark2018\zkspreadsheet\zss\src\org\zkoss\zss\ui\impl\undo\PasteSpecialCellAction.java,class,false
TEST,org.zkoss.zss.issue.Issue779Test,5,1,7,10,0,5,10,6,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test\src\test\java\org\zkoss\zss\issue\Issue779Test.java,class,false
TEST,org.zkoss.zss.issue.Issue975Test,5,1,7,10,0,5,10,6,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test\src\test\java\org\zkoss\zss\issue\Issue975Test.java,class,false
SELECTORCOMPOSER,zss.issue.Composer1168,7,2,11,0,0,7,16,19,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test\src\main\java\zss\issue\Composer1168.java,class,false
ENTITY,org.zkoss.zss.model.impl.AbstractNameAdv,4,1,5,6,1,4,0,4,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\model\impl\AbstractNameAdv.java,class,false
TEST,org.zkoss.zss.issue.Issue914Test,4,1,5,6,0,4,5,5,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test\src\test\java\org\zkoss\zss\issue\Issue914Test.java,class,false
[CELLDISPLAYLOADER],org.zkoss.zss.ui.impl.SimpleCellDisplayLoader,3,1,5,3,0,3,3,3,D:\Projetos\_Benchmark2018\zkspreadsheet\zss\src\org\zkoss\zss\ui\impl\SimpleCellDisplayLoader.java,class,false
TEST,org.zkoss.zss.api.impl.format.DateTest,15,1,6,0,0,15,8,15,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test\src\test\java\org\zkoss\zss\api\impl\format\DateTest.java,class,false
TEST,org.zkoss.zss.test.selenium.ZKClientTestCase,8,3,7,26,1,8,12,14,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test.selenium\src\main\java\org\zkoss\zss\test\selenium\ZKClientTestCase.java,class,false
TEST,org.zkoss.zss.issue.Issue1191ImportColorFilterTest,4,1,5,6,0,4,9,5,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test\src\test\java\org\zkoss\zss\issue\Issue1191ImportColorFilterTest.java,class,false
TEST,SS_030_02_Test,1,3,2,0,0,1,10,1,D:\Projetos\_Benchmark2018\zkspreadsheet\zssapp.test\test\SS_030_02_Test.java,class,false
ENTITY,org.zkoss.zss.ui.impl.VoidWidgetHandler,9,1,4,34,0,9,0,9,D:\Projetos\_Benchmark2018\zkspreadsheet\zss\src\org\zkoss\zss\ui\impl\VoidWidgetHandler.java,class,false
ENTITY,org.zkoss.zss.api.CellRef,7,1,1,0,1,7,1,7,D:\Projetos\_Benchmark2018\zkspreadsheet\zss\src\org\zkoss\zss\api\CellRef.java,class,false
GENERICFORWARDCOMPOSER,zss.issue.Composer670,3,2,8,1,0,3,12,3,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test\src\main\java\zss\issue\Composer670.java,class,false
TEST,SS_031_Test,1,3,2,0,0,1,8,1,D:\Projetos\_Benchmark2018\zkspreadsheet\zssapp.test\test\SS_031_Test.java,class,false
TEST,SS_231_Test,1,3,1,0,0,1,12,1,D:\Projetos\_Benchmark2018\zkspreadsheet\zssapp.test\test\SS_231_Test.java,class,false
TEST,SS_131_Test,1,3,1,0,0,1,9,1,D:\Projetos\_Benchmark2018\zkspreadsheet\zssapp.test\test\SS_131_Test.java,class,false
[THEMERESOLVER],org.zkoss.zss.theme.SpreadsheetThemeResolver,2,1,4,0,0,2,11,15,D:\Projetos\_Benchmark2018\zkspreadsheet\zss\src\org\zkoss\zss\theme\SpreadsheetThemeResolver.java,class,false
TEST,org.zkoss.zss.issue.Issue852Test,4,1,7,6,0,4,8,4,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test\src\test\java\org\zkoss\zss\issue\Issue852Test.java,class,false
UNDEFINED,org.zkoss.zss.model.impl.RuleInfo,3,1,9,0,0,3,8,11,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\model\impl\RuleInfo.java,class,false
SELECTORCOMPOSER,zss.issue.Composer822,4,2,9,6,0,4,15,12,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test\src\main\java\zss\issue\Composer822.java,class,false
TEST,org.zkoss.zss.issue.Issue1188Test,4,1,7,6,0,4,35,5,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test\src\test\java\org\zkoss\zss\issue\Issue1188Test.java,class,false
TEST,org.zkoss.zss.test.selenium.testcases.function.Issue980Test,1,5,6,0,0,1,16,1,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test.selenium\src\test\java\org\zkoss\zss\test\selenium\testcases\function\Issue980Test.java,class,false
UNDEFINED,org.zkoss.zss.ui.impl.CoreFns,1,1,0,0,0,1,4,3,D:\Projetos\_Benchmark2018\zkspreadsheet\zss\src\org\zkoss\zss\ui\impl\CoreFns.java,class,false
ENTITY,org.zkoss.zss.range.impl.LessThanOrEqual,2,1,2,0,0,2,1,2,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\LessThanOrEqual.java,class,false
UNDEFINED,zss.issue.Clock,9,1,0,22,0,9,5,21,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test\src\main\java\zss\issue\Clock.java,class,false
EVENT,org.zkoss.zss.ui.event.AuxActionEvent,5,2,4,4,0,5,1,5,D:\Projetos\_Benchmark2018\zkspreadsheet\zss\src\org\zkoss\zss\ui\event\AuxActionEvent.java,class,false
TEST,org.zkoss.zss.test.selenium.testcases.function.Issue890Test,5,5,4,10,0,5,11,5,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test.selenium\src\test\java\org\zkoss\zss\test\selenium\testcases\function\Issue890Test.java,class,false
ENTITY,org.zkoss.zss.model.impl.sys.formula.JoinFunctionMapper,6,1,4,3,0,6,4,11,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\model\impl\sys\formula\JoinFunctionMapper.java,class,false
TEST,SS_183_Test,2,3,2,1,0,2,12,2,D:\Projetos\_Benchmark2018\zkspreadsheet\zssapp.test\test\SS_183_Test.java,class,false
TEST,SS_083_Test,2,3,2,1,0,2,12,2,D:\Projetos\_Benchmark2018\zkspreadsheet\zssapp.test\test\SS_083_Test.java,class,false
TEST,org.zkoss.zss.issue.Issue947Test,5,1,5,10,0,5,8,7,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test\src\test\java\org\zkoss\zss\issue\Issue947Test.java,class,false
TEST,SS_022_Test,1,3,2,0,0,1,9,1,D:\Projetos\_Benchmark2018\zkspreadsheet\zssapp.test\test\SS_022_Test.java,class,false
TEST,SS_222_Test,1,3,1,0,0,1,7,1,D:\Projetos\_Benchmark2018\zkspreadsheet\zssapp.test\test\SS_222_Test.java,class,false
ABSTRACTHANDLER,org.zkoss.zss.ui.impl.ua.AddColumnHandler,1,2,4,0,0,1,6,3,D:\Projetos\_Benchmark2018\zkspreadsheet\zss\src\org\zkoss\zss\ui\impl\ua\AddColumnHandler.java,class,false
TEST,SS_122_Test,1,3,1,0,0,1,6,1,D:\Projetos\_Benchmark2018\zkspreadsheet\zssapp.test\test\SS_122_Test.java,class,false
ACTION,org.zkoss.test.JavascriptActions,30,2,11,427,0,30,19,35,D:\Projetos\_Benchmark2018\zkspreadsheet\zssapp.test\src\main\java\org\zkoss\test\JavascriptActions.java,class,false
ABSTRACTCOMMAND,org.zkoss.zss.ui.au.in.CtrlKeyCommand,3,2,9,3,0,3,20,21,D:\Projetos\_Benchmark2018\zkspreadsheet\zss\src\org\zkoss\zss\ui\au\in\CtrlKeyCommand.java,class,false
ENTITY,org.zkoss.zss.range.impl.ContainsBlank,3,1,2,1,0,3,3,4,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ContainsBlank.java,class,false
TEST,org.zkoss.zss.api.impl.MergeTest,9,1,7,36,0,9,15,9,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test\src\test\java\org\zkoss\zss\api\impl\MergeTest.java,class,false
