DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,removeLast,5,3,1,0,0,1781,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,getCurrent,3,1,2,0,0,1252,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,addInsertDeleteUpdate,3,1,5,5,0,5280,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,getLast,3,2,2,0,0,1659,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,addCellUpdate,3,1,2,5,0,3219,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,addCellUpdate,32,10,9,6,0,3444,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,addMergeChange,3,1,4,3,0,5051,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,addRefs,18,4,4,1,0,1905,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,addModelUpdate,6,2,3,1,0,1336,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,getModelUpdates,6,2,2,0,0,1488,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,setCurrent,5,1,2,1,0,1087,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,addRef,18,4,4,1,0,2592,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java
ENTITY,org.zkoss.zss.range.impl.ModelUpdateCollector,addAutoFilterUpdate,3,1,4,2,0,5647,D:\Projetos\_Benchmark2018\zkspreadsheet\zssmodel\src\org\zkoss\zss\range\impl\ModelUpdateCollector.java
TEST,org.zkoss.zss.test.selenium.ZSSTestCase,dragAndDrop,3,1,2,2,0,3059,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test.selenium\src\main\java\org\zkoss\zss\test\selenium\ZSSTestCase.java
TEST,org.zkoss.zss.test.selenium.ZSSTestCase,sheetItemUtil,3,1,1,0,0,3311,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test.selenium\src\main\java\org\zkoss\zss\test\selenium\ZSSTestCase.java
TEST,org.zkoss.zss.test.selenium.ZSSTestCase,sheetChartUtil,3,1,1,0,0,3390,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test.selenium\src\main\java\org\zkoss\zss\test\selenium\ZSSTestCase.java
TEST,org.zkoss.zss.test.selenium.ZSSTestCase,focusSheet,5,1,1,0,0,457,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test.selenium\src\main\java\org\zkoss\zss\test\selenium\ZSSTestCase.java
TEST,org.zkoss.zss.test.selenium.ZSSTestCase,click,4,1,3,3,0,1544,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test.selenium\src\main\java\org\zkoss\zss\test\selenium\ZSSTestCase.java
TEST,org.zkoss.zss.test.selenium.ZSSTestCase,click,4,1,3,3,0,1704,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test.selenium\src\main\java\org\zkoss\zss\test\selenium\ZSSTestCase.java
TEST,org.zkoss.zss.test.selenium.ZSSTestCase,click,4,1,2,1,0,1891,D:\Projetos\_Benchmark2018\zkspreadsheet\zss.test.selenium\src\main\java\org\zkoss\zss\test\selenium\ZSSTestCase.java
