DesignRoleTechnique;LOC;CC;Efferent;NOP;
UNDEFINED;63;13;13;4;
[IPREDICATE];34;7;9;3;
COSTASSIGNMENTPOLICY;34;7;9;3;
JCHECKBOX;34;7;9;6;
[FEATURE];34;7;9;3;
SEEKREADER;34;7;9;3;
ABSTRACTFEATURESORTER;34;7;9;3;
RAW;34;7;9;3;
REPORTPERORDERELEMENTDTO;34;7;9;3;
[IJIRAORDERELEMENTSYNCHRONIZER];43;10;14;4;
[TAGLET];34;7;9;3;
[IADDMILESTONECOMMAND];34;7;9;3;
[IURLHANDLERREGISTRY];34;7;9;3;
[PERIODMOVEMENTSAVINGLOGIC| PERIODMOVEMENTUPDATINGLOGIC];34;7;9;3;
SWFTAGTYPESIMPL;34;7;9;9;
JCASRESOURCECOLLECTIONREADER_IMPLBASE;213;47;34;11;
ALLOCATIONMODIFICATION;34;7;9;3;
HESSIANPROXY;34;7;9;3;
[ANNOTATIONEDITOREXTENSIONREGISTRY];34;7;9;8;
[SVGIMAGECREATOR];127;15;21;3;
INTERNALMESSAGE;34;7;9;3;
[SERVLETCONTEXTINITIALIZER];34;7;9;3;
[ATTRIBUTECONVERTER];34;7;9;3;
STEPRESULT;34;7;9;3;
PARSER;34;7;9;3;
[RENDERER];34;7;9;3;
ABSTRACTDEFAULTAJAXBEHAVIOR;34;7;9;3;
[CLOSINGSAVINGLOGIC];34;7;9;3;
[USERDELETINGLOGIC];34;7;9;3;
[REQUESTPAYLOAD];34;7;9;3;
SPRINGBOOTSERVLETINITIALIZER;34;7;9;3;
FORMAUTHENTICATIONFILTER;34;7;10;4;
[PROTOCOLENCODER];34;7;9;3;
[GLOBALINTERCEPTORSREGISTRY];34;7;9;3;
[LAYERINITIALIZER];34;7;11;3;
STARTUPFILTER;354;61;20;3;
PREFERENCES;34;7;9;3;
[IADVANCECONSOLIDATIONCOMMAND];34;7;9;3;
FEATUREEDITOREVENT;34;7;9;3;
GJNOARGUDEPTHFIRST;34;7;9;3;
[ENTRYBINDING];34;7;9;3;
[REFERENCESEQUENCEFILE];34;7;10;3;
[CREDENTIALS];34;7;9;3;
ABSTRACTCONTEXTLOADER;34;7;9;3;
HBOX;34;7;9;3;
[COMMENT];34;7;9;3;
HEADER;34;7;9;3;
CONSTRAINT;34;7;9;3;
[JSONSERIALIZER];34;7;9;3;
[COLUMNAFFINITY];34;7;9;3;
[DBKEY| VALIDATABLE];34;7;9;3;
[SLACKMETHOD];34;7;9;4;
[PRERENDERER];34;7;9;5;
[LIFECYCLE| APPLICATIONCONTEXTAWARE| HASVALIDATOR];70;15;16;3;
RECORDREADER;34;7;10;3;
COOKIECOMPARATORRESULT;34;7;9;3;
JQUERYPLUGINRESOURCEREFERENCE;34;7;9;3;
CHAINBASE;34;7;9;3;
INTERVAL;34;7;9;3;
CONFIGPATHEDITOR;34;7;9;3;
OBSERVABLE;34;7;9;3;
PROPERTYPLACEHOLDERCONFIGURER;34;7;9;3;
REQUIRENAMEVALIDATOR;34;7;9;3;
[CAMELCONTEXTCREATOR];34;7;9;3;
[RECRAWLDATASCHEMA];34;7;9;3;
BASESIPHEADERS;34;7;9;3;
BASERICHSPOUT;34;7;9;3;
[USERSELECTIONPANELCONFIGURATION];34;7;9;3;
[ISCENARIOMANAGER];34;7;9;3;
DIV;155;48;9;3;
OPERATION;34;7;9;3;
[CALLLOGGER];43;12;9;3;
ABSTRACTMESSAGESOURCE;34;7;9;3;
[MEDIALAUNCHER];34;7;9;3;
LINKEDAPIREQUESTMANAGER;100;27;13;4;
CREDENTIAL;34;9;9;3;
[SIPTOFLASHTRANSCODER];34;9;10;3;
LINKCONTEXT;34;19;9;3;
[AGGREEMENTMEASURESUPPORT];34;7;9;3;
HTTPDATAMANAGER;34;7;11;5;
[TEMPDIRPROVIDER];34;7;9;3;
OPENMRSMEMENTO;34;7;9;3;
POSITION_IMPLBASE;34;7;9;3;
[IBINDINGORDERELEMENTSTRATEGY];34;7;9;3;
[CELLEDITOR];34;7;9;3;
ABSTRACTMOJO;34;7;9;3;
[IBANDBOXFINDER];34;7;9;3;
DEFAULTPLUGINMANAGER;34;7;9;3;
PROCESSORSTRATEGY;34;7;9;3;
[PERIODMOVEMENTDELETINGLOGIC| PERIODMOVEMENTUPDATINGLOGIC];34;7;9;3;
UNTYPEDACTOR;217;24;9;3;
DEFAULTTABLECELLRENDERER;34;7;9;6;
WORKQUEUE;34;7;9;3;
[GENEFEATURE];34;11;9;3;
BASICPHASECONVERTER;34;7;10;3;
ACTIVEDIRECTORYREALM;35;7;13;3;
