DesignRoleTechnique;LOC;CC;Efferent;NOP;
UNDEFINED;169;9;11;3;
DEFAULTTREECELLRENDERER;36;5;8;7;
JFRAME;244;5;6;2;
JCHECKBOX;36;4;6;6;
PERSISTENCE;36;7;12;3;
[X509TRUSTMANAGER];36;4;6;3;
[CELLEDITOR];36;4;6;2;
[TOKENPARSER];36;7;8;2;
JWINDOW;36;4;6;2;
ENTITY;46;13;6;2;
LINKEDHASHMAP;36;4;6;2;
DEFAULTTABLECELLRENDERER;36;5;8;6;
[HTTPCLIENT];145;56;12;3;
JPANEL;429;6;9;2;
REFERENCE;36;4;6;2;
JLABEL;36;4;8;5;
X509EXTENDEDTRUSTMANAGER;36;4;6;3;
JTABLE;36;7;6;6;
EVENTQUEUE;36;5;14;2;
[CALCULATOR];36;9;11;2;
DIALOG;154;9;8;2;
HTMLEDITORKIT;36;10;6;4;
JTEXTAREA;36;6;7;6;
[PLUGIN| CONVERSATIONHANDLER];67;24;12;4;
PROXYPLUGIN;36;6;8;2;
MODEL;40;9;11;3;
REENTRANTWRITERPREFERENCEREADWRITELOCK;36;4;6;2;
[X509KEYMANAGER];36;7;9;3;
[AUTHENTICATOR];36;12;6;2;
STYLEDEDITORKIT;36;7;9;2;
[PLUGIN];46;13;14;4;
ACTION;36;7;12;2;
REGEXEXPANSION;36;4;6;2;
TEST;48;4;22;2;
[COMPARATOR];36;8;6;2;
FORMATTER;36;4;7;2;
HANDLER;36;5;6;2;
ASYNCTASK;180;45;19;3;
JBUTTON;36;4;6;2;
