DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
SERVICE,com.key.dwsurvey.service.impl.AnCheckboxManagerImpl,findStatsDataCross,3,1,3,2,0,1384,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\service\impl\AnCheckboxManagerImpl.java
SERVICE,com.key.dwsurvey.service.impl.AnCheckboxManagerImpl,findAnswer,5,1,5,2,0,976,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\service\impl\AnCheckboxManagerImpl.java
SERVICE,com.key.dwsurvey.service.impl.AnCheckboxManagerImpl,findStatsDataChart,3,1,3,1,0,1570,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\service\impl\AnCheckboxManagerImpl.java
SERVICE,com.key.dwsurvey.service.impl.AnCheckboxManagerImpl,setBaseDao,3,1,1,0,0,858,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\service\impl\AnCheckboxManagerImpl.java
SERVICE,com.key.dwsurvey.service.impl.AnCheckboxManagerImpl,findGroupStats,3,1,2,1,0,1269,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\service\impl\AnCheckboxManagerImpl.java
UNDEFINED,com.key.common.utils.word.DocExportUtil,createDoc,12,1,6,0,0,735,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\common\utils\word\DocExportUtil.java
UNDEFINED,com.key.common.utils.word.DocExportUtil,export,3,1,1,0,0,1996,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\common\utils\word\DocExportUtil.java
UNDEFINED,com.key.common.utils.word.DocExportUtil,getTfont,3,1,1,0,0,1795,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\common\utils\word\DocExportUtil.java
UNDEFINED,com.key.common.utils.word.DocExportUtil,getBfont,3,1,1,0,0,1843,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\common\utils\word\DocExportUtil.java
UNDEFINED,com.key.common.utils.word.DocExportUtil,exportBCD,3,1,1,0,0,2043,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\common\utils\word\DocExportUtil.java
UNDEFINED,com.key.common.utils.word.DocExportUtil,addElement,3,1,2,1,0,1894,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\common\utils\word\DocExportUtil.java
PERSISTENCE,com.key.dwsurvey.dao.impl.SurveyStatsDaoImpl,radioRowDataCross,2,1,1,2,0,1376,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\dao\impl\SurveyStatsDaoImpl.java
PERSISTENCE,com.key.dwsurvey.dao.impl.SurveyStatsDaoImpl,getQuItemName,11,3,3,1,0,1503,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\dao\impl\SurveyStatsDaoImpl.java
PERSISTENCE,com.key.dwsurvey.dao.impl.SurveyStatsDaoImpl,findStatsDataCross,12,3,3,2,0,557,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\dao\impl\SurveyStatsDaoImpl.java
PERSISTENCE,com.key.dwsurvey.dao.impl.SurveyStatsDaoImpl,checkboxRowDataCross,2,1,1,2,0,1246,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\dao\impl\SurveyStatsDaoImpl.java
ENTITY,com.key.dwsurvey.entity.Question,getCreateDate,3,1,1,0,0,3182,D:\Projetos\_Web\DWSurvey\src\main\java\com\key\dwsurvey\entity\Question.java
