DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
UNDEFINED,com.dream.po.BrowseExample,80,1,3,2980,0,80,9,90,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java,class,false
ENTITY,com.dream.common.E3Result,16,1,4,18,0,16,14,29,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\common\E3Result.java,class,false
ENTITY,com.dream.po.Similartab,6,1,0,9,0,6,0,6,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\Similartab.java,class,false
TAGSUPPORT,com.dream.common.NavigationTag,9,2,4,0,0,9,23,37,D:\Projetos\_Web\Movie_Recommend\MovieManager\src\main\java\com\dream\common\NavigationTag.java,class,false
ENTITY,com.dream.po.Moviecategory,6,1,0,9,0,6,0,6,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\Moviecategory.java,class,false
UNDEFINED,com.dream.po.MovieExample,206,1,3,20935,0,206,9,216,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\MovieExample.java,class,false
SERVICE,com.dream.service.impl.CategoryServiceImpl,1,1,8,0,0,1,5,3,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\service\impl\CategoryServiceImpl.java,class,true
ENTITY,com.dream.po.Query,10,1,0,35,0,10,0,10,D:\Projetos\_Web\Movie_Recommend\MovieManager\src\main\java\com\dream\po\Query.java,class,false
UNDEFINED,com.dream.po.TopdefaultmoviesExample,70,1,3,1555,0,70,9,80,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\TopdefaultmoviesExample.java,class,false
SERVICE,com.dream.service.impl.LoginServiceImpl,1,1,8,0,0,1,11,5,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\service\impl\LoginServiceImpl.java,class,true
ENTITY,com.dream.po.Category,4,1,0,2,0,4,1,5,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\Category.java,class,false
SERVICE,com.dream.service.impl.AdminServiceImpl,6,1,10,0,0,6,28,12,D:\Projetos\_Web\Movie_Recommend\MovieManager\src\main\java\com\dream\service\impl\AdminServiceImpl.java,class,true
ENTITY,com.dream.po.Movie,26,1,0,299,0,26,2,35,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\Movie.java,class,false
ENTITY,com.dream.po.Topdefaultmovies,7,1,0,15,0,7,1,8,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\Topdefaultmovies.java,class,false
UNDEFINED,com.dream.common.FastDFSClient,7,1,6,15,0,7,10,9,D:\Projetos\_Web\Movie_Recommend\MovieManager\src\main\java\com\dream\common\FastDFSClient.java,class,false
SERVICE,com.dream.service.impl.RegisterServiceImpl,4,1,11,0,0,4,19,16,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\service\impl\RegisterServiceImpl.java,class,true
AUTHORIZINGREALM,com.dream.common.MovieRealm,2,2,16,1,0,2,13,6,D:\Projetos\_Web\Movie_Recommend\MovieManager\src\main\java\com\dream\common\MovieRealm.java,class,false
CONTROLLER,com.dream.controller.UserController,5,1,9,0,0,5,6,5,D:\Projetos\_Web\Movie_Recommend\MovieManager\src\main\java\com\dream\controller\UserController.java,class,true
SERVICE,com.dream.service.impl.MovieServicelmpl,9,1,14,2,0,9,18,14,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\service\impl\MovieServicelmpl.java,class,true
UNDEFINED,com.dream.po.CategoryExample,58,1,3,1473,0,58,9,68,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\CategoryExample.java,class,false
ENTITY,com.dream.common.Page,8,1,1,20,0,8,0,8,D:\Projetos\_Web\Movie_Recommend\MovieManager\src\main\java\com\dream\common\Page.java,class,false
ENTITY,com.dream.po.NewMovie,26,1,2,299,0,26,0,26,D:\Projetos\_Web\Movie_Recommend\MovieManager\src\main\java\com\dream\po\NewMovie.java,class,false
UNDEFINED,com.dream.po.AdminExample,72,1,3,2376,0,72,9,82,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\AdminExample.java,class,false
UNDEFINED,com.dream.po.UserExample,97,1,3,4476,0,97,9,107,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\UserExample.java,class,false
